run_date,run_id,la_persistent_watch_id,canonical_project_id,canonical_project_name,la_submarket,address_or_location_clue,gp_or_developer,residential_sector,latest_lifecycle_stage,progression_status,stall_risk_label,entitlement_signal_count,timing_signal_count,financing_signal_count,opportunity_score,risk_score,woomi_site_strategy_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,confidence_level
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-002,PRJ-20260926-0144,JV / Partnership - Los Angeles / California - Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,Los Angeles,Southeast,High Street Residential,Mixed-Use Residential,Unknown Stage,Unknown,Low Stall Risk,0,5,0,99,31,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-003,PRJ-20260926-0069,Disposition / Exit - Las Vegas / Nevada - Berkadia Arranges $55M Sale of 220-Unit Sagecliff Apartments in Reno,Los Angeles,Las Vegas,Berkadia,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,99,26,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-001,PRJ-20260926-0047,Disposition / Exit - California - Marcus & Millichap Arranges $9.44M Sale of 24-Unit Multifamily Property in Costa Mesa Cali...,California,California,Marcus & Millichap,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,0,0,98,31,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-020,PRJ-20260926-0004,Entitlement / Permitting - California - Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,Los Angeles,11250 La Grange Ave,Unknown,Mixed-Use Residential,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,95,40,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-030,PRJ-20260926-0022,Entitlement / Permitting - Los Angeles / California - Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,Los Angeles,7556 Woodlake Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,1,0,0,94,34,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-031,PRJ-20260926-0009,General Project Signal - Beverly Hills / California - 270 apartments take shape at 200 E. First American Way in Santa Ana,California,200 E. First American Way,Unknown,Mixed-Use Residential,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,94,34,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-005,PRJ-20260926-0070,"JV / Partnership - Las Vegas / Nevada - Confluent Development, Ovation Group Sell 168-Unit Seniors Housing Community in Las Vegas",Los Angeles,Las Vegas,JLL,Senior Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,94,26,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-032,PRJ-20260926-0016,General Project Signal - Colorado - Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,Glendale,305 E. Colorado St,Unknown,Mixed-Use Residential,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,93,34,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-022,PRJ-20260926-0026,Entitlement / Permitting - Southeast - More design tweaks for infill housing at 810 N. Marengo Ave. in Pasadena,Pasadena,810 N. Marengo Ave,Unknown,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,92,33,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-024,PRJ-20260926-0021,Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,Los Angeles,625 S. Beacon Street,High Street Residential,Mixed-Use Residential,Unknown Stage,Newly Detected,Unknown,0,2,0,86,18,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-006,PRJ-20260926-0138,Refinancing - Miami / Florida - RIVANI Lands $114.3M Refi on Miami Beach Office/Retail Project,Los Angeles,South Florida,Berkadia,General Residential,Delivery / Opening,Mature / Operating,Low Stall Risk,0,0,4,85,34,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-007,PRJ-20260926-0059,BTR / Build-to-Rent - Dallas / Texas - IPA Closes Built-to-Rent Multifamily Sale in Suburban North Dallas,Los Angeles,Dallas,IPA,BTR / Single-Family Rental,Unknown Stage,Unknown,Low Stall Risk,0,0,0,85,30,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-044,PRJ-20260926-0023,Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,Los Angeles,7556 Woodlake Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,85,26,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-023,PRJ-20260926-0003,Russian Hill Apartments Trade After 50 Years of Family Ownership,California,1067-1071 Union St,Marcus & Millichap,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,85,25,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-009,PRJ-20260926-0083,Entitlement / Permitting - Los Angeles / California - Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,Los Angeles,Los Angeles,Unknown,Affordable Housing,Unknown Stage,Unknown,Low Stall Risk,7,0,0,84,34,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-018,PRJ-20260926-0137,Disposition / Exit - Los Angeles / California - HFO Investment Real Estate Closes $27M Sale of Luxury Apartments in Fairview,Los Angeles,Seattle,Unknown,Affordable Housing,Delivery / Opening,Newly Detected,Low Stall Risk,0,0,0,84,26,Relevant to California site monitoring,Track repeat project updates,"Benchmark construction, delivery, lease-up, and operating assumptions",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-008,PRJ-20260926-0080,Acquisition - Los Angeles / California - Harbor Associates Sells Office Campus in North L.A. County for $32M,Los Angeles,Los Angeles,IPA,General Residential,Unknown Stage,Newly Detected,Unknown,0,0,0,84,21,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-016,PRJ-20260926-0062,Acquisition - Dallas / Texas - Bader Picks Up 228-Unit Dallas Apartment Community,Los Angeles,Dallas,Unknown,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,0,0,83,33,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,High
2026-09-26,20260926-011356-f352a7a9,LAP-20260926-010,PRJ-20260926-0141,General Project Signal - Miami / Florida - Developer Launches Investor Offering for 465-Unit Boynton Beach Rental Community,Los Angeles,South Florida,Unknown,Apartment,Unknown Stage,Mature / Operating,Low Stall Risk,0,0,0,82,33,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
