run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Apartment,35,23,16,27,85.8,Other / Unknown,Developer Strategy,Marcus & Millichap,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Multifamily,17,5,4,11,71.2,Other / Unknown,Financing Risk,PNC Bank,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Affordable Housing,10,5,2,8,80.0,Los Angeles / California,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Office-to-Residential Conversion,2,2,0,2,90.5,Los Angeles / California,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Mixed-Use Residential,8,6,5,6,84.6,Other / Unknown,Developer Strategy,AvalonBay,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Senior Housing,1,1,1,1,82.0,New York City / New York,Institutional Flow,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,General Residential,2,0,1,2,53.0,Miami / Florida,Financing Risk,CBRE,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Student Housing,0,0,0,0,0,None detected,None detected,None detected,Campus-adjacent demand and partnership signal,Monitoring Sector,Monitor university-market demand and partnership signals
2026-07-09,20260709-001033-8807486d,2026-07-09 00:10:33,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
