run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_transition_id,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,previous_stage,current_stage,previous_stage_rank,current_stage_rank,transition_type,stage_change,days_since_first_seen,days_since_last_seen,observation_count,progression_score,stall_risk_score,execution_momentum_label,woomi_timing_relevance,recommended_transition_follow_up,evidence_article_title,source,url,confidence_level
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0167,Development Start - Miami / Florida - Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,80,LCT-20260630-016,Development Start - Miami / Florida - Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,Unknown,South Florida,Affordable Housing,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,79,13,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,Connect CRE South Florida,https://www.connectcre.com/stories/related-urban-starts-work-on-167m-s-miami-affordable-housing-venture/,High
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0162,"Entitlement / Permitting - San Francisco / California - Renovation Plans Filed For Storied 2100 Jackson Street, San Francisco",80,LCT-20260630-023,"General Project Signal - San Francisco / California - Concrete Rising For 1123 Sutter Street, San Francisco",Unknown,San Francisco,Mixed-Use Residential,Unknown,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,73,13,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,"Concrete Rising For 1123 Sutter Street, San Francisco",SF YIMBY,https://sfyimby.com/2026/06/concrete-rising-for-1123-sutter-street-san-francisco.html,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0142,BTR / Build-to-Rent - Phoenix / Arizona - NexMetro Opens 108-Unit Avilla Foothills BTR Project in Metro Phoenix,80,LCT-20260630-050,BTR / Build-to-Rent - Phoenix / Arizona - NexMetro Opens 108-Unit Avilla Foothills BTR Project in Metro Phoenix,Unknown,Phoenix,BTR / Single-Family Rental,Unknown,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,72,12,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",NexMetro Opens 108-Unit Avilla Foothills BTR Project in Metro Phoenix,REBusiness Online,https://rebusinessonline.com/nexmetro-opens-108-unit-avilla-foothills-btr-project-in-metro-phoenix/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0048,General Project Signal - California - Newsom Signs Bill Putting $11B Housing Bond on November Ballot,80,LCT-20260630-036,New-Construction San Diego Apartments Score $53M Bridge Loan,California,Unknown,Apartment,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,69,27,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",New-Construction San Diego Apartments Score $53M Bridge Loan,Connect CRE California,https://www.connectcre.com/stories/new-construction-san-diego-apartments-score-53m-bridge-loan/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0167,Development Start - Miami / Florida - Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,80,LCT-20260630-049,Development Start - Miami / Florida - Developer Begins Work on 476-Unit Delray Beach Rental Community,Unknown,South Florida,Apartment,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,69,13,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Developer Begins Work on 476-Unit Delray Beach Rental Community,Connect CRE South Florida,https://www.connectcre.com/stories/developer-begins-work-on-476-unit-delray-beach-rental-community/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0159,"Entitlement / Permitting - San Francisco / California - Renovation Plans Filed For Storied 2100 Jackson Street, San Francisco",80,LCT-20260630-025,"Concrete Rising For 1123 Sutter Street, San Francisco",San Francisco / California,Unknown,Mixed-Use Residential,,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,65,11,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,"Concrete Rising For 1123 Sutter Street, San Francisco",SF YIMBY,https://sfyimby.com/2026/06/concrete-rising-for-1123-sutter-street-san-francisco.html,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0178,Disposition / Exit - Other / Unknown - Newly Delivered Greater Hartford Apartments Trade for $27M,100,LCT-20260630-029,Disposition / Exit - Other / Unknown - Newly Delivered Greater Hartford Apartments Trade for $27M,Unknown,Unknown,Apartment,JLL,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,65,11,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Newly Delivered Greater Hartford Apartments Trade for $27M,Connect CRE Apartments,https://www.connectcre.com/stories/newly-delivered-greater-hartford-apartments-trade-for-27m/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0048,General Project Signal - California - Newsom Signs Bill Putting $11B Housing Bond on November Ballot,80,LCT-20260630-021,General Project Signal - California - New-Construction San Diego Apartments Score $53M Bridge Loan,California,California,Apartment,Unknown,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,63,31,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",New-Construction San Diego Apartments Score $53M Bridge Loan,Connect CRE California,https://www.connectcre.com/stories/new-construction-san-diego-apartments-score-53m-bridge-loan/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0047,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",100,LCT-20260630-020,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,California,Affordable Housing,PEF Advisors,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,63,27,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle","PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",Connect CRE Orange County,https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,Medium
2026-06-30,20260630-000528-e3d0faf1,PRJ-20260630-0180,General Project Signal - Other / Unknown - RocaPoint Partners and The Georgetown Company Adding 350 Apartments to Dunwoody Mixed-Use...,80,LCT-20260630-086,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,Unknown,Unknown,Apartment,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,63,11,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Multifamily Absorption Rate Remains Below 50%,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/multifamily-absorption-rate-remains-below-50/,Medium
