run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Los Angeles,10,8,5,1,0,0,Affordable Housing,Entitlement Approval,Mixed-use corridor,Unknown,100 rental townhomes deput at 1771 Blake Ave. in Frogtown; Affordable housing fully-framed at 4129 Centinela Ave. in Del Rey; Affordable housing on the rise at 1405 S. Broadway in DTLA; City Planning Commission votes in favor of new zoning rules near three G Line stops; Developer revises plan for housing complex at 3984 S. Meier Street,100,58,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Riverside,3,3,0,1,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,C&C Development Opens Affordable Housing in Irvine; Disposition / Exit - Riverside / California - Elme Communities selloff hits a snag; Disposition / Exit - Riverside / California - REIT's Liquidation Plan Upended After $280M Sale Falls Through; Elme Communities selloff hits a snag; JV / Partnership - Riverside / California - C&C Development Opens Affordable Housing in Irvine,71,30,No,Inland Empire BTR / rental housing watch,Review potential acquisition pipeline,Medium
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,DTLA,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,Downtown infill,Unknown,Affordable housing on the rise at 1405 S. Broadway in DTLA; General Project Signal - Los Angeles / California - Affordable housing on the rise at 1405 S. Broadway in DTLA,64,30,No,DTLA adaptive reuse watch,Review potential acquisition pipeline,Medium
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Irvine,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,C&C Development Opens Affordable Housing in Irvine; JV / Partnership - Riverside / California - C&C Development Opens Affordable Housing in Irvine,55,30,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,California,0,6,0,0,0,0,Apartment,General Entitlement Signal,Hospital-adjacent,Unknown,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment; Disposition / Exit - San Francisco / California - San Francisco Hospitality Group Divests Boutique Hotel in Japantown; General Project Signal - California - New-Construction San Diego Apartments Score $53M Bridge Loan; General Project Signal - California - Newsom Signs Bill Putting $11B Housing Bond on November Ballot,48,20,No,Monitor only,Monitor only,Low
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Culver City,1,0,0,0,0,0,Mixed-Use Residential,General Entitlement Signal,Mixed-use corridor,Unknown,Developer revises plan for housing complex at 3984 S. Meier Street,12,30,No,Monitor only,Monitor only,Low
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Downtown Los Angeles,1,0,0,0,0,0,Affordable Housing,General Entitlement Signal,Downtown infill,Unknown,Affordable housing on the rise at 1405 S. Broadway in DTLA,12,30,No,DTLA adaptive reuse watch,Monitor only,Low
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Orange County,4,0,0,0,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,"C&C Development Opens Affordable Housing in Irvine; Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties; Yorba Linda Parking Lot Sells for Townhome Redevelopment",12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Santa Monica,1,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Six homes pitched for 1533 Euclid Street in Santa Monica,12,30,No,Monitor only,Monitor only,Low
2026-06-30,20260630-000528-e3d0faf1,2026-06-30 00:05:28,Watts,1,0,0,0,0,0,Multifamily,General Entitlement Signal,University-adjacent,Unknown,JPI Expands Into Durham With Planned $150M Multifamily Complex,12,30,No,Monitor only,Monitor only,Low
