run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-007,PRJ-20260520-0091,Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,New York,New York,Hines,Apartment,95,100,95,75,95,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,22,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 22 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-015,PRJ-20260520-0052,General Project Signal - Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan,Florida,Florida,Unknown,Apartment,95,100,80,95,88,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,7,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 7 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-005,PRJ-20260520-0088,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,New York,Blackstone,General Residential,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,20,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 20 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-004,PRJ-20260520-0033,Entitlement / Permitting - Sun Belt - Cambridge Properties Bringing New Life to Aging Charlotte Center,Sun Belt,Atlanta,Unknown,Workforce Housing,95,100,80,75,100,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,30,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 30 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-003,PRJ-20260520-0031,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Wood Partners,Apartment,95,100,95,60,96,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-010,PRJ-20260520-0118,Acquisition - Sun Belt - Finmarc Sells Capital Marketplace Retail Center in Raleigh for $80.6M,Sun Belt,Raleigh,Unknown,General Residential,95,100,80,75,93,89,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,7,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-001,PRJ-20260520-0042,"General Project Signal - California - JLL, HJ Sims Secure $252.1M in Financing for Planned 214-Unit Seniors Housing Project in H...",California,California,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,39,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 39 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-013,PRJ-20260520-0054,Acquisition - Sun Belt - Walker & Dunlop Arranges $128.5M Acquisition Financing for Houston Luxury Residential Comm...,Sun Belt,Houston,Unknown,Apartment,95,100,80,75,90,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,16,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 16 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-017,PRJ-20260520-0116,JV / Partnership - Sun Belt - ZOM Ordered To Pay $323M For Circumventing Partner In Arizona Multifamily JV,Sun Belt,Phoenix,Unknown,BTR / Single-Family Rental,95,100,80,75,87,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,19,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 19 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-011,PRJ-20260520-0095,Office-to-Residential Conversion - New York - Developers Secure $98M Financing for Conversion of Harlem Correctional Facility,New York,New York,Unknown,Mixed-Use Residential,95,100,70,75,93,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,28,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 28 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-012,PRJ-20260520-0123,Construction Financing - Seattle - JLL Arranges $75M Construction Financing for Vancouver Housing Development,Seattle,Seattle,Unknown,Apartment,95,100,80,60,92,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,11,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-014,PRJ-20260520-0082,Refinancing - Sun Belt - Dwight Capital Closes $130M HUD Refi on N. Miami Apartments,Sun Belt,Miami,Unknown,Apartment,95,100,80,65,90,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,16,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 16 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-020,PRJ-20260520-0122,"Development Start - Seattle - Quarterra, MacNaughton Advance Construction on 796-Unit Seattle MF Project",Seattle,Seattle,Quarterra,Apartment,95,100,85,60,86,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,8,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 8 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-006,PRJ-20260520-0079,"Disposition / Exit - New York - Kislak Negotiates $6.8M Sale of Apartment Building in North Bergen, New Jersey",New York,Manhattan,Unknown,Apartment,95,100,70,65,96,85,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,10,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 10 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-008,PRJ-20260520-0119,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,San Francisco,Unknown,Affordable Housing,95,100,60,75,94,85,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,9,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 9 observation(s), latest stage Planning Filed, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-009,PRJ-20260520-0050,Disposition / Exit - Sun Belt - Institutional Property Advisors Brokers Luxury Apartment Sale in Dallas,Sun Belt,Dallas,Unknown,Apartment,95,100,70,60,94,84,High Confidence,Institutional Watch,Very Low,Persistent,4,8,Needs Review,Confirmed,Add to executive watchlist,"4 source file(s), 8 observation(s), latest stage Unknown Stage, identity confidence 80"
2026-05-20,20260520-040606-6613d3b9,SQ-20260520-029,PRJ-20260520-0153,Disposition / Exit - Texas - LifeCare Sells Texas Luxury Multifamily Senior Community in Tyler Texas,Texas,Texas,Unknown,Apartment,95,100,70,75,81,84,High Confidence,Institutional Watch,Very Low,Persistent,6,13,Consistent,Confirmed,Add to executive watchlist,"6 source file(s), 13 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
