run_id,run_date,source,source_tier,coverage_focus,fetch_status,source_error_message,total_articles_collected,gp_capital_candidate_count,new_gp_capital_candidate_count,repeated_gp_capital_candidate_count,excluded_by_repeat_penalty_count,excluded_by_low_relevance_count,excluded_by_integrity_issue_count,selected_gp_capital_count,retained_repeat_count,top_activity_types,top_exclusion_reasons
20260715-235936-5ac8e905,2026-07-15,Yield PRO,Tier 1,lease_up_supply;national_multifamily,OK,,7,7,7,0,0,0,0,6,0,disposition_exit:2; refinancing:1; joint_venture:1; construction_financing:1; acquisition_financing:1,development article without confirmed capital event:1
20260715-235936-5ac8e905,2026-07-15,Connect CRE Apartments,Tier 2,development_pipeline;gp_activity;national_multifamily,OK,,6,5,3,2,0,0,0,4,0,construction_financing:2; disposition_exit:1; refinancing:1; debt_financing:1,development article without confirmed capital event:1
20260715-235936-5ac8e905,2026-07-15,REBusiness Online,Tier 2,development_pipeline;gp_activity,OK,,5,5,5,0,0,0,0,3,0,disposition_exit:2; portfolio_transaction:1; construction_financing:1; joint_venture:1,development article without confirmed capital event:2
20260715-235936-5ac8e905,2026-07-15,Connect CRE South Florida,Tier 2,development_pipeline;gp_activity;sunbelt,OK,,6,5,0,5,3,0,0,2,0,construction_financing:3; acquisition:1; disposition_exit:1,repeat exposure penalty:3; historical article over 30 days old:1; development article without confirmed capital event:1
20260715-235936-5ac8e905,2026-07-15,Bisnow,Tier 1,national_multifamily,OK,,6,4,2,2,0,1,0,1,0,debt_financing:1; other_capital_event:1; capital_raise:1; acquisition:1,limited page access:4; development article without confirmed capital event:2; low relevance or thin evidence:1
20260715-235936-5ac8e905,2026-07-15,Multifamily Dive,Tier 1,national_multifamily,OK,,5,3,2,1,0,0,0,3,0,acquisition:2; debt_financing:1,none
20260715-235936-5ac8e905,2026-07-15,Multifamily Executive,Tier 1,national_multifamily,OK,,3,3,0,3,3,1,2,0,0,debt_financing:2; asset_management_operator_activity:1,"repeat exposure penalty:3; historical article over 30 days old:3; article integrity issue:2; event, webinar, or thin promotional article:1; low relevance or thin evidence:1"
20260715-235936-5ac8e905,2026-07-15,NAHB Eye on Housing - Multifamily,Tier 3,national_multifamily,OK,,15,3,0,3,3,0,0,0,0,acquisition:1; debt_financing:1; disposition_exit:1,repeat exposure penalty:3; historical article over 30 days old:3
20260715-235936-5ac8e905,2026-07-15,Connect CRE,Tier 1,development_pipeline;gp_activity;national_multifamily,OK,,3,2,2,0,0,0,0,2,0,acquisition:1; platform_expansion:1,none
20260715-235936-5ac8e905,2026-07-15,Connect CRE Atlanta,Tier 2,development_pipeline;gp_activity;sunbelt,OK,,3,2,0,2,0,0,0,2,0,debt_financing:1; acquisition:1,none
