run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Apartment,38,27,17,28,86.5,Other / Unknown,Institutional Flow,CBRE,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Affordable Housing,10,10,4,10,97.1,Los Angeles / California,Developer Strategy,Greystone,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Student Housing,4,4,4,4,89.5,Los Angeles / California,Developer Strategy,Scion Group,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Multifamily,13,2,3,7,63.3,Other / Unknown,Supply Pressure,Marcus & Millichap,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,BTR / Single-Family Rental,1,1,1,1,100.0,Riverside / California,Financing Risk,None detected,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Workforce Housing,1,1,1,1,70.0,Miami / Florida,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Mixed-Use Residential,12,9,6,9,80.3,Miami / Florida,Developer Strategy,Greystar,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Senior Housing,1,1,0,1,100.0,Los Angeles / California,Regulation Risk,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,General Residential,3,0,1,3,55.0,Miami / Florida,Developer Strategy,Berkadia,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,Office-to-Residential Conversion,0,0,0,0,0,None detected,None detected,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Monitoring Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
