run_date,run_id,la_persistent_watch_id,canonical_project_id,canonical_project_name,la_submarket,address_or_location_clue,gp_or_developer,residential_sector,latest_lifecycle_stage,progression_status,stall_risk_label,entitlement_signal_count,timing_signal_count,financing_signal_count,opportunity_score,risk_score,woomi_site_strategy_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,confidence_level
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-002,PRJ-20260706-0079,Office-to-Residential Conversion - Los Angeles / California - New details for plans to convert L.A. World Trade center into affordable housing,Los Angeles,L.A.,Kennedy Wilson,Affordable Housing,Early Site Signal,Persistent Same Stage,Low Stall Risk,2,0,0,100,37,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-004,PRJ-20260706-0139,Acquisition - Phoenix / Arizona - Inland Real Estate Group Offloads Lakewood Apartment Community for $71.5M,Los Angeles,Phoenix,CBRE,Apartment,Site Acquisition / Site Control,Persistent Same Stage,Low Stall Risk,0,0,0,100,36,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-005,PRJ-20260706-0051,General Project Signal - California - Northmarq Secures Fannie Mae DUS Financing for National City Apartments,California,California,Fannie Mae,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,0,11,100,32,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-010,PRJ-20260706-0069,Acquisition - Denver / Colorado - Inland Real Estate Group Sells Lakewood Colorado Multifamily Apartment Community for $71.5...,Los Angeles,Denver,CBRE,Apartment,Site Acquisition / Site Control,Newly Detected,No Clear Stall Risk,0,0,0,100,18,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-001,PRJ-20260706-0116,Construction Financing - New York - Transit-Oriented Fair Lawn Multifamily Scores $67M Construction Loan,Los Angeles,New York,PCCP,Apartment,Refinancing / Recapitalization,Persistent Same Stage,Low Stall Risk,0,10,10,98,48,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-032,PRJ-20260706-0033,General Project Signal - California - Affordable housing commences work at 825 Hyperion Ave. in Silver Lake,Los Angeles,825 Hyperion Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,95,40,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-003,PRJ-20260706-0174,"Refinancing - Riverside / California - PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",California,"Washington, D.C.",Kennedy Wilson,Apartment,Refinancing / Recapitalization,Persistent Same Stage,Low Stall Risk,0,0,5,94,45,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-008,PRJ-20260706-0059,Entitlement / Permitting - Sun Belt - Developer Buys Land Near Charlotte Transit Station for Development of Multifamily Mixed-Us...,Los Angeles,Charlotte,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,Persistent Same Stage,Low Stall Risk,5,0,0,94,38,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-038,PRJ-20260706-0003,Entitlement / Permitting - Los Angeles / California - 62 apartments underway at 11103 Hartsook Ave. in North Hollywood,Los Angeles,11103 Hartsook Ave,Unknown,Apartment,Unknown Stage,Newly Detected,Low Stall Risk,1,0,0,94,34,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-07-06,20260706-000644-f35b7e56,LAP-20260706-039,PRJ-20260706-0011,Entitlement / Permitting - Los Angeles / California - Affordable housing takes shape at 1734 S. Barrington Ave. in Sawtelle,Los Angeles,1734 S. Barrington Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,1,0,0,94,34,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
