run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Apartment,47,37,22,38,86.4,Other / Unknown,Institutional Flow,Berkadia,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Multifamily,21,4,2,11,64.9,Other / Unknown,Developer Strategy,Berkadia,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Student Housing,6,4,1,4,77.2,Southeast,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Affordable Housing,4,2,2,4,97.5,Los Angeles / California,Regulation Risk,JLL,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Workforce Housing,1,1,1,1,88.0,Other / Unknown,Rent Growth / Demand,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Office-to-Residential Conversion,1,1,0,1,100.0,Los Angeles / California,Institutional Flow,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Mixed-Use Residential,6,6,4,6,89.8,New York,Developer Strategy,Walker & Dunlop,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Senior Housing,2,2,1,2,89.0,Other / Unknown,Developer Strategy,JLL,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,General Residential,1,0,0,1,50.0,Los Angeles / California,Developer Strategy,None detected,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-08-12,20260812-234133-86ac94e9,2026-08-12 23:41:33,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
