run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-008,PRJ-20260519-0085,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,New York,New York,Hines,Multifamily,95,100,95,75,94,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,11,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-002,PRJ-20260519-0115,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",California,Southern California,Quarterra,Apartment,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-003,PRJ-20260519-0032,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,Atlanta,Unknown,Office-to-Residential Conversion,95,100,80,75,100,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,28,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 28 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-007,PRJ-20260519-0082,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,New York,Blackstone,General Residential,95,100,95,60,98,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,20,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 20 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-005,PRJ-20260519-0030,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Wood Partners,Apartment,95,100,95,60,95,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-004,PRJ-20260519-0055,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Houston,Unknown,Affordable Housing,95,100,70,75,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,8,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 8 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-001,PRJ-20260519-0045,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,California,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,57,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 57 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-014,PRJ-20260519-0090,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Sun Belt,Orlando,Unknown,General Residential,95,100,80,75,89,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,7,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-015,PRJ-20260519-0051,General Project Signal - Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan,Florida,Florida,Unknown,Apartment,95,100,80,75,88,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,7,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 7 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-19,20260519-021700-3e3a74df,SQ-20260519-016,PRJ-20260519-0109,BTR / Build-to-Rent - Sun Belt - Keystone Snags Refi on 166-Unit Apache Junction BTR Community,Sun Belt,Phoenix,Unknown,BTR / Single-Family Rental,95,100,80,75,87,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,15,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 15 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
