run_date,run_id,run_timestamp,pattern_type,entity_name,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,recurring_lender_score,recurring_capital_partner_score,refinancing_frequency,construction_financing_frequency,capital_flow_direction,debt_market_stress_label,capital_rotation_signal,capital_flow_strength_score
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Sun Belt,Sun Belt,Apartment,2026-05-19,2026-05-19,9,9,0,0,1,1,Increasing,Monitor Debt Conditions,Capital concentration increasing,100
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,New York,New York,Affordable Housing,2026-05-19,2026-05-19,3,3,0,0,1,2,Increasing,Monitor Debt Conditions,Capital concentration increasing,89
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Apartment,2026-05-19,2026-05-19,5,5,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,83
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,California,California,Apartment,2026-05-19,2026-05-19,3,3,0,0,0,1,Increasing,No Clear Stress,Capital concentration increasing,74
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Los Angeles,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-19,4,4,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,74
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Multifamily,2026-05-19,2026-05-19,5,5,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,72
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,California,California,Affordable Housing,2026-05-19,2026-05-19,3,3,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,61
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Affordable Housing,2026-05-19,2026-05-19,2,2,0,0,0,1,Increasing,No Clear Stress,Capital concentration increasing,57
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Los Angeles,Los Angeles,Apartment,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,55
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,JLL,New York,Multifamily,2026-05-19,2026-05-19,1,1,20,0,1,0,Increasing,Monitor Debt Conditions,Capital concentration increasing,52
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,New York,New York,Multifamily,2026-05-19,2026-05-19,1,1,0,0,1,0,Increasing,Monitor Debt Conditions,Capital concentration increasing,52
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Capital Partner,hines,New York,Multifamily,2026-05-19,2026-05-19,1,1,0,20,1,0,Increasing,Monitor Debt Conditions,Capital concentration increasing,52
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,JLL,California,Apartment,2026-05-19,2026-05-19,1,1,20,0,0,1,Increasing,No Clear Stress,Capital concentration increasing,50
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Los Angeles,Los Angeles,Affordable Housing,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,50
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Capital Partner,Blackstone,New York,General Residential,2026-05-19,2026-05-19,2,2,0,40,0,0,Increasing,No Clear Stress,Capital concentration increasing,49
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,New York,New York,General Residential,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,49
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,New York,New York,Apartment,2026-05-19,2026-05-19,1,1,0,0,1,0,Increasing,Monitor Debt Conditions,Capital concentration increasing,48
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,BTR / Single-Family Rental,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,48
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Sun Belt,Sun Belt,BTR / Single-Family Rental,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,48
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,Quarterra,Los Angeles,Apartment,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,47
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,Hines,New York,Multifamily,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,46
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Sun Belt,Sun Belt,Multifamily,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,45
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,Blackstone,New York,General Residential,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,44
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,JLL,Sun Belt,General Residential,2026-05-19,2026-05-19,2,2,40,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,44
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Los Angeles,Los Angeles,General Residential,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,44
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,Sun Belt,Sun Belt,General Residential,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,44
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,Wood Partners,Sun Belt,Apartment,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,44
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,California,California,General Residential,2026-05-19,2026-05-19,2,2,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,43
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,Camden Property Trust,Other / Unknown,Apartment,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,43
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,JLL,Los Angeles,Apartment,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,43
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,High Street Residential,Other / Unknown,Apartment,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,40
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Institutional Capital Flow,PMG,Sun Belt,Apartment,2026-05-19,2026-05-19,1,1,0,20,0,0,Increasing,No Clear Stress,Capital concentration increasing,40
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,northmarq,Sun Belt,Apartment,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,40
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,California,California,Mixed-Use Residential,2026-05-19,2026-05-19,1,1,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,39
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Market-Level Capital Concentration,California,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,1,1,0,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,39
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,cushman,California,Mixed-Use Residential,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,39
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,cushman,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,39
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,Berkadia,Sun Belt,Apartment,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,38
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,Fannie Mae,Sun Belt,BTR / Single-Family Rental,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,36
2026-05-19,20260519-021700-3e3a74df,2026-05-19 02:17:00,Recurring Lender,JLL,Sun Belt,Apartment,2026-05-19,2026-05-19,1,1,20,0,0,0,Increasing,No Clear Stress,Capital concentration increasing,36
