run_date,run_id,la_watch_id,la_submarket,project_or_deal_name,gp_or_developer,residential_sector,entitlement_signal_type,entitlement_stage,entitlement_risk_score,entitlement_opportunity_score,local_relevance_score,woomi_site_strategy_relevance,potential_site_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-06-18,20260618-001725-265595f4,LAW-20260618-002,Los Angeles,"Meeting Tonight For 1275 South California Street, Walnut Creek",,Apartment,Density Bonus / TOC,Early Planning,20,63,67,Relevant to California entitlement monitoring,Monitor density bonus use,Compare density bonus / TOC precedent with target-site assumptions,"Meeting Tonight For 1275 South California Street, Walnut Creek",https://sfyimby.com/2026/06/meeting-tonight-for-1275-south-california-street-walnut-creek.html,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-006,California,"Entitlement / Permitting - California - Seven-story, 82-unit apartment building pitched for 402 Atlantic Ave. in Long Beach",Unknown,Affordable Housing,Entitlement Approval,Unknown Stage,28,45,63,Relevant to California entitlement monitoring,Track entitlement precedent,"Track local planning docket, sponsor, submarket, and entitlement precedent","Seven-story, 82-unit apartment building pitched for 402 Atlantic Ave. in Long Beach",https://la.urbanize.city/post/seven-story-82-unit-apartment-building-pitched-402-atlantic-ave-long-beach,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-001,Los Angeles,Multifamily Financing In 2026: How Are Projects Moving Ahead?,Unknown,Multifamily,CEQA / Environmental Review,Under Review,65,30,52,General LA / California monitoring,Track entitlement precedent,"Review CEQA status, appeal risk, and approval timeline",Multifamily Financing In 2026: How Are Projects Moving Ahead?,https://www.bisnow.com/national/news/finance/multifamily-financing-capitalone-studiob-134756,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-004,Los Angeles,City Planning Commission approves residential towers at 2143 E. Violet St. in DTLA,,Affordable Housing,Planning Approval,Approved / Entitled,20,55,49,General LA / California monitoring,Benchmark permitting timeline,Monitor construction-ready pipeline and sponsor execution,City Planning Commission approves residential towers at 2143 E. Violet St. in DTLA,https://la.urbanize.city/post/city-planning-commission-approves-residential-towers-2143-e-violet-st-dtla,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-005,Los Angeles,"Final Approval For 1215 Bordeaux Drive, Sunnyvale",,Apartment,Zoning / Rezoning,Approved / Entitled,20,55,49,General LA / California monitoring,Benchmark permitting timeline,Monitor construction-ready pipeline and sponsor execution,"Final Approval For 1215 Bordeaux Drive, Sunnyvale",https://sfyimby.com/2026/06/final-approval-for-1215-bordeaux-drive-sunnyvale.html,Medium
2026-06-18,20260618-001725-265595f4,LAW-20260618-007,National,Office-to-Residential Conversion - Los Angeles / California - Affordable housing takes shape at 711 S. New Hampshire Ave. in Koreatown,Unknown,Affordable Housing,Office-to-Residential Conversion,Unknown Stage,38,42,49,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent",Affordable housing takes shape at 711 S. New Hampshire Ave. in Koreatown,https://la.urbanize.city/post/affordable-housing-takes-shape-711-s-new-hampshire-ave-koreatown,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-008,Los Angeles,Entitlement / Permitting - Los Angeles / California - Affordable housing slated for 5139 N. Colfax Ave. in Valley Village,Unknown,Affordable Housing,Entitlement Approval,Unknown Stage,38,30,45,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent",Affordable housing slated for 5139 N. Colfax Ave. in Valley Village,https://la.urbanize.city/post/affordable-housing-slated-5139-n-colfax-ave-valley-village,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-009,Beverly Hills,Construction Financing - Beverly Hills / California - Developer secures $85m loan for mixed-use project at 55 N. La Cienega Blvd. in Beverly Hil...,Marcus & Millichap,Mixed-Use Residential,Entitlement Approval,Unknown Stage,28,35,44,General LA / California monitoring,Monitor local sponsor activity,"Track local planning docket, sponsor, submarket, and entitlement precedent",Developer secures $85m loan for mixed-use project at 55 N. La Cienega Blvd. in Beverly Hills,https://la.urbanize.city/post/developer-secures-85m-loan-mixed-use-project-55-n-la-cienega-blvd-beverly-hills,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-003,Los Angeles,"250,000sf studio complex approved at 3701 S. Stocker St. in Baldwin Hills",,General Residential,Density Bonus / TOC,Delayed / Appealed,60,38,43,General LA / California monitoring,Monitor density bonus use,Compare density bonus / TOC precedent with target-site assumptions,"250,000sf studio complex approved at 3701 S. Stocker St. in Baldwin Hills",https://la.urbanize.city/post/250000sf-studio-complex-approved-3701-s-stocker-st-baldwin-hills,Low
2026-06-18,20260618-001725-265595f4,LAW-20260618-010,Los Angeles,City Planning Commission approves 76 apartments at 2413 N. Silver Lake Boulevard,,Affordable Housing,Planning Approval,Under Review,28,30,42,General LA / California monitoring,Monitor local sponsor activity,"Track local planning docket, sponsor, submarket, and entitlement precedent",City Planning Commission approves 76 apartments at 2413 N. Silver Lake Boulevard,https://la.urbanize.city/post/city-planning-commission-approves-76-apartments-2413-n-silver-lake-boulevard,Low
