run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-06-18,20260618-001725-265595f4,CBRE,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,California; Other / Unknown,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; market expansion; operational technology / AI adoption,3,100,85.7,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-18,20260618-001725-265595f4,IPA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Dallas / Texas; Phoenix / Arizona,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; JV / partnership; operational technology / AI adoption,3,100,92.7,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,Medium,100,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,JLL,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Texas,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,3,91,78.7,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-18,20260618-001725-265595f4,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Apartment,Beverly Hills / California; California; Dallas / Texas; New York; Other / Unknown,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; entitlement; operational technology / AI adoption,6,100,88.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-18,20260618-001725-265595f4,Berkadia,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,2,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,98,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,Wood Partners,Tier 3 / Growth and Market Signal Watch,50,Apartment,Phoenix / Arizona,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; JV / partnership; operational technology / AI adoption,2,100,98.5,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,Low,98,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,Los Angeles-based James Investment Partners,Tier 3 / Growth and Market Signal Watch,50,Apartment,Los Angeles / California,Core Multifamily News,Other,acquisition; disposition / exit; JV / partnership,1,92,92.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,96,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,Freestone Capital,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,California,Site / Parcel Source Expansion,Other,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,1,84,84.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,93,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,PEF Advisors,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,California,Site / Parcel Source Expansion,Other,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,1,84,84.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,93,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,Blackstone,Tier 1 / Immediate Strategic Importance,100,Affordable Housing,Austin / Texas,Site / Parcel Source Expansion,Other,JV / partnership,1,87,87.0,No Clear Capital Flow Signal,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
2026-06-18,20260618-001725-265595f4,Douglas Final Phase 13th Floor Investments,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
