run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-06-18,20260618-001725-265595f4,TIM-20260618-024,Construction Start,National,Multifamily,Unknown,Unknown,Development Start - National - Multifamily Financing In 2026: How Are Projects Moving Ahead?,In 2026,Immediate / 0-3 Months,79,Medium,Construction Start,Multifamily Financing In 2026: How Are Projects Moving Ahead?,Bisnow,https://www.bisnow.com/national/news/finance/multifamily-financing-capitalone-studiob-134756,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-003,Acquisition Window,California,Apartment,Marcus & Millichap,Unknown,Acquisition - California - Levin Johnston Finalizes 1031 Exchange for Livermore Apartments,No explicit timing reference,Unknown Timing,75,Medium,Acquisition Window,Levin Johnston Finalizes 1031 Exchange for Livermore Apartments,Connect CRE Apartments,https://www.connectcre.com/stories/levin-johnston-finalizes-1031-exchange-for-livermore-apartments/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-013,Entitlement / Permitting,California,Affordable Housing,Unknown,Unknown,"Entitlement / Permitting - California - Seven-story, 82-unit apartment building pitched for 402 Atlantic Ave. in Long Beach",No explicit timing reference,Unknown Timing,73,Medium,Entitlement / Permitting; permitting,"Seven-story, 82-unit apartment building pitched for 402 Atlantic Ave. in Long Beach",Urbanize LA,https://la.urbanize.city/post/seven-story-82-unit-apartment-building-pitched-402-atlantic-ave-long-beach,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-032,BTR / SFR Expansion Timing,National,Student Housing,Unknown,Unknown,BTR / Build-to-Rent - National - Nominate Multifamily’s Movers and Shakers for the 2026 ApartmentBuildings.com 100,2026,Immediate / 0-3 Months,72,Medium,BTR / SFR Expansion Timing,Nominate Multifamily’s Movers and Shakers for the 2026 ApartmentBuildings.com 100,Connect CRE Apartments,https://www.connectcre.com/stories/nominate-multifamilys-movers-and-shakers-for-the-2026-apartmentbuildings-com-100/,Monitor sector-specific platform timing and potential partnership relevance,Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-011,Refinancing / Maturity Window,Other / Unknown,Apartment,Unknown,Unknown,Refinancing - Other / Unknown - Dwight Capital Provides $36M HUD-Insured Loan for Multifamily Community in Missouri,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,Dwight Capital Provides $36M HUD-Insured Loan for Multifamily Community in Missouri,REBusiness Online,https://rebusinessonline.com/dwight-capital-provides-36m-hud-insured-loan-for-multifamily-community-in-missouri/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-027,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,2026,Immediate / 0-3 Months,70,Medium,Construction Start,First Quarter 2026 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/05/first-quarter-2026-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-028,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Fourth Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/fourth-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-029,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,in 2025,Immediate / 0-3 Months,70,Medium,Construction Start; starts in,Overall Housing Starts Inch Lower in 2025,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/02/overall-housing-starts-inch-lower-in-2025/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-030,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Third Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/third-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-18,20260618-001725-265595f4,TIM-20260618-005,Recapitalization Timing,California,Affordable Housing,PEF Advisors,Unknown,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",No explicit timing reference,Unknown Timing,70,Medium,Recapitalization Timing; recapitalization,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",Connect CRE Orange County,https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,"Prepare sponsor, lender, and rescue-capital watchlist",Biweekly
