run_date,run_id,canonical_project_id,canonical_project_name,market,submarket,residential_sector,gp_or_developer,first_seen_date,last_seen_date,observation_count,source_count,lifecycle_stage_history,latest_lifecycle_stage,highest_opportunity_score,highest_risk_score,entitlement_signal_count,timing_signal_count,financing_signal_count,distress_signal_count,relationship_edge_count,progression_status,stall_risk_label,persistent_asset_score,woomi_asset_watch_priority,recommended_asset_memory_follow_up
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0033,General Project Signal - Atlanta / Georgia - Madison Capital Obtains $223M Bridge Loan for 5 SE USA Apartments,Unknown,Atlanta,Apartment,Walker & Dunlop,2026-06-05,2026-06-05,5,5,Refinancing / Recapitalization,Refinancing / Recapitalization,99,48,0,0,5,0,0,Persistent Same Stage,Low Stall Risk,92,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0080,Construction Financing - Los Angeles / California - Seachange Partners Makes its Debut with Two Affordable Multifamily Developments in Los Ang...,California,Los Angeles,Affordable Housing,Berkshire Hathaway,2026-06-05,2026-06-05,7,6,Delivery / Opening,Delivery / Opening,100,40,0,7,0,0,0,Mature / Operating,Low Stall Risk,91,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0046,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,California,Affordable Housing,PEF Advisors,2026-06-05,2026-06-05,11,10,Refinancing / Recapitalization,Refinancing / Recapitalization,86,54,0,0,9,1,2,Persistent Same Stage,Medium Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0047,"General Project Signal - California - Zilber Residential Group, Homes by Towne Complete 209-Unit Multifamily Community in Rosevi...",California,California,Apartment,Unknown,2026-06-05,2026-06-05,36,6,Delivery / Opening; Delivery / Opening; Unknown Stage; Site Acquisition / Site Control; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage,Delivery / Opening,85,40,0,36,0,0,0,Mature / Operating,Low Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0039,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,California,California,General Residential,CBRE,2026-06-05,2026-06-05,11,9,Unknown Stage,Unknown Stage,87,31,0,0,0,0,3,Unknown,Low Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0137,BTR / Build-to-Rent - Phoenix / Arizona - Berkshire Hathaway acquires BTR player Taylor Morrison for $8.5B,California,Scottsdale,BTR / Single-Family Rental,Berkshire Hathaway,2026-06-05,2026-06-05,5,5,Unknown Stage,Unknown Stage,87,30,0,0,0,0,0,Unknown,Low Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0087,Development Start - Los Angeles / California - Construction kicks off for affordable housing at 706 W. 85th Street in South L.A.,California,Los Angeles,Affordable Housing,Unknown,2026-06-05,2026-06-05,14,3,Site Acquisition / Site Control; Site Acquisition / Site Control; Unknown Stage; Unknown Stage; Unknown Stage,Site Acquisition / Site Control,84,38,14,14,0,0,0,Persistent Same Stage,Low Stall Risk,83,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0136,General Project Signal - Santa Monica / California - Metro-adjacent affordable housing rises at 1640 20th Street in Santa Monica,Unknown,Santa Monica,Apartment,Unknown,2026-06-05,2026-06-05,6,3,Unknown Stage; Unknown Stage,Unknown Stage,84,34,6,0,0,0,0,Unknown,Low Stall Risk,82,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0055,"Disposition / Exit - Dallas / Texas - Contentious Dallas City Property Could Become Apartments, Retail",Unknown,Dallas,Apartment,Unknown,2026-06-05,2026-06-05,6,3,Unknown Stage; Unknown Stage,Unknown Stage,77,32,6,0,0,0,0,Unknown,Low Stall Risk,80,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0106,Entitlement / Permitting - New York - Proposed apartments face appeal at 3411 Foothill Blvd. in Glendale,New York,Unknown,Affordable Housing,Unknown,2026-06-05,2026-06-05,6,6,Community Review,Community Review,47,63,6,0,0,0,0,Persistent Same Stage,Medium Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0045,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,California,Apartment,JLL,2026-06-05,2026-06-05,23,10,Refinancing / Recapitalization; Unknown Stage,Refinancing / Recapitalization,64,32,0,23,12,1,6,Persistent Same Stage,Low Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0053,"Disposition / Exit - Dallas / Texas - Contentious Dallas City Property Could Become Apartments, Retail",Dallas / Texas,Dallas,Apartment,Unknown,2026-06-05,2026-06-05,7,4,Site Acquisition / Site Control; Site Acquisition / Site Control,Site Acquisition / Site Control,58,37,7,0,0,0,0,Persistent Same Stage,Low Stall Risk,78,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0018,Disposition / Exit - Los Angeles / California - 19-story high-rise starts work at 6055 Center Drive in Westchester,California,Houston,Mixed-Use Residential,Hanover Company,2026-06-05,2026-06-05,4,2,,Unknown Stage,100,26,0,0,0,0,0,Newly Detected,Low Stall Risk,76,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0088,Development Start - Los Angeles / California - Construction kicks off for affordable housing at 706 W. 85th Street in South L.A.,Los Angeles / California,Los Angeles,Affordable Housing,Unknown,2026-06-05,2026-06-05,11,4,Site Acquisition / Site Control; Site Acquisition / Site Control,Site Acquisition / Site Control,50,36,11,11,0,0,0,Persistent Same Stage,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0034,General Project Signal - Atlanta / Georgia - Insignia Pursuing Embassy Row Redevelopment,Atlanta / Georgia,Atlanta,Mixed-Use Residential,Unknown,2026-06-05,2026-06-05,8,4,Site Acquisition / Site Control; Unknown Stage,Site Acquisition / Site Control,50,36,0,0,1,0,0,Persistent Same Stage,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0081,Disposition / Exit - Los Angeles / California - Mixed-use project slated for 9700 W. Pico Blvd. in Pico-Robertson,Los Angeles / California,Los Angeles,Affordable Housing,CBRE,2026-06-05,2026-06-05,6,6,Unknown Stage,Unknown Stage,50,31,2,0,0,0,0,Unknown,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0152,JV / Partnership - Washington DC - IPA Capital Markets Arranges $27M for Luxury DC Multifamily,Unknown,Washington Dc,Apartment,IPA,2026-06-05,2026-06-05,9,7,Unknown Stage,Unknown Stage,83,31,0,0,0,0,3,Unknown,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0119,Construction Financing - Other / Unknown - $39M Bridge Loan Arranged by JLL for Central Massachusetts Active Adult Community in Worce...,Unknown,Unknown,Senior Housing,JLL,2026-06-05,2026-06-05,14,6,,Unknown Stage,77,42,0,14,14,2,4,Newly Detected,Low Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0061,Disposition / Exit - Los Angeles / California - 19-story high-rise starts work at 6055 Center Drive in Westchester,Los Angeles / California,Houston,Mixed-Use Residential,Hanover Company,2026-06-05,2026-06-05,5,3,Building Permit / Construction Permit; Unknown Stage,Building Permit / Construction Permit,57,31,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0036,General Project Signal - Atlanta / Georgia - Insignia Pursuing Embassy Row Redevelopment,Unknown,Atlanta,Apartment,Unknown,2026-06-05,2026-06-05,6,3,Refinancing / Recapitalization; Unknown Stage,Refinancing / Recapitalization,59,30,0,0,3,0,0,Persistent Same Stage,Low Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0128,Construction Financing - Phoenix / Arizona - Scottsdale Developer Inks $141M Construction Loan for Luxury Apartments,Unknown,Phoenix,Apartment,Unknown,2026-06-05,2026-06-05,6,3,Refinancing / Recapitalization; Unknown Stage,Refinancing / Recapitalization,72,55,0,6,3,0,0,Persistent Same Stage,Medium Stall Risk,72,Strategic Asset Watch,Monitor for repeated project updates
2026-06-05,20260605-114113-2df19a72,PRJ-20260605-0145,"Acquisition - Texas - Marcus & Millichap Brokers Sale of 119-Unit Multifamily Portfolio in Kerrville, Texas",Texas,Texas,Multifamily,Marcus & Millichap,2026-06-05,2026-06-05,8,7,Unknown Stage,Unknown Stage,76,30,0,0,0,0,2,Unknown,Low Stall Risk,72,Strategic Asset Watch,Monitor for repeated project updates
