run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,California,Apartment,23,20,16,89.7,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Los Angeles,Apartment,17,15,11,91.7,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,National / Other,Multifamily,30,15,4,74.4,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Florida,Apartment,6,6,0,90.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Texas,Affordable Housing,5,5,2,96.2,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Southeast,Mixed-Use Residential,6,5,2,90.2,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,New York,Apartment,5,5,1,93.2,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Arizona,Apartment,3,3,2,91.0,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Phoenix,Apartment,3,3,2,91.0,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Dallas,Mixed-Use Residential,3,3,0,93.7,Institutional Flow,None detected,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Seattle,Mixed-Use Residential,1,1,1,92.0,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Austin,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-07-24,20260724-000218-f61364aa,2026-07-24 00:02:18,Sun Belt,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
