run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_transition_id,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,previous_stage,current_stage,previous_stage_rank,current_stage_rank,transition_type,stage_change,days_since_first_seen,days_since_last_seen,observation_count,progression_score,stall_risk_score,execution_momentum_label,woomi_timing_relevance,recommended_transition_follow_up,evidence_article_title,source,url,confidence_level
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0072,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,80,LCT-20260523-013,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,California,Los Angeles,Office-to-Residential Conversion,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,78,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Former IBM offices at 3424 Wilshire to become housing,Urbanize LA,https://la.urbanize.city/post/former-ibm-offices-3424-wilshire-become-housing,High
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0072,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,80,LCT-20260523-020,Former IBM offices at 3424 Wilshire to become housing,California,Los Angeles,Office-to-Residential Conversion,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,77,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Former IBM offices at 3424 Wilshire to become housing,Urbanize LA,https://la.urbanize.city/post/former-ibm-offices-3424-wilshire-become-housing,High
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0040,Construction Financing - Sun Belt - LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community R...,80,LCT-20260523-039,Construction Financing - Sun Belt - LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community R...,Sun Belt,Atlanta,Student Housing,Unknown,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,71,15,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community Rambler Atlanta,Yield PRO,https://yieldpro.com/2026/05/rambler-atlanta/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0040,Construction Financing - Sun Belt - LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community R...,80,LCT-20260523-042,LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community Rambler Atlanta,Sun Belt,Atlanta,Student Housing,Unknown,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,71,14,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community Rambler Atlanta,Yield PRO,https://yieldpro.com/2026/05/rambler-atlanta/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0094,Refinancing - New York - Dwight Capital Provides $54M HUD-Insured Loan for Refinancing of Queens Apartment Building,80,LCT-20260523-023,Investment Firm Acquires SoHo Mixed-Use for $43M,New York,New York,Mixed-Use Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,69,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Investment Firm Acquires SoHo Mixed-Use for $43M,Connect CRE,https://www.connectcre.com/stories/investment-firm-acquires-soho-mixed-use-for-43m/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0094,Refinancing - New York - Dwight Capital Provides $54M HUD-Insured Loan for Refinancing of Queens Apartment Building,80,LCT-20260523-052,Acquisition - New York - Investment Firm Acquires SoHo Mixed-Use for $43M,New York,New York,Mixed-Use Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,68,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Investment Firm Acquires SoHo Mixed-Use for $43M,Connect CRE,https://www.connectcre.com/stories/investment-firm-acquires-soho-mixed-use-for-43m/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0111,BTR / Build-to-Rent - Sun Belt - Work Begins on 94-Unit Scottsdale Luxury BTR Community,80,LCT-20260523-058,Acquisition - Sun Belt - US Merchants Picks Up Rail-Ready Surprise Warehouse for $63.8M,Sun Belt,Phoenix,General Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,67,12,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",US Merchants Picks Up Rail-Ready Surprise Warehouse for $63.8M,Connect CRE Phoenix,https://www.connectcre.com/stories/us-merchants-picks-up-rail-ready-surprise-warehouse-for-63-8m/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0139,"General Project Signal - Other / Unknown - Construction Begins on Second Phase of Luxury Apartment Project in Blue Springs, Missouri",80,LCT-20260523-070,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,Unknown,Unknown,Apartment,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,65,12,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Multifamily Absorption Rate Remains Below 50%,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/multifamily-absorption-rate-remains-below-50/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0052,Office-to-Residential Conversion - California - Historic Bank of Italy Building in San Jose to be Converted into Residential and Retail To...,80,LCT-20260523-007,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,California,Apartment,Unknown,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,63,31,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0079,Construction Financing - Sun Belt - Madison Realty Capital Originates $91.8M Construction Loan for Multifamily Project in Sout...,80,LCT-20260523-008,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Sun Belt,Miami,Apartment,Unknown,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,63,30,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,Medium
