run_date,run_id,la_watch_id,la_submarket,project_or_deal_name,gp_or_developer,residential_sector,entitlement_signal_type,entitlement_stage,entitlement_risk_score,entitlement_opportunity_score,local_relevance_score,woomi_site_strategy_relevance,potential_site_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-002,Los Angeles,"Partnership Underway on 274-Unit Multifamily Project in Horsham, Pennsylvania",RXR,Multifamily,Density Bonus / TOC,Unknown Stage,28,53,51,General LA / California monitoring,Monitor density bonus use,Compare density bonus / TOC precedent with target-site assumptions,"Partnership Underway on 274-Unit Multifamily Project in Horsham, Pennsylvania",https://rebusinessonline.com/partnership-underway-on-274-unit-multifamily-project-in-horsham-pennsylvania/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-001,Los Angeles,Apartments under construction at 5547 N. Elmer Ave. in North Hollywood,,Affordable Housing,Entitlement Approval,Approved / Entitled,20,55,49,General LA / California monitoring,Benchmark permitting timeline,Monitor construction-ready pipeline and sponsor execution,Apartments under construction at 5547 N. Elmer Ave. in North Hollywood,https://la.urbanize.city/post/apartments-under-construction-5547-n-elmer-ave-north-hollywood,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-003,Los Angeles,"Citi Prices Largest Single Bank-Contributed, Multi-Only CMBS Conduit Deal Since GFC",Unknown,Multifamily,Density Bonus / TOC,Unknown Stage,28,48,49,General LA / California monitoring,Monitor density bonus use,Compare density bonus / TOC precedent with target-site assumptions,"Citi Prices Largest Single Bank-Contributed, Multi-Only CMBS Conduit Deal Since GFC",https://commercialobserver.com/2026/07/citi-conduit-cmbs/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-006,Dallas,Office-to-Residential Conversion - Dallas / Texas - StreetLights Advancing Apartment Venture at Former Plano Office Campus,Unknown,Mixed-Use Residential,Office-to-Residential Conversion,Unknown Stage,28,42,47,General LA / California monitoring,Track office-to-residential feasibility,"Track local planning docket, sponsor, submarket, and entitlement precedent",StreetLights Advancing Apartment Venture at Former Plano Office Campus,https://www.connectcre.com/stories/streetlights-advancing-apartment-venture-at-former-plano-office-campus/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-005,Los Angeles,West Palm Beach Eyeing Waterfront Rezoning Moratorium,,Apartment,Zoning / Rezoning,Unknown Stage,43,30,46,General LA / California monitoring,Monitor local sponsor activity,"Track local planning docket, sponsor, submarket, and entitlement precedent",West Palm Beach Eyeing Waterfront Rezoning Moratorium,https://www.connectcre.com/stories/west-palm-beach-eyeing-waterfront-property-moratorium/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-007,Los Angeles,Entitlement / Permitting - Los Angeles / California - Affordable housing underway at 1035 S. Crenshaw Blvd.,Unknown,Affordable Housing,Entitlement Approval,Unknown Stage,38,30,45,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent",Affordable housing underway at 1035 S. Crenshaw Blvd.,https://la.urbanize.city/post/affordable-housing-underway-1035-s-crenshaw-blvd,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-009,Atlanta,Entitlement / Permitting - Atlanta / Georgia - Apartment Developer Pursuing Phillips Place for Multifamily Community,Unknown,Apartment,Entitlement Approval,Unknown Stage,28,30,42,General LA / California monitoring,Track entitlement precedent,"Track local planning docket, sponsor, submarket, and entitlement precedent",Apartment Developer Pursuing Phillips Place for Multifamily Community,https://www.connectcre.com/stories/apartment-developer-pursuing-phillips-place-for-multifamily-community/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-008,Los Angeles,Apartment Developer Pursuing Phillips Place for Multifamily Community,,Apartment,Zoning / Rezoning,Unknown Stage,28,30,42,General LA / California monitoring,Monitor local sponsor activity,"Track local planning docket, sponsor, submarket, and entitlement precedent",Apartment Developer Pursuing Phillips Place for Multifamily Community,https://www.connectcre.com/stories/apartment-developer-pursuing-phillips-place-for-multifamily-community/,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-010,Los Angeles,Silicon Valley Cities See Spike In Office Demolitions,,Apartment,Zoning / Rezoning,Unknown Stage,28,30,42,General LA / California monitoring,Monitor local sponsor activity,"Track local planning docket, sponsor, submarket, and entitlement precedent",Silicon Valley Cities See Spike In Office Demolitions,https://www.bisnow.com/san-francisco/news/multifamily/upzoning-unlocks-development-opportunities-across-sf-peninsula-135461,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-011,San Francisco,Entitlement / Permitting - San Francisco / California - Silicon Valley Cities See Spike In Office Demolitions,Unknown,Apartment,Entitlement Approval,Unknown Stage,28,30,42,General LA / California monitoring,Track entitlement precedent,"Track local planning docket, sponsor, submarket, and entitlement precedent",Silicon Valley Cities See Spike In Office Demolitions,https://www.bisnow.com/san-francisco/news/multifamily/upzoning-unlocks-development-opportunities-across-sf-peninsula-135461,Low
2026-07-18,20260718-235559-a40a5f93,LAW-20260718-004,Santa Monica,"Entitlement / Permitting - Santa Monica / California - LAX people mover lawsuit, Santa Monica's SB 79 plan, and more",Unknown,General Residential,Entitlement Approval,Delayed / Appealed,45,20,33,Low relevance,Track entitlement precedent,"Track local planning docket, sponsor, submarket, and entitlement precedent","LAX people mover lawsuit, Santa Monica's SB 79 plan, and more",https://la.urbanize.city/post/lax-people-mover-lawsuit-santa-monicas-sb-79-plan-and-more,Low
