run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Los Angeles,9,3,4,2,1,3,General Residential,Entitlement Approval,Adaptive reuse corridor,Unknown,"17 apartments planned at 2217 S. Fox Hills Dr. in Century City; Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.; Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach; Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",100,52,Yes,DTLA adaptive reuse watch,Track local planning docket and entitlement precedent,High
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Koreatown,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,General submarket monitoring,Unknown,Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,70,52,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Century City,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,General submarket monitoring,Unknown,17 apartments planned at 2217 S. Fox Hills Dr. in Century City; Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,70,40,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Wilshire,2,1,1,1,0,1,Office-to-Residential Conversion,Office-to-Residential Conversion,Adaptive reuse corridor; Office conversion corridor,Unknown,Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.; Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown; Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,69,55,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Santa Ana,1,1,0,1,1,1,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,65,57,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Anaheim,1,1,0,1,1,1,General Residential,General Entitlement Signal,General submarket monitoring,Unknown,Anaheim Industrial Outdoor Storage Site Secures Bridge Loan; General Project Signal - California - Anaheim Industrial Outdoor Storage Site Secures Bridge Loan,63,52,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Echo Park,1,1,0,1,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Avison Young Markets Echo Park Multifamily Portfolio; Disposition / Exit - Los Angeles - Avison Young Markets Echo Park Multifamily Portfolio,58,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Long Beach,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach; General Project Signal - California - Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach,58,30,No,Long Beach mixed-use residential watch,Review potential acquisition pipeline,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Arts District,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,Arts district,Unknown,General Project Signal - Los Angeles - Renderings revealed: Arts District towers at 2143 E. Violet Street; Renderings revealed: Arts District towers at 2143 E. Violet Street,56,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,California,0,4,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition; Disposition / Exit - California - Northmarq: Multifamily Sale Serves as Benchmark for Fresno Market; General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project; Refinancing - California - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,32,20,No,Monitor only,Monitor only,Low
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Inland Empire,1,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,$46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,12,30,No,Inland Empire BTR / rental housing watch,Monitor only,Low
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Orange County,3,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Anaheim Industrial Outdoor Storage Site Secures Bridge Loan; JLL Arranges $252M Financing for Huntington Beach Seniors Project; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Pasadena,1,0,0,0,0,0,Mixed-Use Residential,General Entitlement Signal,General submarket monitoring,Unknown,New housing slated for 1045 Locust Street in Pasadena,12,30,No,Pasadena entitlement precedent watch,Monitor only,Low
