run_date,run_id,la_asset_watch_id,asset_or_project_name,address_or_location_clue,la_submarket,gp_or_developer,residential_sector,entitlement_status,construction_status,asset_strategy_signal,site_control_signal,execution_stage,la_asset_opportunity_score,la_asset_risk_score,woomi_site_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-05-27,20260527-013618-38446781,LAA-20260527-001,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,611 S. Hobart Blvd,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,100,40,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites",Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,https://la.urbanize.city/post/affordable-housing-unwrapped-611-s-hobart-blvd-koreatown,High
2026-05-27,20260527-013618-38446781,LAA-20260527-002,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,2217 S. Fox Hills Dr,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,100,40,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites",17 apartments planned at 2217 S. Fox Hills Dr. in Century City,https://la.urbanize.city/post/17-apartments-planned-2217-s-fox-hills-dr-century-city,High
2026-05-27,20260527-013618-38446781,LAA-20260527-012,General Project Signal - California - Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach,California,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,99,39,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites",Affordable housing takes shape at 101 Pacific Coast Hwy. in Long Beach,https://la.urbanize.city/post/affordable-housing-takes-shape-101-pacific-coast-hwy-long-beach,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-013,Entitlement / Permitting - Los Angeles - Developer revives plan for Best Western hotel at 2645 S. Western Ave. in Jefferson Park,2645 S. Western Ave,Los Angeles,Unknown,Multifamily,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,99,38,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites",Developer revives plan for Best Western hotel at 2645 S. Western Ave. in Jefferson Park,https://la.urbanize.city/post/developer-revives-plan-best-western-hotel-2645-s-western-ave-jefferson-park,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-017,"Entitlement / Permitting - Other / Unknown - Plans Increase For 1223 East 33rd Avenue in Fruitvale, Oakland",Unknown,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Entitlement Play,Land / parcel referenced,Site Search / Early Signal,98,26,High relevance to Woomi site strategy,Track site control precedent,"Track entitlement docket, density bonus use, and affordability requirement","Plans Increase For 1223 East 33rd Avenue in Fruitvale, Oakland",https://sfyimby.com/2026/05/plans-increase-for-1223-east-33rd-avenue-in-fruitvale-oakland.html,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-003,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",National,Los Angeles,AvalonBay,Apartment,Unknown,Unknown,General Asset Signal,Unknown site control,Unknown,98,24,High relevance to Woomi site strategy,Track local sponsor activity,Monitor asset for repeated local confirmation,"AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",https://www.bisnow.com/national/news/capital-markets/avalonbay-equity-residential-all-stock-merger-creating-180000-apartment-giant-134679,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-020,"General Project Signal - California - Affordable Housing Pivot For 11880 Skyline Boulevard, Oakland Hills",11880 Skyline Boulevard,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,96,24,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites","Affordable Housing Pivot For 11880 Skyline Boulevard, Oakland Hills",https://sfyimby.com/2026/05/affordable-housing-pivot-for-11880-skyline-boulevard-oakland-hills.html,High
2026-05-27,20260527-013618-38446781,LAA-20260527-021,Entitlement / Permitting - Los Angeles - Habitat development opens for residents next to La Cienega/Jefferson Station,Los Angeles,Los Angeles,Unknown,Workforce Housing,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,95,40,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites",Habitat development opens for residents next to La Cienega/Jefferson Station,https://la.urbanize.city/post/habitat-development-opens-residents-next-la-cienegajefferson-station,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-004,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Atlanta,Los Angeles,Wood Partners,Apartment,Unknown,Unknown,General Asset Signal,Existing asset sale,Unknown,92,26,High relevance to Woomi site strategy,Track local sponsor activity,Monitor asset for repeated local confirmation,Charlotte Apartment Project Fetches $107M,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,Medium
2026-05-27,20260527-013618-38446781,LAA-20260527-005,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,Los Angeles,Unknown,Apartment,Unknown,Unknown,Refinancing / Recapitalization,Unknown site control,Unknown,91,67,High relevance to Woomi site strategy,Review acquisition comparables,"Review parcel clue, entitlement path, sponsor, and comparable sites",JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,Low
