run_date,run_id,run_timestamp,entity_type,entity_name,signal_type,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,persistence_score,momentum_direction,signal_acceleration,recurring_signal_label,historical_importance_score,longitudinal_conviction_score,institutional_persistence_score,capital_flow_strength_score
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Lender / Debt Provider,JLL,Construction Financing,California,Apartment,2026-05-19,2026-05-27,13,1,96,Stable,0,Persistent,89,93,90,87
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,JLL -> JLL,Financing Relationship,California,,2026-05-19,2026-05-27,27,2,96,Stable,0,Persistent,83,91,90,87
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,JLL -> California,Financing Relationship,California,,2026-05-19,2026-05-27,13,1,95,Stable,0,Persistent,82,90,90,87
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> JLL,Financing Relationship,California,,2026-05-19,2026-05-27,13,1,93,Stable,0,Persistent,82,89,89,86
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Deal / Project,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing,California,Apartment,2026-05-19,2026-05-27,13,1,96,Stable,0,Persistent,81,90,70,79
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Lender / Debt Provider,JLL,General Project Signal,California,Senior Housing,2026-05-20,2026-05-27,14,1,93,Stable,0,Persistent,80,88,89,66
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> northmarq,Financing Relationship,California,,2026-05-22,2026-05-27,8,1,87,Stable,0,Persistent,80,84,86,84
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Lender / Debt Provider,northmarq,Disposition / Exit,California,Apartment,2026-05-22,2026-05-27,8,1,86,Stable,0,Persistent,78,83,86,63
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Residential Sector,Office-to-Residential Conversion,"Adaptive reuse, entitlement, and construction feasibility signal",Los Angeles,Office-to-Residential Conversion,2026-05-20,2026-05-27,12,1,100,Stable,0,Persistent,75,90,72,61
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> California,Acquisition / Buyer,California,,2026-05-21,2026-05-27,18,3,94,Stable,0,Persistent,75,86,90,67
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,Los Angeles -> Los Angeles,Entitlement / Permitting,Los Angeles,,2026-05-19,2026-05-27,40,4,94,Stable,0,Persistent,75,86,90,67
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,Los Angeles -> California,Entitlement / Permitting,California,,2026-05-19,2026-05-27,13,1,93,Stable,0,Persistent,74,85,89,66
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> California,Market Expansion,California,,2026-05-19,2026-05-27,23,2,92,Stable,0,Persistent,74,85,88,66
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> California,Entitlement / Permitting,California,,2026-05-19,2026-05-27,11,1,91,Stable,0,Persistent,74,84,88,65
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,California -> San Francisco,Entitlement / Permitting,California,,2026-05-19,2026-05-27,11,1,91,Stable,0,Persistent,74,84,88,65
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Lender / Debt Provider,JLL,General Project Signal,California,General Residential,2026-05-19,2026-05-27,13,1,91,Stable,0,Persistent,74,84,88,65
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,JLL -> California,Market Expansion,California,,2026-05-20,2026-05-27,14,1,91,Stable,0,Persistent,74,84,88,65
2026-05-27,20260527-013618-38446781,2026-05-27 01:36:18,Relationship Edge,Los Angeles -> Los Angeles,Market Expansion,Los Angeles,,2026-05-19,2026-05-27,32,2,91,Stable,0,Persistent,74,84,88,65
