run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,California,Apartment,15,12,7,87.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Los Angeles,Affordable Housing,12,10,7,90.5,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,National / Other,Multifamily,31,15,13,71.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,General Monitoring,Watch GP / developer partnership opportunities
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Sun Belt,Apartment,19,14,9,81.7,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Southeast,Apartment,10,8,5,84.3,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,New York,Multifamily,7,5,6,79.0,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Florida,Apartment,6,5,2,85.5,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Phoenix,Apartment,4,3,3,79.2,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Texas,Apartment,3,3,1,100.0,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Seattle,Affordable Housing,2,1,1,71.5,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Dallas,Multifamily,1,1,0,83.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Arizona,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-05-27,20260527-230207-4be4208e,2026-05-27 23:02:07,Austin,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
