run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Apartment,34,22,15,26,86.0,Other / Unknown,Developer Strategy,Marcus & Millichap,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Multifamily,19,6,6,10,65.0,Other / Unknown,Developer Strategy,Freddie Mac,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Affordable Housing,6,5,1,6,88.8,Los Angeles / California,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Office-to-Residential Conversion,3,3,2,3,89.3,Los Angeles / California,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,BTR / Single-Family Rental,2,2,1,2,90.5,Dallas / Texas,Financing Risk,None detected,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Student Housing,2,2,0,1,79.5,Miami / Florida,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Workforce Housing,1,1,1,1,100.0,Los Angeles / California,Financing Risk,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Mixed-Use Residential,11,9,4,9,82.2,Miami / Florida,Developer Strategy,Brookfield,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Senior Housing,1,0,0,1,60.0,Miami / Florida,Financing Risk,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,General Residential,1,0,0,1,53.0,Miami / Florida,Financing Risk,Berkadia,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-09-12,20260912-005635-3eb9652a,2026-09-12 00:56:35,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
