run_date,run_id,canonical_project_id,canonical_project_name,market,submarket,residential_sector,gp_or_developer,first_seen_date,last_seen_date,observation_count,source_count,lifecycle_stage_history,latest_lifecycle_stage,highest_opportunity_score,highest_risk_score,entitlement_signal_count,timing_signal_count,financing_signal_count,distress_signal_count,relationship_edge_count,progression_status,stall_risk_label,persistent_asset_score,woomi_asset_watch_priority,recommended_asset_memory_follow_up
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0055,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,California,California,Affordable Housing,Greystone,2026-08-31,2026-08-31,15,10,Refinancing / Recapitalization; Unknown Stage,Refinancing / Recapitalization,100,60,0,0,15,1,3,Persistent Same Stage,Medium Stall Risk,94,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0087,Refinancing - Los Angeles / California - Bascom Refinances Historic Apartments in Los Angeles Westlake District,California,Los Angeles,Apartment,Bascom Group,2026-08-31,2026-08-31,12,6,Delivery / Opening; Delivery / Opening,Delivery / Opening,98,40,0,0,10,0,0,Mature / Operating,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0056,"JV / Partnership - California - Rockpoint, Holland Partner Group to Develop 311-Unit Multifamily Project in San Jose, Cali...",California,California,Apartment,Holland Partner Group,2026-08-31,2026-08-31,11,8,Site Acquisition / Site Control; Site Acquisition / Site Control,Site Acquisition / Site Control,100,36,0,0,0,0,2,Persistent Same Stage,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0051,Acquisition - California - Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,California,California,Apartment,AvalonBay,2026-08-31,2026-08-31,11,9,Unknown Stage,Unknown Stage,100,32,0,0,0,0,3,Unknown,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0060,Entitlement / Permitting - California - Notable multifamily policy and legal moves from this summer,California,California,Affordable Housing,Unknown,2026-08-31,2026-08-31,17,7,Unknown Stage; Unknown Stage; Environmental Review / CEQA,Unknown Stage,82,63,17,0,0,0,0,Unknown,Medium Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0069,Acquisition - Dallas / Texas - Marcus & Millichap Brokers Sale of 316-Unit Apartment Complex in Fort Worth,Unknown,Fort Worth,Apartment,Marcus & Millichap,2026-08-31,2026-08-31,9,5,Unknown Stage; Site Acquisition / Site Control,Unknown Stage,94,36,0,0,0,0,0,Unknown,Low Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0040,Disposition / Exit - Atlanta / Georgia - Cortland Sells West Palm Rental at Discount for $208M,Unknown,Atlanta,Apartment,Fairfield Residential,2026-08-31,2026-08-31,5,5,Site Acquisition / Site Control,Site Acquisition / Site Control,95,36,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0057,JV / Partnership - California - JV Acquires Value-Add Escondido Multifamily,California,California,Apartment,IPA,2026-08-31,2026-08-31,10,9,Unknown Stage,Unknown Stage,99,31,0,0,0,0,2,Unknown,Low Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0050,"JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",California,California,Senior Housing,Alliance Residential,2026-08-31,2026-08-31,11,9,Delivery / Opening,Delivery / Opening,97,24,0,0,0,0,3,Mature / Operating,No Clear Stall Risk,88,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0093,Refinancing - Los Angeles / California - Priority Capital Advisory Arranges $13.65M Bridge Loan to Refinance Newly Developed 33-Uni...,California,Los Angeles,Student Housing,Unknown,2026-08-31,2026-08-31,15,4,Vertical Construction; Site Acquisition / Site Control; Refinancing / Recapitalization; Unknown Stage; Unknown Stage,Vertical Construction,80,56,15,0,3,0,0,Persistent Same Stage,Medium Stall Risk,87,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0158,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Unknown,South Florida,Apartment,Fairfield Residential,2026-08-31,2026-08-31,5,5,Site Acquisition / Site Control,Site Acquisition / Site Control,87,36,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0161,"Office-to-Residential Conversion - Miami / Florida - KeyBank Provides $22M Acquisition Loan for Tampa Student Housing Community, Borrower Plans...",Unknown,South Florida,Student Housing,Unknown,2026-08-31,2026-08-31,12,3,Early Site Signal; Unknown Stage; Unknown Stage; Unknown Stage,Early Site Signal,79,44,0,0,3,0,0,Persistent Same Stage,Low Stall Risk,82,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0049,JV / Partnership - California - 408 apartments rise at 2828 N. MainPlace Dr. in Santa Ana,California,Unknown,Apartment,Affinius Capital,2026-08-31,2026-08-31,7,6,Vertical Construction,Vertical Construction,80,11,0,0,0,0,2,Persistent Same Stage,No Clear Stall Risk,81,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0144,JV / Partnership - California - Stratford Partners JV Buys San Diego-Area Apartments for $34M,California,San Diego,Apartment,Unknown,2026-08-31,2026-08-31,4,4,Unknown Stage,Unknown Stage,85,40,0,0,0,0,0,Unknown,Low Stall Risk,80,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0130,"Refinancing - Other / Unknown - JLL Arranges $39M Loan for Refinancing of Active Adult Complex in Worcester, Massachusetts",Unknown,Unknown,Senior Housing,JLL,2026-08-31,2026-08-31,7,6,,Unknown Stage,84,48,0,0,7,1,2,Newly Detected,Low Stall Risk,77,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0156,"Acquisition - Seattle - IPA Arranges $37M Sale of Vista Ridge Apartments in Issaquah, Washington",Seattle,Seattle,Apartment,IPA,2026-08-31,2026-08-31,8,7,Unknown Stage,Unknown Stage,87,31,0,0,0,0,2,Unknown,Low Stall Risk,76,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0135,JV / Partnership - Other / Unknown - Related-Led Joint Venture Breaks-Ground on 494-Unit Luxury Multifamily Boca Raton Apartmen...,Other / Unknown,Unknown,Multifamily,Unknown,2026-08-31,2026-08-31,42,6,Site Acquisition / Site Control,Site Acquisition / Site Control,47,38,0,42,8,2,0,Persistent Same Stage,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0099,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,Unknown,Apartment,Fairfield Residential,2026-08-31,2026-08-31,7,5,Site Acquisition / Site Control,Site Acquisition / Site Control,50,36,0,0,0,0,3,Persistent Same Stage,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0168,JV / Partnership - Other / Unknown - Related-Led Joint Venture Breaks-Ground on 494-Unit Luxury Multifamily Boca Raton Apartmen...,Unknown,Unknown,Apartment,Unknown,2026-08-31,2026-08-31,28,2,Delivery / Opening; Refinancing / Recapitalization; Refinancing / Recapitalization; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage,Delivery / Opening,75,32,0,28,4,0,0,Mature / Operating,Low Stall Risk,75,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0150,Refinancing - San Francisco / California - Northmarq Arranges $23M Refinancing for Multifamily Property Align Apartments in Federal W...,Unknown,San Francisco,Apartment,Unknown,2026-08-31,2026-08-31,3,3,Refinancing / Recapitalization,Refinancing / Recapitalization,85,56,0,0,3,0,0,Persistent Same Stage,Medium Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0053,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,California,California,Apartment,Fannie Mae,2026-08-31,2026-08-31,11,9,Unknown Stage,Unknown Stage,48,32,0,0,11,0,3,Unknown,Low Stall Risk,74,Strategic Asset Watch,Monitor for repeated project updates
2026-08-31,20260831-010729-937da5a9,PRJ-20260831-0059,Disposition / Exit - California - Costa Mesa Multifamily Changes Hands for Value-Add Repositioning,California,California,Apartment,Marcus & Millichap,2026-08-31,2026-08-31,10,9,Unknown Stage,Unknown Stage,47,29,0,0,0,0,2,Unknown,Low Stall Risk,73,Strategic Asset Watch,Monitor for repeated project updates
