run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Apartment,44,32,16,33,85.0,Other / Unknown,Institutional Flow,IPA,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Affordable Housing,7,6,4,7,93.1,California,Developer Strategy,Greystone,"California affordability, entitlement, and public-private partnership signal",Strategic Expansion Sector,"Track LA / California affordability, entitlement, and public-private partnership signals"
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Multifamily,15,4,5,10,64.6,Other / Unknown,Developer Strategy,CBRE,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Student Housing,2,2,2,2,100.0,Los Angeles / California,Financing Risk,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Senior Housing,3,3,2,3,96.7,Other / Unknown,Financing Risk,Alliance Residential,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Mixed-Use Residential,3,3,0,2,82.3,Houston / Texas,Developer Strategy,None detected,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,General Residential,3,0,2,3,57.0,Los Angeles / California,Financing Risk,CBRE,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Office-to-Residential Conversion,0,0,0,0,0,None detected,None detected,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Monitoring Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-08-31,20260831-010729-937da5a9,2026-08-31 01:07:29,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
