run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-08-13,20260813-234110-2a0a6fe3,AvalonBay,Tier 1 / Immediate Strategic Importance,100,Multifamily,Other / Unknown,Core Multifamily News,Other,acquisition; operational technology / AI adoption,1,87,87.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-13,20260813-234110-2a0a6fe3,Fannie Mae,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,5,100,95.8,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-08-13,20260813-234110-2a0a6fe3,Greystar,Tier 1 / Immediate Strategic Importance,100,Multifamily,Other / Unknown,Site / Parcel Source Expansion,Other,modular construction,1,94,94.0,Operational / Platform Investment,GP Capability Benchmark Signal,construction strategy signal,Low,100,Monitor only
2026-08-13,20260813-234110-2a0a6fe3,JLL,Tier 3 / Growth and Market Signal Watch,50,Multifamily,California; Other / Unknown; Washington DC,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,4,100,97.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-08-13,20260813-234110-2a0a6fe3,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Apartment,Arizona; California; Other / Unknown,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,5,100,85.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-13,20260813-234110-2a0a6fe3,CrossHarbor Capital Partners,Tier 3 / Growth and Market Signal Watch,50,Multifamily,California,Core Multifamily News,Other,refinancing; JV / partnership,1,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,High,99,Map potential GP / JV relationship and monitor partnership activity
2026-08-13,20260813-234110-2a0a6fe3,Equity Residential,Tier 1 / Immediate Strategic Importance,100,Multifamily,Other / Unknown,Core Multifamily News,Other,acquisition; operational technology / AI adoption,1,87,87.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,99,Track capital deployment and pricing signals
2026-08-13,20260813-234110-2a0a6fe3,Washington SB Real Estate Partners,Tier 3 / Growth and Market Signal Watch,50,Multifamily,California,Site / Parcel Source Expansion,Other,refinancing; JV / partnership,1,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,High,99,Map potential GP / JV relationship and monitor partnership activity
2026-08-13,20260813-234110-2a0a6fe3,Bascom Group,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; operational technology / AI adoption,1,91,91.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,96,Review California / LA capital and developer activity
2026-08-13,20260813-234110-2a0a6fe3,IPA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Arizona; Miami / Florida; Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; market expansion; operational technology / AI adoption,3,89,72.7,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,93,Track capital deployment and pricing signals
