run_date,run_id,run_timestamp,duplicate_cluster_id,deal_fingerprint_id,duplicate_count,primary_reference_article,duplicate_articles,deduplicated_opportunity_score,deduplicated_distress_score,opportunities_before_deduplication,distress_before_deduplication,opportunities_removed_via_deduplication,distress_inflation_prevented,multi_source_confirmation,strongest_opportunity_type,strongest_distress_type,market,residential_sector
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-001,DFP-38DEE0D2A8,2,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,96,80,1,1,0,0,Yes,Construction Financing Gap,,California,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-017,DFP-920342F693,2,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties","PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",88,72,1,1,0,0,Yes,Recapitalization Opportunity,,California,Affordable Housing
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-003,DFP-F215452BB2,2,Slate Property Group Closes on $86M Refi for LIC Apartments,Slate Property Group Closes on $86M Refi for LIC Apartments,86,67,1,1,0,0,Yes,Refinancing Gap,,New York,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-002,DFP-58B14F6E56,2,"Berkadia Arranges $82.1M Refinancing for Apartment Community in Nokomis, Florida","Berkadia Arranges $82.1M Refinancing for Apartment Community in Nokomis, Florida",86,67,1,1,0,0,Yes,Refinancing Gap,,Sarasota / Florida,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-004,DFP-5F9C6308F6,2,Newmark Provides $115.6M Agency Loan for Refinancing of Southern Connecticut Multifamily Properties,Newmark Provides $115.6M Agency Loan for Refinancing of Southern Connecticut Multifamily Properties,86,65,1,1,0,0,Yes,Refinancing Gap,,Connecticut,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-009,DFP-7520E112C4,2,Developer Duo Inks $870M Construction Loan for Lake Austin Four Seasons Residences,Developer Duo Inks $870M Construction Loan for Lake Austin Four Seasons Residences,82,50,1,1,0,0,Yes,Construction Financing Gap,,Austin / Texas,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-019,DFP-E32E8A9E2D,2,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,63,60,1,1,0,0,Yes,Construction Financing Gap,,Miami / Florida,Apartment
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-020,DFP-016DE810E8,2,PSRS Arranges $6.8M in Construction Financing for Affordable Housing Project in North Hollywood,PSRS Arranges $6.8M in Construction Financing for Affordable Housing Project in North Hollywood,61,56,1,1,0,0,Yes,Construction Financing Gap,,Los Angeles / California,Affordable Housing
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-045,DFP-BAF967DC89,2,Derby Copeland Capital Provides $54 Million Refi for Lexington Avenue Condo,Derby Copeland Capital Provides $54 Million Refi for Lexington Avenue Condo,58,53,1,1,0,0,Yes,Refinancing Gap,,New York City / New York,General Residential
2026-06-04,20260604-000136-6cfa7913,2026-06-04 00:01:36,DCL-20260604-050,DFP-7277C0303C,2,Georgia Tech Student Housing Investors Ink Refi,Georgia Tech Student Housing Investors Ink Refi,57,52,1,1,0,0,Yes,Refinancing Gap,,Atlanta / Georgia,Student Housing
