run_date,run_id,entitlement_signal_id,market,city_or_submarket,residential_sector,gp_or_developer,project_or_deal_name,entitlement_signal_type,entitlement_stage,approval_body,regulatory_theme,affordability_component,density_or_zoning_signal,ceqa_or_environmental_signal,timing_reference,entitlement_risk_score,entitlement_opportunity_score,woomi_developer_relevance,recommended_follow_up,source_article_title,source,url,confidence_level
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-004,New York,Los Angeles,Affordable Housing,Unknown,NYC unveils plan to speed up affordable housing development,CEQA / Environmental Review,Under Review,Unknown,CEQA risk,Yes,No clear density / zoning signal,Yes,2026,75,30,Relevant to US residential developer capability,"Monitor CEQA timeline, appeals, and environmental review milestones",NYC unveils plan to speed up affordable housing development,Multifamily Dive,https://www.multifamilydive.com/news/nyc-speed-affordable-housing-development/820640/,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-006,Los Angeles,Los Angeles,Office-to-Residential Conversion,Unknown,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,No explicit timing reference,28,57,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Former IBM offices at 3424 Wilshire to become housing,Urbanize LA,https://la.urbanize.city/post/former-ibm-offices-3424-wilshire-become-housing,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-011,Los Angeles,Los Angeles,Office-to-Residential Conversion,Unknown,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,No explicit timing reference,28,57,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Urbanize LA,https://la.urbanize.city/post/adaptive-reuse-planned-westwood-office-tower-10900-wilshire-blvd,Medium
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-002,National,Los Angeles,Apartment,Unknown,"AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Density Bonus / TOC,Unknown Stage,Unknown,Density incentive,No,toc,No,2026,28,48,General entitlement monitoring,Benchmark density bonus / TOC use and project economics,"AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Bisnow,https://www.bisnow.com/national/news/capital-markets/avalonbay-equity-residential-all-stock-merger-creating-180000-apartment-giant-134679,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-003,National,Other / Unknown,Apartment,Unknown,"Equity Residential, AvalonBay to Merge for $52B Apartment REIT",Density Bonus / TOC,Unknown Stage,Unknown,Density incentive,No,toc,No,2026,28,48,General entitlement monitoring,Benchmark density bonus / TOC use and project economics,"Equity Residential, AvalonBay to Merge for $52B Apartment REIT",Connect CRE Apartments,https://www.connectcre.com/stories/equity-residential-avalonbay-to-merge-for-52b-apartment-reit/,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-016,Other / Unknown,Unknown,Multifamily,Unknown,Entitlement / Permitting - Other / Unknown - Builders Stay Cautious as Single-Family Permits Weaken,Entitlement Approval,Unknown Stage,Unknown,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,28,48,General entitlement monitoring,Track construction-ready pipeline and comparable sponsor execution,Builders Stay Cautious as Single-Family Permits Weaken,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2025/10/builders-stay-cautious-as-single-family-permits-weaken/,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-007,California,California,Affordable Housing,Unknown,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Entitlement Approval,Unknown Stage,Unknown,General regulatory watch,Yes,No clear density / zoning signal,No,No explicit timing reference,38,45,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/affordable-housing-unwrapped-611-s-hobart-blvd-koreatown,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-005,Los Angeles,Los Angeles,Affordable Housing,Unknown,Entitlement / Permitting - Los Angeles - Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Entitlement Approval,Unknown Stage,Unknown,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,28,45,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Urbanize LA,https://la.urbanize.city/post/tommy-beadel-why-los-angeles-easiest-place-develop-real-estate,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-009,Los Angeles,L.A.,Multifamily,Unknown,Entitlement / Permitting - Los Angeles - Developer revives plan for Best Western hotel at 2645 S. Western Ave. in Jefferson Park,Entitlement Approval,Unknown Stage,Unknown,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,28,45,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Developer revives plan for Best Western hotel at 2645 S. Western Ave. in Jefferson Park,Urbanize LA,https://la.urbanize.city/post/developer-revives-plan-best-western-hotel-2645-s-western-ave-jefferson-park,Low
2026-05-21,20260521-230148-97d5f8bd,ENT-20260521-012,National,U.S.,Apartment,Unknown,Office-to-Residential Conversion - National - Dwight Capital Provides $114M HUD Loan for Milwaukee Office-to-Resi Conversion,Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,No explicit timing reference,28,42,General entitlement monitoring,"Review office conversion feasibility, policy support, and local sponsor activity",Dwight Capital Provides $114M HUD Loan for Milwaukee Office-to-Resi Conversion,Commercial Observer,https://commercialobserver.com/2026/05/dwight-capital-hud-loan-milwaukee-office-to-resi-conversion/,Low
