run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,California,Apartment,21,19,12,93.3,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Los Angeles,Affordable Housing,14,14,9,97.6,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,National / Other,Multifamily,31,14,5,72.1,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Florida,Apartment,8,7,4,90.0,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Arizona,Apartment,8,7,4,88.1,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Phoenix,Apartment,8,7,4,88.1,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Southeast,Student Housing,9,7,2,80.2,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Seattle,Affordable Housing,4,4,2,92.0,Developer Strategy,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Texas,Apartment,5,2,0,68.2,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,New York,Apartment,2,1,2,83.5,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Austin,Apartment,1,1,0,100.0,Financing Risk,None detected,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Dallas,Apartment,3,1,0,65.3,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-06-15,20260615-001053-87d3b62d,2026-06-15 00:10:53,Sun Belt,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
