run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-015,PRJ-20260522-0052,Disposition / Exit - Florida - Scion and Ares Acquire $910M Student Housing Portfolio from Harrison Street U.S.,Florida,Florida,Unknown,Apartment,95,100,80,95,90,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,12,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 12 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-003,PRJ-20260522-0077,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Unknown,National,AvalonBay,Apartment,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-006,PRJ-20260522-0089,JV / Partnership - New York - Blackstone Announces Joint Venture with Google to Create New TPU Cloud,New York,New York,Blackstone,General Residential,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-005,PRJ-20260522-0035,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Wood Partners,Apartment,95,100,95,60,96,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-013,PRJ-20260522-0078,Acquisition - National - Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,Unknown,National,Brookfield,Apartment,95,100,95,60,91,89,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,9,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-001,PRJ-20260522-0048,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,California,California,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,55,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 55 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-004,PRJ-20260522-0037,"Acquisition - Sun Belt - Dominium Acquires Affordable Seniors Housing Community in Duluth, Georgia, Plans $9.9M Ren...",Sun Belt,Atlanta,Unknown,Affordable Housing,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,24,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 24 observation(s), latest stage Early Site Signal, identity confidence 80"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-002,PRJ-20260522-0110,"General Project Signal - California - AvalonBay, Equity Residential Merging to Form $69B Multifamily Giant",California,San Francisco,AvalonBay,Apartment,95,100,85,60,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-009,PRJ-20260522-0054,Operational / Property Management Tech - Sun Belt - VoltaGrid Announces $1 Billion Strategic Equity Investment from Blackstone and Halliburton...,Sun Belt,Houston,Blackstone,General Residential,95,100,85,60,94,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-011,PRJ-20260522-0076,Construction Financing - Sun Belt - Madison Realty Capital Originates $91.8M Construction Loan for Multifamily Project in Sout...,Sun Belt,Miami,Unknown,Apartment,95,100,80,65,93,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,36,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 36 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-22,20260522-230155-fb3b56b2,SQ-20260522-019,PRJ-20260522-0034,BTR / Build-to-Rent - Arizona - Keystone Homes Refinances Arizona Multifamily Build-to-Rent Community with $30M in Fannie...,Arizona,Arizona,Unknown,Apartment,95,100,80,75,85,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,6,14,Consistent,Confirmed,Immediate strategic review,"6 source file(s), 14 observation(s), latest stage Delivery / Opening, identity confidence 80"
