run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,California,Apartment,17,15,11,87.7,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Los Angeles,Mixed-Use Residential,13,10,9,86.4,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,National / Other,Apartment,28,15,7,74.5,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Southeast,Apartment,11,7,2,75.4,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Florida,Apartment,6,4,5,79.7,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Texas,Apartment,3,3,2,94.0,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,New York,Apartment,3,2,2,80.3,Institutional Flow,Rent Growth Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Dallas,Apartment,1,1,1,94.0,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Arizona,Apartment,3,1,1,66.7,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Phoenix,Apartment,3,1,1,66.7,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Austin,Senior Housing,1,1,0,91.0,Financing Risk,None detected,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Seattle,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Sun Belt,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
