run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Apartment,36,19,12,27,82.5,Other / Unknown,Developer Strategy,Fannie Mae,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Affordable Housing,6,4,2,6,90.3,Los Angeles / California,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Multifamily,14,2,2,7,62.4,Other / Unknown,Developer Strategy,Standard Real Estate Investments,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Student Housing,3,2,2,3,76.3,Florida,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,BTR / Single-Family Rental,1,1,1,1,82.0,Other / Unknown,Financing Risk,Berkadia,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Mixed-Use Residential,7,6,6,7,91.9,Los Angeles / California,Developer Strategy,High Street Residential,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Senior Housing,2,2,0,2,87.5,Austin / Texas,Developer Strategy,Equity Residential,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,General Residential,3,0,3,3,59.3,Los Angeles / California,Institutional Flow,CBRE,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Office-to-Residential Conversion,0,0,0,0,0,None detected,None detected,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Monitoring Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-09-24,20260924-010837-3de2bd8c,2026-09-24 01:08:37,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
