run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Riverside,4,4,0,2,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,"C&C Development Opens Affordable Housing in Irvine; C&C Development, Riverside Charitable Corp. Open 60-Unit Affordable Housing Community in Irvine, California; Disposition / Exit - Riverside / California - Elme Communities selloff hits a snag; Disposition / Exit - Riverside / California - REIT's Liquidation Plan Upended After $280M Sale Falls Through; Elme Communities selloff hits a snag",95,30,No,Inland Empire BTR / rental housing watch,Review potential acquisition pipeline,High
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,California,0,7,1,0,0,0,Affordable Housing,Entitlement Approval,General submarket monitoring,Unknown,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment; Entitlement / Permitting - California - Affordable housing takes shape at 733 S. Burlington Ave. in Westlake; General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project; General Project Signal - California - New-Construction San Diego Apartments Score $53M Bridge Loan,79,42,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Irvine,2,2,0,2,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,"C&C Development Opens Affordable Housing in Irvine; C&C Development, Riverside Charitable Corp. Open 60-Unit Affordable Housing Community in Irvine, California; JV / Partnership - Riverside / California - C&C Development Opens Affordable Housing in Irvine; JV / Partnership - Riverside / California - C&C Development, Riverside Charitable Corp. Open 60-Unit Affordable Housing Community in I...",79,30,No,Orange County suburban apartment watch,Review potential acquisition pipeline,High
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Hollywood,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,General submarket monitoring,Unknown,Affordable housing under constructiona t 1740 N. Wilton Place in Hollywood; Entitlement / Permitting - Los Angeles / California - Affordable housing under constructiona t 1740 N. Wilton Place in Hollywood,68,52,Yes,Hollywood / transit-oriented housing watch,Track local planning docket and entitlement precedent,Medium
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,DTLA,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,Downtown infill,Unknown,Affordable housing on the rise at 1405 S. Broadway in DTLA; General Project Signal - Los Angeles / California - Affordable housing on the rise at 1405 S. Broadway in DTLA,64,30,No,DTLA adaptive reuse watch,Review potential acquisition pipeline,Medium
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Santa Monica,2,1,0,1,0,1,BTR / Single-Family Rental,General Entitlement Signal,Mixed-use corridor,Unknown,BTR / Build-to-Rent - Santa Monica / California - Construction goes vertical for mixed-use project at 1902 Wilshire Blvd. in Santa Monica; Construction goes vertical for mixed-use project at 1902 Wilshire Blvd. in Santa Monica; Six homes pitched for 1533 Euclid Street in Santa Monica,61,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Wilshire,1,1,0,1,0,1,BTR / Single-Family Rental,General Entitlement Signal,Mixed-use corridor,Unknown,BTR / Build-to-Rent - Santa Monica / California - Construction goes vertical for mixed-use project at 1902 Wilshire Blvd. in Santa Monica; Construction goes vertical for mixed-use project at 1902 Wilshire Blvd. in Santa Monica,61,30,No,Koreatown multifamily watch,Review potential acquisition pipeline,Medium
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Los Angeles,9,2,1,0,0,0,Affordable Housing,CEQA / Environmental Review,Downtown infill,Unknown,100 rental townhomes deput at 1771 Blake Ave. in Frogtown; 159 homes slated for 601 Potrero Grande Dr. in Monterey Park; Affordable housing fully-framed at 4129 Centinela Ave. in Del Rey; Affordable housing on the rise at 1405 S. Broadway in DTLA; Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,46,65,Yes,Monitor only,Track local planning docket and entitlement precedent,Low
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Downtown Los Angeles,1,0,0,0,0,0,Affordable Housing,General Entitlement Signal,Downtown infill,Unknown,Affordable housing on the rise at 1405 S. Broadway in DTLA,12,30,No,DTLA adaptive reuse watch,Monitor only,Low
2026-06-27,20260627-000844-ffc034be,2026-06-27 00:08:44,Orange County,6,0,0,0,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,"C&C Development Opens Affordable Housing in Irvine; C&C Development, Riverside Charitable Corp. Open 60-Unit Affordable Housing Community in Irvine, California; Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; JLL Arranges $252M Financing for Huntington Beach Seniors Project; PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",12,30,No,Orange County suburban apartment watch,Monitor only,Low
