run_date,run_id,file_name,file_type,category,generated_status,row_count_or_section_count,last_updated,short_description,recommended_reader
2026-06-27,20260627-000844-ffc034be,articles.csv,CSV,Raw Collection,Generated,68,2026-06-27 00:08:44,All saved articles above the relevance threshold.,Strategy Team
2026-06-27,20260627-000844-ffc034be,high_priority_articles.csv,CSV,Strategy Briefing,Generated,34,2026-06-27 00:08:44,Must Read and Review articles.,Executive
2026-06-27,20260627-000844-ffc034be,market_signals.csv,CSV,Strategy Briefing,Generated,28,2026-06-27 00:08:44,Articles with numeric market signals.,Strategy Team
2026-06-27,20260627-000844-ffc034be,strategy_briefing.csv,CSV,Strategy Briefing,Generated,37,2026-06-27 00:08:44,Core briefing dataset for strategic review.,Executive
2026-06-27,20260627-000844-ffc034be,daily_strategy_briefing.md,Markdown,Strategy Briefing,Generated,8,2026-06-27 00:08:44,Human-readable daily strategy briefing.,Executive
2026-06-27,20260627-000844-ffc034be,weekly_strategy_memo.md,Markdown,Strategy Briefing,Generated,39,2026-06-27 00:09:06,"Weekly memo with trends, regimes, and strategic implications.",Executive
2026-06-27,20260627-000844-ffc034be,executive_dashboard_brief.md,Markdown,Executive Dashboard,Generated,11,2026-06-27 00:09:06,Concise dashboard-ready executive brief.,Executive
2026-06-27,20260627-000844-ffc034be,executive_dashboard_brief_ko.md,Markdown,Executive Dashboard,Generated,7,2026-06-27 00:09:06,Korean executive dashboard briefing.,Executive
2026-06-27,20260627-000844-ffc034be,weekly_strategy_memo_ko.md,Markdown,Strategy Briefing,Generated,6,2026-06-27 00:09:06,Korean weekly strategy memo.,Executive
2026-06-27,20260627-000844-ffc034be,executive_priority_brief_ko.md,Markdown,Executive Dashboard,Generated,4,2026-06-27 00:09:06,Korean executive priority brief.,Executive
2026-06-27,20260627-000844-ffc034be,opportunity_radar_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-06-27 00:09:06,Korean opportunity radar report.,Investment Team
2026-06-27,20260627-000844-ffc034be,distress_watchlist_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-06-27 00:09:06,Korean distress watchlist report.,Investment Team
2026-06-27,20260627-000844-ffc034be,high_confidence_watchlist_report_ko.md,Markdown,Quality Control,Generated,4,2026-06-27 00:09:06,Korean high-confidence watchlist report.,Executive
2026-06-27,20260627-000844-ffc034be,la_asset_watch_report_ko.md,Markdown,Deal / Asset Intelligence,Generated,5,2026-06-27 00:09:06,Korean LA asset watch report.,US Local Team
2026-06-27,20260627-000844-ffc034be,la_entitlement_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,5,2026-06-27 00:09:06,Korean LA entitlement watch report.,US Local Team
2026-06-27,20260627-000844-ffc034be,la_development_lifecycle_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,4,2026-06-27 00:09:06,Korean LA development lifecycle watch report.,US Local Team
2026-06-27,20260627-000844-ffc034be,gp_watchlist_report_ko.md,Markdown,GP / Institutional Intelligence,Generated,5,2026-06-27 00:09:06,Korean GP watchlist report.,Strategy Team
