run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,California,Affordable Housing,24,19,12,86.7,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Los Angeles,Affordable Housing,17,14,9,88.9,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,New York,Apartment,13,9,6,82.7,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,General Monitoring,Review development underwriting assumptions
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,National / Other,Multifamily,25,9,3,68.2,Financing Risk,Deal Size Signal,Financing-sensitive development environment,General Monitoring,Review development underwriting assumptions
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Texas,Apartment,8,7,4,79.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Florida,Apartment,8,6,5,78.9,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Dallas,Apartment,5,4,4,77.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Southeast,Apartment,8,4,3,75.5,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Austin,Mixed-Use Residential,2,2,0,78.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Arizona,Apartment,3,1,2,69.3,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Phoenix,Apartment,3,1,2,69.3,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Sun Belt,Apartment,1,1,0,100.0,Financing Risk,None detected,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-02,20260702-000820-f445e33a,2026-07-02 00:08:20,Seattle,Affordable Housing,1,1,0,84.0,None detected,None detected,General market monitoring,Strategic Watch Market,Monitor only
