run_date,run_id,la_watch_id,la_submarket,project_or_deal_name,gp_or_developer,residential_sector,entitlement_signal_type,entitlement_stage,entitlement_risk_score,entitlement_opportunity_score,local_relevance_score,woomi_site_strategy_relevance,potential_site_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-07-02,20260702-000820-f445e33a,LAW-20260702-001,Los Angeles,"Retail, Multifamily CMBS Delinquencies Rise in June as Overall Rate Moves Lower",Unknown,Multifamily,CEQA / Environmental Review,Under Review,65,30,52,General LA / California monitoring,Track entitlement precedent,"Review CEQA status, appeal risk, and approval timeline","Retail, Multifamily CMBS Delinquencies Rise in June as Overall Rate Moves Lower",https://www.connectcre.com/stories/retail-multifamily-cmbs-delinquencies-rise-in-june-as-overall-rate-moves-lower/,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-002,Los Angeles,More affordable housing underway at 21010 Vanowen St. in Canoga Park,Unknown,Affordable Housing,Building Permit / Construction Permit,Permitted,30,55,52,General LA / California monitoring,Watch affordable housing requirement,Monitor construction-ready pipeline and sponsor execution,More affordable housing underway at 21010 Vanowen St. in Canoga Park,https://la.urbanize.city/post/more-affordable-housing-underway-21010-vanowen-st-canoga-park,Medium
2026-07-02,20260702-000820-f445e33a,LAW-20260702-003,Los Angeles,JV / Partnership - Los Angeles / California - More affordable housing underway at 21010 Vanowen St. in Canoga Park,Unknown,Affordable Housing,Entitlement Approval,Approved / Entitled,30,55,52,General LA / California monitoring,Watch affordable housing requirement,Monitor construction-ready pipeline and sponsor execution,More affordable housing underway at 21010 Vanowen St. in Canoga Park,https://la.urbanize.city/post/more-affordable-housing-underway-21010-vanowen-st-canoga-park,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-006,Los Angeles,"Office-to-Residential Conversion - Los Angeles / California - Kennedy Wilson, Jamison Partner to Deliver 4,000 Affordable Units Across LA",Kennedy Wilson,Affordable Housing,Office-to-Residential Conversion,Unknown Stage,38,47,51,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent","Kennedy Wilson, Jamison Partner to Deliver 4,000 Affordable Units Across LA",https://www.connectcre.com/stories/kennedy-wilson-jamison-partner-to-deliver-4000-affordable-units-across-la/,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-007,Los Angeles,"Office-to-Residential Conversion - Los Angeles / California - Kennedy Wilson, Jamison To Convert LA World Trade Center In 4,000-Unit Affordable Housing...",Kennedy Wilson,Affordable Housing,Office-to-Residential Conversion,Unknown Stage,38,47,51,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent","Kennedy Wilson, Jamison To Convert LA World Trade Center In 4,000-Unit Affordable Housing Push",https://www.bisnow.com/los-angeles/news/construction-development/kennedy-wilson-jamison-team-up-on-dtla-world-trade-center-resi-conversion-135254,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-004,Los Angeles,Entitlement / Permitting - Los Angeles / California - Developer revises plan for housing complex at 3984 S. Meier Street,Unknown,Mixed-Use Residential,Entitlement Approval,Approved / Entitled,20,55,49,General LA / California monitoring,Benchmark permitting timeline,Monitor construction-ready pipeline and sponsor execution,Developer revises plan for housing complex at 3984 S. Meier Street,https://la.urbanize.city/post/developer-revises-plan-housing-complex-3984-s-meier-street,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-005,Los Angeles,"Office-to-Residential Conversion - Los Angeles / California - JV Plans 4,000 Affordable Units in L.A., Starting With Former World Trade Center",Kennedy Wilson,Office-to-Residential Conversion,Office-to-Residential Conversion,Early Planning,30,47,49,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent","JV Plans 4,000 Affordable Units in L.A., Starting With Former World Trade Center",https://commercialobserver.com/2026/06/la-housing-kennedy-wilson-jamsison/,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-009,Los Angeles / California,Office-to-Residential Conversion - Los Angeles / California - Adaptive reuse to create affordable housing at 521 and 530 E. 4th St. in Long Beach,Unknown,Affordable Housing,Office-to-Residential Conversion,Unknown Stage,38,42,49,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent",Adaptive reuse to create affordable housing at 521 and 530 E. 4th St. in Long Beach,https://la.urbanize.city/post/adaptive-reuse-create-affordable-housing-521-and-530-e-4th-st-long-beach,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-008,Los Angeles,L.A. City Council approves $2-billion Fourth & Central development,Unknown,Affordable Housing,Entitlement Approval,Unknown Stage,43,30,46,General LA / California monitoring,Track entitlement precedent,"Track local planning docket, sponsor, submarket, and entitlement precedent",L.A. City Council approves $2-billion Fourth & Central development,https://la.urbanize.city/post/la-city-council-approves-2-billion-fourth-central-development,Low
2026-07-02,20260702-000820-f445e33a,LAW-20260702-010,Los Angeles,Entitlement / Permitting - Los Angeles / California - Affordable housing takes shape at 1734 S. Barrington Ave. in Sawtelle,Unknown,Affordable Housing,Entitlement Approval,Unknown Stage,38,30,45,General LA / California monitoring,Watch affordable housing requirement,"Track local planning docket, sponsor, submarket, and entitlement precedent",Affordable housing takes shape at 1734 S. Barrington Ave. in Sawtelle,https://la.urbanize.city/post/affordable-housing-takes-shape-1734-s-barrington-ave-sawtelle,Low
