run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary,confidence_reason
2026-05-29,20260529-230138-14a22af3,SQ-20260529-003,PRJ-20260529-0048,JV / Partnership - California - Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Commu...,California,California,Alliance Residential,Apartment,95,100,95,75,100,93,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,20,Consistent,Confirmed,Immediate strategic review,"9 source file(s), 20 observation(s), latest stage Delivery / Opening, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-010,PRJ-20260529-0061,Refinancing - Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily,Florida,Florida,Crescent Communities,Multifamily,95,100,95,75,91,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Delivery / Opening, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-015,PRJ-20260529-0043,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",Arizona,Arizona,Wood Partners,Apartment,95,100,95,75,89,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,8,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 8 observation(s), latest stage Delivery / Opening, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-006,PRJ-20260529-0098,"Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development",New York,New York,Unknown,Mixed-Use Residential,95,100,80,75,100,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,18,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 18 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-002,PRJ-20260529-0084,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,New York,Manhattan,Unknown,Apartment,95,100,80,75,100,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,6,Consistent,Confirmed,Immediate strategic review,"4 source file(s), 6 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-007,PRJ-20260529-0045,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Wood Partners,Apartment,95,100,95,60,96,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-004,PRJ-20260529-0087,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Sun Belt,Miami,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,22,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 22 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-001,PRJ-20260529-0055,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,California,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,34,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 34 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-009,PRJ-20260529-0047,Entitlement / Permitting - Sun Belt - Cambridge Properties Bringing New Life to Aging Charlotte Center,Sun Belt,Atlanta,Unknown,Apartment,95,100,80,65,97,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,23,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 23 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-05-29,20260529-230138-14a22af3,SQ-20260529-013,PRJ-20260529-0053,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,California,Unknown,Lincoln Property Company,Apartment,95,100,85,60,90,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,9,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
