run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Kennedy Wilson,Kennedy Wilson,100,100,90,55,80,100,25,100,0,67,78,Tier 2 High Potential GP,Los Angeles / California,Office-to-Residential Conversion,Other,kennedy wilson; pgim,kennedy wilson; pgim,Office-to-Residential Conversion; Refinancing; Refinancing / Recapitalization; operational efficiency push; refinancing; office-to-residential conversion; JV / partnership; operational technology / AI adoption,adaptive reuse,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Freestone Capital,Freestone Capital,83,93,90,100,70,100,0,100,0,60,77,Tier 2 High Potential GP,California,Affordable Housing,Other,None detected,None detected,Capital Inflow; distressed recapitalization; recapitalization; JV / partnership; capital raise; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,PEF Advisors,PEF Advisors,83,93,90,100,70,100,0,100,0,60,77,Tier 2 High Potential GP,California,Affordable Housing,Other,None detected,None detected,Capital Inflow; Recapitalization; distressed recapitalization; recapitalization; JV / partnership; capital raise; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,CBRE,CBRE,100,100,90,100,30,65,0,100,0,67,70,Tier 2 High Potential GP,California,General Residential,Other,cbre,cbre,Capital Inflow; Disposition / Exit; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,JLL,JLL,100,97,90,55,90,65,0,90,0,67,70,Tier 2 High Potential GP,New York City / New York,Apartment,Other,jll,jll,Acquisition; Capital Inflow; Refinancing; acquisition; disposition / exit; refinancing; capital raise; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Luxury East Village Multifamily JLL Capital,JLL,100,97,90,55,90,65,0,90,0,67,70,Tier 2 High Potential GP,New York City / New York,Apartment,Other,jll,jll,Acquisition; Capital Inflow; Refinancing; acquisition; disposition / exit; refinancing; capital raise; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Related California,Related Companies,100,91,65,55,70,75,0,100,0,60,65,Tier 3 Monitoring GP,Los Angeles / California,Affordable Housing,Other,related,related,Operational / Platform Investment; operational efficiency push; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Improving,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Related Companies,Related Companies,100,91,65,55,70,75,0,100,0,60,65,Tier 3 Monitoring GP,Los Angeles / California,Affordable Housing,Other,related,related,Operational / Platform Investment; operational efficiency push; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Improving,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Freddie Mac,Freddie Mac,92,98,90,35,90,100,0,0,0,64,64,Tier 3 Monitoring GP,Other / Unknown,Apartment,Other,freddie mac,freddie mac,Acquisition; Capital Inflow; acquisition; refinancing; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Elme Communities,Elme Communities,73,86,90,55,90,100,0,0,0,56,63,Tier 3 Monitoring GP,Riverside / California,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
