run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Apartment,40,27,18,33,86.2,Other / Unknown,Developer Strategy,JLL,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Affordable Housing,13,10,7,11,88.7,Los Angeles / California,Developer Strategy,Related California,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Multifamily,17,2,3,11,65.8,Other / Unknown,Developer Strategy,Walker & Dunlop,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Student Housing,1,1,1,1,71.0,Georgia,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Office-to-Residential Conversion,1,1,0,1,100.0,Los Angeles / California,Institutional Flow,Kennedy Wilson,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,BTR / Single-Family Rental,1,1,0,1,89.0,Other / Unknown,Developer Strategy,Greystar,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Mixed-Use Residential,6,5,2,4,80.0,Atlanta / Georgia,Developer Strategy,Lincoln Property Company,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,General Residential,4,0,2,4,56.2,New York City / New York,Institutional Flow,CBRE,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Senior Housing,0,0,0,0,0,None detected,None detected,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-07-01,20260701-000701-05607635,2026-07-01 00:07:01,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
