run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,California,Apartment,14,11,6,85.8,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Los Angeles,Affordable Housing,9,9,4,89.3,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Sun Belt,Apartment,21,16,8,83.1,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,National / Other,Apartment,30,15,10,73.6,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,General Monitoring,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Southeast,Apartment,9,8,3,89.1,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Florida,Apartment,7,7,3,96.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,New York,Apartment,6,4,5,83.5,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Arizona,Apartment,2,2,2,79.5,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Phoenix,BTR / Single-Family Rental,3,2,2,72.3,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Texas,Multifamily,3,2,0,79.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Dallas,Multifamily,2,1,0,75.5,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Austin,BTR / Single-Family Rental,2,1,0,68.5,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-05-25,20260525-230212-45b2fe12,2026-05-25 23:02:12,Seattle,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
