run_date,run_id,watchlist_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,latest_lifecycle_stage,opportunity_score,risk_score,overall_signal_quality_score,institutional_confidence_label,supporting_source_count,recurring_observation_count,strategic_theme,woomi_relevance,recommended_executive_action,supporting_evidence_summary
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-001,PRJ-20260802-0096,"Acquisition - California - USA Properties, Strand Financial Sell 293-Unit Talavera Multifamily Community in Folsom, C...",California,Los Angeles,CBRE,Apartment,Distressed / Stalled,100,82,97,Strong Institutional Signal,6,12,Distressed opportunity,Priority Asset Watch,Review immediately,"6 source file(s), 12 observation(s), latest stage Distressed / Stalled, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-002,PRJ-20260802-0082,Refinancing - Riverside / California - Northmarq Arranges Freddie Mac Loan for Upland Apartments,California,Inland Empire,Freddie Mac,Apartment,Refinancing / Recapitalization,100,41,97,Strong Institutional Signal,5,5,Refinancing opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-003,PRJ-20260802-0102,Acquisition - Los Angeles / California - Van Nuys Apartments Trade for First Time Since Delivery,California,Los Angeles,Marcus & Millichap,Apartment,Delivery / Opening,98,18,95,Strong Institutional Signal,6,7,LA urban infill opportunity,Priority Asset Watch,Review immediately,"6 source file(s), 7 observation(s), latest stage Delivery / Opening, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-004,PRJ-20260802-0052,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Unknown,Atlanta,CIM Group,Mixed-Use Residential,Construction Ready,65,35,94,Strong Institutional Signal,5,9,Construction start pipeline,Priority Asset Watch,Review immediately,"5 source file(s), 9 observation(s), latest stage Construction Ready, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-005,PRJ-20260802-0132,"Refinancing - New York City / New York - CBRE Arranges $30.7M Loan for Refinancing of Apartment Building in West Caldwell, New Jers...",Unknown,New York City,CBRE,Affordable Housing,Refinancing / Recapitalization,90,50,92,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-006,PRJ-20260802-0063,Disposition / Exit - California - Costa Mesa Multifamily Changes Hands for Value-Add Repositioning,California,California,Marcus & Millichap,Apartment,Unknown Stage,93,31,91,Strong Institutional Signal,9,10,LA urban infill opportunity,Priority Asset Watch,Review immediately,"9 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-007,PRJ-20260802-0174,Disposition / Exit - Seattle - CBRE Arranges Sale of 134-Unit Issaquah Multifamily Complex for $55M,Seattle,Seattle,CBRE,Apartment,Unknown Stage,90,50,90,Strong Institutional Signal,7,9,Institutional capital movement,Priority Asset Watch,Review immediately,"7 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-008,PRJ-20260802-0092,Acquisition - Los Angeles / California - Van Nuys Apartments Trade for First Time Since Delivery,Los Angeles / California,Unknown,Marcus & Millichap,Apartment,Delivery / Opening,72,11,90,Strong Institutional Signal,5,7,LA urban infill opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 7 observation(s), latest stage Delivery / Opening, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-011,PRJ-20260802-0187,Refinancing - National - Dwight Capital Provides $24M Refi on New Jersey Multifamily Building,Unknown,U.S.,MAA,Apartment,Refinancing / Recapitalization,87,48,89,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-08-02,20260802-000001-343a4ec8,HCW-20260802-009,PRJ-20260802-0125,"General Project Signal - National - AvalonBay Communities, Equity Residential Merger Produces Vivmark Residential",Unknown,National,AvalonBay,Apartment,Unknown Stage,85,31,89,Strong Institutional Signal,7,9,Institutional capital movement,Priority Asset Watch,Review immediately,"7 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
