run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-08-14,20260814-232136-af068659,AvalonBay,Tier 1 / Immediate Strategic Importance,100,Multifamily,Other / Unknown,Core Multifamily News,Other,acquisition; operational technology / AI adoption,1,87,87.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,Brookfield,Tier 1 / Immediate Strategic Importance,100,Apartment,National,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; JV / partnership; capital raise; market expansion; operational technology / AI adoption,2,100,98.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,Low,100,Map potential GP / JV relationship and monitor partnership activity
2026-08-14,20260814-232136-af068659,CBRE,Tier 3 / Growth and Market Signal Watch,50,Apartment,Other / Unknown; Santa Monica / California,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit,2,100,98.5,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,Medium,100,Track capital deployment and pricing signals
2026-08-14,20260814-232136-af068659,Fannie Mae,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,2,100,95.5,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-08-14,20260814-232136-af068659,JLL,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Other / Unknown,Core Multifamily News,Other,acquisition; disposition / exit; refinancing; operational technology / AI adoption,2,100,90.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; West Palm Beach / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; office-to-residential conversion; operational technology / AI adoption,2,85,83.5,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,Equity Residential,Tier 1 / Immediate Strategic Importance,100,Multifamily,Other / Unknown,Core Multifamily News,Other,acquisition; operational technology / AI adoption,1,87,87.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,99,Track capital deployment and pricing signals
2026-08-14,20260814-232136-af068659,Freddie Mac,Tier 3 / Growth and Market Signal Watch,50,Apartment,Los Angeles / California,Site / Parcel Source Expansion,Other,acquisition; refinancing,1,100,100.0,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,High,99,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,Sack Capital,Tier 3 / Growth and Market Signal Watch,50,Apartment,San Francisco / California,Core Multifamily News,Other,acquisition; JV / partnership; operational technology / AI adoption,1,100,100.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,99,Map potential GP / JV relationship and monitor partnership activity
2026-08-14,20260814-232136-af068659,Walker & Dunlop,Tier 3 / Growth and Market Signal Watch,50,Apartment,Los Angeles / California,Site / Parcel Source Expansion,Other,acquisition; refinancing,1,100,100.0,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,High,99,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,Bascom Group,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; operational technology / AI adoption,1,91,91.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,96,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,GREA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Other / Unknown,Public Agency / Housing Data; Site / Parcel Source Expansion,Other,disposition / exit; development start; operational technology / AI adoption,2,88,85.5,Capital Outflow / Exit,GP Capability Benchmark Signal,competitive pressure indicator,Low,92,Monitor only
2026-08-14,20260814-232136-af068659,Greystar,Tier 1 / Immediate Strategic Importance,100,General Residential,San Francisco / California,Regional / California / LA Sources,Other,entitlement; capital raise; operational technology / AI adoption,1,64,64.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,92,Review California / LA capital and developer activity
2026-08-14,20260814-232136-af068659,IPA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida; West Palm Beach / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; office-to-residential conversion; operational technology / AI adoption,2,85,81.5,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,91,Track capital deployment and pricing signals
2026-08-14,20260814-232136-af068659,Triten Real Estate Partners,Tier 3 / Growth and Market Signal Watch,50,Multifamily,Houston / Texas,Core Multifamily News,Other,refinancing; JV / partnership,1,99,99.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
2026-08-14,20260814-232136-af068659,Berkadia,Tier 3 / Growth and Market Signal Watch,50,Apartment,Atlanta / Georgia; National,Core Multifamily News; Site / Parcel Source Expansion,Other,disposition / exit; operational technology / AI adoption,2,100,95.5,Capital Outflow / Exit,GP Capability Benchmark Signal,competitive pressure indicator,Low,89,Monitor only
2026-08-14,20260814-232136-af068659,Madison Realty Capital,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,2,99,94.5,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,89,Track refinancing or recapitalization pipeline
