run_date,run_id,run_timestamp,submarket_name,parent_market,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,dominant_residential_sector,dominant_deal_type,dominant_entitlement_signal,site_strategy_theme,submarket_opportunity_score,submarket_risk_score,execution_complexity_score,woomi_site_strategy_relevance,recommended_submarket_action,key_evidence
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Miami,Florida,6,6,0,5,3,5,Apartment,Construction Financing,General Entitlement Signal,Mixed-use corridor,100,78,20,Strategic watch submarket,Monitor refinancing / distress pipeline,Acquisition - Miami / Florida - Milestone Group Trades Kendall Apartment Complex for $109M; Baron Property Group Closes on $226.5M Refi for Hialeah Apartment Community; Baron Property Group Closes on $226.5M Refinance for Hialeah Apartment Community in Miami; Construction Financing - Miami / Florida - Baron Property Group Closes on $226.5M Refinance for Hialeah Apartment Community in Miami; Construction Financing - Miami / Florida - S3 Capital Lends $35M for Miami-Dade County Apartments
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Atlanta,Southeast,9,8,2,7,1,5,Apartment,Office-to-Residential Conversion,Office-to-Residential Conversion,Office conversion corridor,100,45,45,Strategic watch submarket,Monitor entitlement precedent,ATC Sells 290-Unit Augusta Apartment Complex; Acquisition - Atlanta / Georgia - ParkProperty Acquires 280-Unit Buckhead Apartment Community; Acquisition - Atlanta / Georgia - Saratoga Capital Pays $98.4M at Auction for Atlanta Apartment Community; Atlanta Beltline Advancing 218-Unit Affordable Apartment Project; Construction Financing - Atlanta / Georgia - Developer Duo Obtains Construction Financing for $147M Atlanta Student Housing Project
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Los Angeles,Los Angeles,9,7,7,1,0,1,Affordable Housing,Acquisition,Entitlement Approval,Mixed-use corridor,100,44,55,High relevance to Woomi site strategy,Monitor entitlement precedent,23 homes coming to Uptown Newport Village; 405 apartments take shape at 6728 Sepulveda Blvd. in Van Nuys; Acquisition - Los Angeles / California - BXP Signs on as Development Advisor for Unfinished Oceanwide Tower Mixed-Use Project in Sa...; Acquisition - Los Angeles / California - Walker & Dunlop Provides $33.2M Agency Acquisition Loan for Los Angeles Multifamily Commun...; Affordable housing coming to 4345 S. Crenshaw Blvd. in Leimert Park
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Phoenix,Arizona,4,4,0,4,0,4,Apartment,Acquisition,General Entitlement Signal,General submarket monitoring,100,0,20,Strategic watch submarket,Review potential acquisition pipeline,Acquisition - Phoenix / Arizona - ColRich Pays $52.4M for Mesa Rental Community; Acquisition - Phoenix / Arizona - Cushman & Wakefield Arranges $19.9M in Acquisition Financing for Medical Office Buildings...; Acquisition - Phoenix / Arizona - Rockwell Pays $42M for 182-Unit Scottsdale Rental Community; BTR / Build-to-Rent - Phoenix / Arizona - Porter Kyle Adds New 100-Unit BTR Community to East Valley Portfolio; ColRich Pays $52.4M for Mesa Rental Community
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,California,National / Other,0,6,1,0,0,0,Apartment,Acquisition,Entitlement Approval,General submarket monitoring,80,11,20,Strategic watch submarket,Monitor entitlement precedent,"Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal; Acquisition - San Francisco / California - Sack Capital, Align Finance Close Financing for Two Step Up Housing Acquisitions; Construction Financing - California - CEDARst Closes on Construction Loan for Sixth San Diego Multifamily; Disposition / Exit - California - Value-Add Golden Hill Apartments Trade in 1031 Exchange; Entitlement / Permitting - California - Monterey Park approves upsized project at 114 E. Garvey Avenue"
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Dallas,Texas,2,2,0,2,0,2,Apartment,General Project Signal,General Entitlement Signal,Downtown infill,77,0,20,Strategic watch submarket,Review potential acquisition pipeline,Development Start - Dallas / Texas - Teeple Adding 312-Unit Student Housing Project to Texas A&M Offering; General Project Signal - Dallas / Texas - Trademark Completes 321-Unit Vickery Apartments in Downtown Fort Worth; Teeple Adding 312-Unit Student Housing Project to Texas A&M Offering; Trademark Completes 321-Unit Vickery Apartments in Downtown Fort Worth
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Scottsdale,Arizona,3,2,0,2,0,2,Apartment,Acquisition,General Entitlement Signal,General submarket monitoring,77,0,20,Strategic watch submarket,Review potential acquisition pipeline,Acquisition - Phoenix / Arizona - Cushman & Wakefield Arranges $19.9M in Acquisition Financing for Medical Office Buildings...; Acquisition - Phoenix / Arizona - Rockwell Pays $42M for 182-Unit Scottsdale Rental Community; Cushman & Wakefield Arranges $19.9M in Acquisition Financing for Medical Office Buildings in Scottsdale; Porter Kyle Adds New 100-Unit BTR Community to East Valley Portfolio; Rockwell Pays $42M for 182-Unit Scottsdale Rental Community
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Santa Monica,Los Angeles,2,1,0,1,1,2,Apartment,Disposition / Exit,General Entitlement Signal,General submarket monitoring,75,52,30,High relevance to Woomi site strategy,Review potential acquisition pipeline,Affordable housing proposed at 1058 N. Kingsley Dr. in East Hollywood; CBRE Completes Receivership Sale of Santa Monica Multifamily Apartment Building; Disposition / Exit - Santa Monica / California - CBRE Completes Receivership Sale of Santa Monica Multifamily Apartment Building
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,New York,New York,3,2,0,2,0,0,Affordable Housing,General Project Signal,General Entitlement Signal,Mixed-use corridor,71,0,20,Strategic watch submarket,Review potential acquisition pipeline,"Developer Proposes 600+ Mixed-Income Apartments in Bronx’s Soundview Neighborhood; General Project Signal - New York City / New York - High Street Residential Tops Out 25-Story Apartment Building in Manhattan; High Street Residential Tops Out 25-Story Apartment Building in Manhattan; JV / Partnership - New York City / New York - Partnership Nears Completion of $158M Workforce Housing Project in Mount Vernon, New York; Partnership Nears Completion of $158M Workforce Housing Project in Mount Vernon, New York"
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,East Hollywood,Los Angeles,1,1,1,1,0,1,Affordable Housing,Entitlement / Permitting,Entitlement Approval,General submarket monitoring,69,16,42,High relevance to Woomi site strategy,Monitor entitlement precedent,Affordable housing proposed at 1058 N. Kingsley Dr. in East Hollywood; Entitlement / Permitting - Los Angeles / California - Affordable housing proposed at 1058 N. Kingsley Dr. in East Hollywood
2026-08-14,20260814-232136-af068659,2026-08-14 23:21:36,Hollywood,Los Angeles,1,1,1,1,0,1,Affordable Housing,Entitlement / Permitting,Entitlement Approval,General submarket monitoring,69,16,42,High relevance to Woomi site strategy,Monitor entitlement precedent,Affordable housing proposed at 1058 N. Kingsley Dr. in East Hollywood; Entitlement / Permitting - Los Angeles / California - Affordable housing proposed at 1058 N. Kingsley Dr. in East Hollywood
