run_date,run_id,run_timestamp,duplicate_cluster_id,deal_fingerprint_id,duplicate_count,primary_reference_article,duplicate_articles,deduplicated_opportunity_score,deduplicated_distress_score,opportunities_before_deduplication,distress_before_deduplication,opportunities_removed_via_deduplication,distress_inflation_prevented,multi_source_confirmation,strongest_opportunity_type,strongest_distress_type,market,residential_sector
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-001,DFP-38DEE0D2A8,2,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,96,80,1,1,0,0,Yes,Construction Financing Gap,,California,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-002,DFP-62796B861B,2,Affinius Lends $120M to Refinance Kearny Mesa Luxury Apartments,Affinius Lends $120M to Refinance Kearny Mesa Luxury Apartments,96,80,1,1,0,0,Yes,Refinancing Gap,,California,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-008,DFP-160DA036F3,2,Walker & Dunlop Arranges $53.1M Construction Loan for Affordable Housing Community Joyfield at Lakeview Center in Antioch California,Walker & Dunlop Arranges $53.1M Construction Loan for Affordable Housing Community Joyfield at Lakeview Center in Antioch California,92,75,1,1,0,0,Yes,Construction Financing Gap,,California,Affordable Housing
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-007,DFP-80F700D800,2,"Walker & Dunlop, Pretium Close on $76M Bridge Loan for Chelsea Apartments","Walker & Dunlop, Pretium Close on $76M Bridge Loan for Chelsea Apartments",89,66,1,1,0,0,Yes,JV / Partnership Gap,,New York,Affordable Housing
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-016,DFP-920342F693,2,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties","PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",88,72,1,1,0,0,Yes,Recapitalization Opportunity,,California,Affordable Housing
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-010,DFP-E3911E80D8,2,Helaba Lends $93M on Suburban Seattle Luxury Apartments Project,Helaba Lends $93M on Suburban Seattle Luxury Apartments Project,80,59,1,1,0,0,Yes,Construction Financing Gap,,Seattle,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-019,DFP-E32E8A9E2D,2,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,64,60,1,1,0,0,Yes,Construction Financing Gap,,Miami / Florida,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-021,DFP-B5EB1648D2,2,Scottsdale Developer Inks $141M Construction Loan for Luxury Apartments,Scottsdale Developer Inks $141M Construction Loan for Luxury Apartments,64,60,1,1,0,0,Yes,Construction Financing Gap,,Phoenix / Arizona,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-020,DFP-F985221713,2,Dwight Capital Finances $66M Loan for 312-Unit Abilene Rental Community,Dwight Capital Finances $66M Loan for 312-Unit Abilene Rental Community,60,55,1,1,0,0,Yes,Construction Financing Gap,,Texas,Apartment
2026-06-10,20260610-115707-124173e2,2026-06-10 11:57:07,DCL-20260610-046,DFP-7277C0303C,2,Georgia Tech Student Housing Investors Ink Refi,Georgia Tech Student Housing Investors Ink Refi,58,52,1,1,0,0,Yes,Refinancing Gap,,Atlanta / Georgia,Student Housing
