run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-08-05,20260805-000421-5412da82,CBRE,Tier 3 / Growth and Market Signal Watch,50,Apartment,Arizona; Washington DC,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; JV / partnership; operational technology / AI adoption,2,100,94.5,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-08-05,20260805-000421-5412da82,IPA,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida; Riverside / California; West Palm Beach / Florida,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,4,100,84.5,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-05,20260805-000421-5412da82,JLL,Tier 3 / Growth and Market Signal Watch,50,Apartment,Atlanta / Georgia; New York City / New York; Texas,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,3,100,100.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,100,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Los Angeles / California; Other / Unknown; Riverside / California; West Palm Beach / Florida,Core Multifamily News; Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,9,100,89.3,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-05,20260805-000421-5412da82,Millichap Capital,Tier 3 / Growth and Market Signal Watch,50,Apartment,California; Los Angeles / California,Core Multifamily News; Regional / California / LA Sources,Other,acquisition; disposition / exit; operational technology / AI adoption,3,100,100.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-08-05,20260805-000421-5412da82,Berkadia,Tier 3 / Growth and Market Signal Watch,50,BTR / Single-Family Rental,Miami / Florida; Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; BTR expansion; market expansion,2,100,100.0,Capital Inflow,GP Capability Benchmark Signal,capital market sentiment indicator,Low,98,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,CIM Group,Tier 2 / Strategic Watch,75,Mixed-Use Residential,Atlanta / Georgia,Site / Parcel Source Expansion,Other,development start; operational technology / AI adoption,1,100,100.0,Development Capital Deployment,GP Capability Benchmark Signal,competitive pressure indicator,Low,98,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Mill Creek Residential,Tier 2 / Strategic Watch,75,Affordable Housing,Santa Monica / California,Regional / California / LA Sources,Other,operational technology / AI adoption,1,100,100.0,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,High,98,Review California / LA capital and developer activity
2026-08-05,20260805-000421-5412da82,Bascom Group,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; operational technology / AI adoption,1,91,91.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,96,Review California / LA capital and developer activity
2026-08-05,20260805-000421-5412da82,Bellflower Acquisition Paladin Realty Partners,Tier 3 / Growth and Market Signal Watch,50,Workforce Housing,Los Angeles / California,Regional / California / LA Sources,Other,acquisition; JV / partnership; market expansion; operational technology / AI adoption,1,93,93.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,96,Map potential GP / JV relationship and monitor partnership activity
2026-08-05,20260805-000421-5412da82,Blackstone,Tier 1 / Immediate Strategic Importance,100,Affordable Housing,Dallas / Texas,Site / Parcel Source Expansion,Other,entitlement; operational technology / AI adoption,1,100,100.0,Development Capital Deployment,GP Capability Benchmark Signal,competitive pressure indicator,Low,96,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Richman Group,Tier 3 / Growth and Market Signal Watch,50,Apartment,Florida; Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,3,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,94,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Freddie Mac,Tier 3 / Growth and Market Signal Watch,50,Apartment,Other / Unknown; Sun Belt,Site / Parcel Source Expansion,Other,refinancing,2,100,99.0,Refinancing / Recapitalization,Capital Partner Tracking Signal,capital market sentiment indicator,Low,90,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Innovation District GMH Communities,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Atlanta / Georgia,Site / Parcel Source Expansion,Other,acquisition; JV / partnership; operational technology / AI adoption,1,97,97.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,Low,90,Map potential GP / JV relationship and monitor partnership activity
2026-08-05,20260805-000421-5412da82,Arcus Real Estate Capital,Tier 3 / Growth and Market Signal Watch,50,BTR / Single-Family Rental,Phoenix / Arizona,Site / Parcel Source Expansion,Other,refinancing; BTR expansion; operational technology / AI adoption,1,94,94.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,capital market sentiment indicator,Low,89,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Icon Real Estate Advisors,Tier 3 / Growth and Market Signal Watch,50,Apartment,Other / Unknown,Core Multifamily News,Other,acquisition; disposition / exit,1,90,90.0,Capital Inflow,Pricing Discovery Signal,pricing discovery reference,Low,87,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Tishman Speyer,Tier 3 / Growth and Market Signal Watch,50,Apartment,New York,Core Multifamily News,Other,acquisition; disposition / exit; market expansion; operational technology / AI adoption,1,90,90.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,Low,87,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Walker & Dunlop,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,New York City / New York,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing,2,98,86.0,Refinancing / Recapitalization,Capital Partner Tracking Signal,capital market sentiment indicator,Low,87,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Concord Summit Capital,Tier 3 / Growth and Market Signal Watch,50,Apartment,Dallas / Texas,Core Multifamily News,Other,refinancing,1,100,100.0,Refinancing / Recapitalization,Capital Partner Tracking Signal,capital market sentiment indicator,Low,83,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,IZO Capital,Tier 3 / Growth and Market Signal Watch,50,Workforce Housing,Other / Unknown,Core Multifamily News,Other,refinancing,1,100,100.0,Refinancing / Recapitalization,Capital Partner Tracking Signal,capital market sentiment indicator,Low,83,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Luxury Apartment Communities,Tier 3 / Growth and Market Signal Watch,50,Apartment,Florida,Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,83,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Madison Realty Capital,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,1,99,99.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,83,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,Northlink Capital,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,83,Track refinancing or recapitalization pipeline
2026-08-05,20260805-000421-5412da82,PNC Bank,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,Texas,Site / Parcel Source Expansion,Other,refinancing; capital raise,1,79,79.0,Capital Inflow,Capital Partner Tracking Signal,capital market sentiment indicator,Low,83,Track capital deployment and pricing signals
2026-08-05,20260805-000421-5412da82,Hines,Tier 2 / Strategic Watch,75,Mixed-Use Residential,Atlanta / Georgia,Site / Parcel Source Expansion,Other,operational technology / AI adoption,1,78,78.0,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,Low,82,Monitor only
