run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,California,Apartment,13,11,5,89.5,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Los Angeles,Affordable Housing,10,8,4,87.6,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,National / Other,Apartment,34,21,8,74.7,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Southeast,Apartment,10,7,1,75.8,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Texas,Apartment,5,5,3,83.6,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,New York,Office-to-Residential Conversion,5,3,3,85.4,Financing Risk,Deal Size Signal,Financing-sensitive development environment,General Monitoring,Review development underwriting assumptions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Arizona,Mixed-Use Residential,3,3,2,87.7,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Dallas,BTR / Single-Family Rental,3,3,2,86.0,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Florida,Mixed-Use Residential,8,3,2,71.5,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Seattle,Apartment,2,2,2,99.0,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Phoenix,Mixed-Use Residential,2,2,1,89.5,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Strategic Watch Market,Monitor supply pipeline and concessions
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Sun Belt,Mixed-Use Residential,1,1,0,73.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-09-11,20260911-005121-ae902a35,2026-09-11 00:51:21,Austin,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
