run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Apartment,39,23,11,29,84.1,Other / Unknown,Developer Strategy,Berkadia,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Affordable Housing,6,6,3,6,99.7,Los Angeles / California,Developer Strategy,Avison Young,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Multifamily,16,3,4,9,65.1,Other / Unknown,Developer Strategy,JLL,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Office-to-Residential Conversion,1,1,1,1,81.0,Other / Unknown,Developer Strategy,RXR,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Student Housing,1,1,0,1,90.0,California,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Mixed-Use Residential,8,5,4,8,81.6,New York City / New York,Institutional Flow,JLL,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Senior Housing,3,3,0,3,85.3,Other / Unknown,Regulation Risk,Walker & Dunlop,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,General Residential,3,0,3,3,53.0,California,Institutional Flow,CBRE,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-09-21,20260921-005246-91e60804,2026-09-21 00:52:46,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
