run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-7EDFB15827,DCL-20260901-001,90,Acquisition - California - Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,Acquisition - Acquisition - California - Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,Acquisition - AvalonBay - California,Acquisition,California,Apartment,AvalonBay,Unknown,"1,843 units",$742M; $742M; $742m,,1,1,1,Connect CRE California,Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,California,100
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-C30819E5E4,DCL-20260901-003,90,Construction Financing - California - CedarSt Lands $80M for San Diego Multifamily Project,Construction Financing - Construction Financing - California - CedarSt Lands $80M for San Diego Multifamily Project,Construction Financing - JLL - JLL - California,Construction Financing,California,Apartment,JLL,JLL,,$80M; $80M; $80 million,$80M,1,1,1,Commercial Observer,CedarSt Lands $80M for San Diego Multifamily Project,California,93
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-2FDB9F2F5E,DCL-20260901-010,90,Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,Disposition / Exit - Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,Disposition / Exit - CBRE - California,Disposition / Exit,Riverside / California,Apartment,CBRE,CBRE,,$12; $228; $144,,1,1,1,Connect CRE,CBRE Brokers Sale of Vintage Redlands Apartments,Riverside / California,81
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-546DB6C89D,DCL-20260901-011,90,Disposition / Exit - Los Angeles / California - Torrance Apartments Trade for $350K/Unit,Disposition / Exit - Disposition / Exit - Los Angeles / California - Torrance Apartments Trade for $350K/Unit,Disposition / Exit - CBRE - Los Angeles,Disposition / Exit,Los Angeles / California,Apartment,CBRE,CBRE,,$350; $350; $21 million,,1,1,1,Connect CRE,Torrance Apartments Trade for $350K/Unit,Los Angeles / California,81
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-0238CFD982,DCL-20260901-021,90,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Fairfield Residential - Sun Belt,Disposition / Exit,Miami / Florida,Apartment,Fairfield Residential,Unknown,812 apartments,$208M; $208M; $208 million,,1,1,1,Connect CRE South Florida,Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,72
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-5150E25F5B,DCL-20260901-004,90,"JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo","JV / Partnership - JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",JV / Partnership - Alliance Residential - California,JV / Partnership,California,Senior Housing,Alliance Residential,JLL,545 units,,,1,1,1,Connect CRE California,"JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",California,93
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-B273300EB5,DCL-20260901-006,90,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership - JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership - Fannie Mae - California,JV / Partnership,California,Apartment,Fannie Mae,Fannie Mae,,$58; $58,$58,1,1,1,Connect CRE Orange County,Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,California,90
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-E3F0BBF4D9,DCL-20260901-002,90,JV / Partnership - Sun Belt - Charlotte Multifamily Formerly Destroyed by Fire and Rebuilt in Sells for Nearly $500K Per...,JV / Partnership - JV / Partnership - Sun Belt - Charlotte Multifamily Formerly Destroyed by Fire and Rebuilt in Sells for Nearly $500K Per...,JV / Partnership - Mill Creek Residential - Sun Belt,JV / Partnership,Sun Belt,Apartment,Mill Creek Residential,Unknown,239 units,$500; $116.3 million; $500,,1,1,1,Yield PRO,Charlotte Multifamily Formerly Destroyed by Fire and Rebuilt in Sells for Nearly $500K Per Unit,Sun Belt,95
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-1D30DF7BD9,DCL-20260901-023,90,Refinancing - Miami / Florida - Investor Team Scores $53.5M Refi on Doral Center Offices,Refinancing - Refinancing - Miami / Florida - Investor Team Scores $53.5M Refi on Doral Center Offices,Refinancing - CBRE - CBRE - Sun Belt,Refinancing,Miami / Florida,General Residential,CBRE,CBRE,,$53.5M; $53.5M; $53.5 million,$53.5M,1,1,1,Connect CRE South Florida,Investor Team Scores $53.5M Refi on Doral Center Offices,Miami / Florida,68
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,DFP-DE4934F3DE,DCL-20260901-005,90,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Refinancing - Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Refinancing - Greystone - Fannie Mae - California,Refinancing,California,Affordable Housing,Greystone,Fannie Mae,,$46.79; $46.79,$46.79,1,1,1,Connect CRE California,Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,California,93
