run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Apartment,39,27,15,30,85.9,Other / Unknown,Developer Strategy,JLL,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Affordable Housing,13,13,7,12,93.8,California,Developer Strategy,Greystone,"California affordability, entitlement, and public-private partnership signal",Strategic Expansion Sector,"Track LA / California affordability, entitlement, and public-private partnership signals"
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Multifamily,14,5,4,9,66.6,Other / Unknown,Institutional Flow,IPA,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Student Housing,2,2,2,2,100.0,Los Angeles / California,Regulation Risk,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Office-to-Residential Conversion,2,2,0,2,93.0,Other / Unknown,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Mixed-Use Residential,5,4,0,3,77.6,Miami / Florida,Developer Strategy,JPI,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Senior Housing,2,2,1,2,100.0,Los Angeles / California,Regulation Risk,Alliance Residential,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,General Residential,3,0,2,3,56.7,Los Angeles / California,Financing Risk,CBRE,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,BTR / Single-Family Rental,0,0,0,0,0,None detected,None detected,None detected,Potential expansion or product diversification signal,Monitoring Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-09-01,20260901-014157-7c7e8ccc,2026-09-01 01:41:57,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
