run_date,run_id,entitlement_signal_id,market,city_or_submarket,residential_sector,gp_or_developer,project_or_deal_name,entitlement_signal_type,entitlement_stage,approval_body,regulatory_theme,affordability_component,density_or_zoning_signal,ceqa_or_environmental_signal,timing_reference,entitlement_risk_score,entitlement_opportunity_score,woomi_developer_relevance,recommended_follow_up,source_article_title,source,url,confidence_level
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-007,California,Los Angeles,Apartment,,"CEQA Exemption For 741 South Winchester Boulevard, San Jose",CEQA / Environmental Review,Under Review,Unknown,CEQA risk,No,No clear density / zoning signal,Yes,2026,65,63,High relevance to LA / California developer strategy,"Track local planning filings, approval body, sponsor, and entitlement precedent","CEQA Exemption For 741 South Winchester Boulevard, San Jose",SF YIMBY,https://sfyimby.com/2026/08/ceqa-exemption-for-741-south-winchester-boulevard-san-jose.html,Medium
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-005,California,Los Angeles,Apartment,,Notable multifamily policy and legal moves from this summer,Density Bonus / TOC,Unknown Stage,Unknown,Density incentive,No,toc,No,2026,28,63,Relevant to US residential developer capability,"Track local planning filings, approval body, sponsor, and entitlement precedent",Notable multifamily policy and legal moves from this summer,Multifamily Dive,https://www.multifamilydive.com/news/state-local-multifamily-policy-legislation-lawsuit/828956/,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-003,Los Angeles / California,Los Angeles,Affordable Housing,,Affordable housing topped off at 8911 Ramsgate Ave. in Westchester,Entitlement Approval,Approved / Entitled,Unknown,General regulatory watch,Yes,No clear density / zoning signal,No,No explicit timing reference,30,55,General entitlement monitoring,Track construction-ready pipeline and comparable sponsor execution,Affordable housing topped off at 8911 Ramsgate Ave. in Westchester,Urbanize LA,https://la.urbanize.city/post/affordable-housing-topped-8911-ramsgate-ave-westchester,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-004,Los Angeles / California,Los Angeles,Affordable Housing,,Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Density Bonus / TOC,Unknown Stage,Unknown,Density incentive,Yes,density bonus,No,No explicit timing reference,38,48,General entitlement monitoring,Benchmark density bonus / TOC use and project economics,Affordable housing complex underway at 708 S. Gramercy Dr. in Koreatown,Urbanize LA,https://la.urbanize.city/post/affordable-housing-complex-underway-708-s-gramercy-dr-koreatown,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-010,California,California,Apartment,Unknown,Entitlement / Permitting - California - Notable multifamily policy and legal moves from this summer,Entitlement Approval,Unknown Stage,Unknown,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,28,45,General entitlement monitoring,"Track local planning filings, approval body, sponsor, and entitlement precedent",Notable multifamily policy and legal moves from this summer,Multifamily Dive,https://www.multifamilydive.com/news/state-local-multifamily-policy-legislation-lawsuit/828956/,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-002,Los Angeles / California,Los Angeles,Senior Housing,,Eldercare facility approved for site at 5353 N. Del Moreno Dr. in Woodland Hills,Planning Approval,Approved / Entitled,Planning Commission,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,20,45,General entitlement monitoring,Monitor entitlement status for repeated confirmation,Eldercare facility approved for site at 5353 N. Del Moreno Dr. in Woodland Hills,Urbanize LA,https://la.urbanize.city/post/eldercare-facility-approved-site-5353-n-del-moreno-dr-woodland-hills,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-012,Los Angeles / California,Los Angeles,Senior Housing,Unknown,Entitlement / Permitting - Los Angeles / California - Eldercare facility approved for site at 5353 N. Del Moreno Dr. in Woodland Hills,Entitlement Approval,Approved / Entitled,Unknown,General regulatory watch,No,No clear density / zoning signal,No,No explicit timing reference,20,45,General entitlement monitoring,Track construction-ready pipeline and comparable sponsor execution,Eldercare facility approved for site at 5353 N. Del Moreno Dr. in Woodland Hills,Urbanize LA,https://la.urbanize.city/post/eldercare-facility-approved-site-5353-n-del-moreno-dr-woodland-hills,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-013,Atlanta / Georgia,Atlanta,Apartment,Unknown,Office-to-Residential Conversion - Atlanta / Georgia - JLB Pursuing Buckhead Office-to-Apartments Conversion,Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,No explicit timing reference,28,42,General entitlement monitoring,"Review office conversion feasibility, policy support, and local sponsor activity",JLB Pursuing Buckhead Office-to-Apartments Conversion,Connect CRE Atlanta,https://www.connectcre.com/stories/jlb-pursuing-buckhead-office-to-apartments-conversion/,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-006,Connecticut,Other / Unknown,Office-to-Residential Conversion,,"Condyne Capital Receives Approval for Office-to-Residential Conversion Project in Windsor, Connecticut",Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,2026,28,42,General entitlement monitoring,"Review office conversion feasibility, policy support, and local sponsor activity","Condyne Capital Receives Approval for Office-to-Residential Conversion Project in Windsor, Connecticut",REBusiness Online,https://rebusinessonline.com/condyne-capital-receives-approval-for-office-to-residential-conversion-project-in-windsor-connecticut/,Low
2026-09-01,20260901-014157-7c7e8ccc,ENT-20260901-001,Other / Unknown,Los Angeles,Office-to-Residential Conversion,,Chicago's Slow Apartment Pipeline Fueling Deals And Adaptive Reuse,Office-to-Residential Conversion,Unknown Stage,Unknown,Office conversion policy,No,No clear density / zoning signal,No,No explicit timing reference,28,42,General entitlement monitoring,"Review office conversion feasibility, policy support, and local sponsor activity",Chicago's Slow Apartment Pipeline Fueling Deals And Adaptive Reuse,Bisnow,https://www.bisnow.com/news/chicago/multifamily/chicago-slow-apartment-pipeline-fueling-deals-adaptive-reuse,Low
