run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Fannie Mae,Fannie Mae,100,100,90,100,55,100,0,100,0,67,77,Tier 2 High Potential GP,California,Senior Housing,Other,fannie mae,fannie mae,JV / Partnership; Refinancing / Recapitalization; operational efficiency push; refinancing; JV / partnership; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,JLL,JLL,100,100,90,55,90,100,0,100,0,67,76,Tier 2 High Potential GP,Colorado,Multifamily,Other,jll,jll,Acquisition; Capital Inflow; Construction Financing; Office-to-Residential Conversion; acquisition; disposition / exit; refinancing; office-to-residential conversion; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Sack Capital,Sack Capital,89,100,90,55,90,100,0,100,0,63,76,Tier 2 High Potential GP,San Francisco / California,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Kennedy Wilson,Kennedy Wilson,75,100,90,55,90,65,0,100,0,57,71,Tier 2 High Potential GP,National,Apartment,Other,kennedy wilson,kennedy wilson,Acquisition; Capital Inflow; acquisition; selective multifamily acquisition,None detected,None detected,High,Moderate partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Bascom Group,Bascom Group,83,96,90,100,90,0,0,100,0,60,65,Tier 3 Monitoring GP,California,Apartment,Other,None detected,None detected,Acquisition; Capital Inflow; acquisition; disposition / exit; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Brookfield,Brookfield,85,100,75,55,90,100,0,0,0,56,64,Tier 3 Monitoring GP,Phoenix / Arizona,Apartment,Other,brookfield,brookfield,JV / Partnership; JV / partnership; market expansion; operational technology / AI adoption; Operational / Platform Investment; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Marcus & Millichap,Marcus & Millichap,100,100,90,55,90,0,0,100,25,74,63,Tier 3 Monitoring GP,Los Angeles / California,Apartment,Other,None detected,None detected,Acquisition; Capital Inflow; Disposition / Exit; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,completed,High,No clear partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,"Milhaus Merges with SRG Residential, Will","Milhaus Merges with SRG Residential, Will",82,80,90,100,90,0,0,100,25,67,63,Tier 3 Monitoring GP,California,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; operational technology / AI adoption; operational efficiency push,None detected,completed,High,No clear partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Mike Boyd Saratoga Capital,Mike Boyd Saratoga Capital,73,82,75,55,90,100,0,0,0,52,60,Tier 3 Monitoring GP,Atlanta / Georgia,Apartment,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; JV / partnership; distressed opportunity; operational technology / AI adoption; distressed recapitalization,None detected,None detected,Low,Strong partnership signal,Improving,Distressed opportunity positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Acquires 280-Unit Buckhead Apartment Community ParkProperty Capital,Acquires 280-Unit Buckhead Apartment Community ParkProperty Capital,69,70,90,55,90,100,0,0,0,55,60,Tier 3 Monitoring GP,Atlanta / Georgia,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,CBRE,CBRE,89,92,90,35,90,75,0,0,0,63,59,Tier 3 Monitoring GP,Other / Unknown,Apartment,Other,cbre,cbre,Acquisition; Capital Inflow; acquisition; disposition / exit; refinancing; office-to-residential conversion; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,CoStar Group,CoStar Group,63,91,90,75,90,0,0,0,0,52,51,Emerging Watchlist,Seattle,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; selective multifamily acquisition,None detected,None detected,Low,No clear partnership signal,Improving,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Tishman Speyer,Tishman Speyer,59,63,75,55,90,0,0,90,0,46,50,Emerging Watchlist,Atlanta / Georgia,Apartment,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Berkadia,Berkadia,100,89,90,55,90,0,0,0,0,67,49,Emerging Watchlist,Miami / Florida,Apartment,Other,berkadia,berkadia,Construction Financing; Refinancing / Recapitalization; refinancing; stable platform monitoring,None detected,None detected,Low,No clear partnership signal,Accelerating,Distressed opportunity positioning,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,Harbor Group International,Harbor Group International,55,60,75,55,90,0,0,90,0,44,49,Emerging Watchlist,Miami / Florida,Apartment,Other,None detected,None detected,Acquisition; Capital Outflow / Exit; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,IPA,IPA,73,83,90,55,90,0,0,0,0,56,47,Emerging Watchlist,Miami / Florida,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,No clear partnership signal,Improving,Selective residential growth,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Low,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,LXMI Capital,LXMI Capital,70,70,90,75,90,0,0,0,0,55,47,Emerging Watchlist,Texas,Multifamily,Other,None detected,None detected,Capital Inflow; acquisition; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,No clear partnership signal,Improving,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet
2026-08-17,20260817-232239-1f6ae8e2,2026-08-17 23:22:39,AvalonBay,AvalonBay,69,96,0,55,90,0,0,100,0,28,45,Emerging Watchlist,New York,Apartment,Other,None detected,None detected,Operational / Platform Investment; operational efficiency push; operational technology / AI adoption,None detected,None detected,High,No clear partnership signal,Improving,California / LA strategic positioning,LA / California developer strategy watch,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
