run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Los Angeles,Apartment,17,14,12,88.3,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,California,Apartment,18,13,9,84.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,National / Other,Multifamily,35,17,10,71.7,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,General Monitoring,Track institutional capital activity
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Florida,Apartment,9,8,4,88.1,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Texas,Apartment,9,7,6,88.0,Financing Risk,Supply / Starts Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Southeast,Apartment,9,7,5,88.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Arizona,Apartment,3,3,2,100.0,Institutional Flow,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Phoenix,Apartment,3,3,2,100.0,Institutional Flow,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,New York,Apartment,4,3,2,83.5,Institutional Flow,Financing Cost Signal,Financing-sensitive development environment,General Monitoring,Review development underwriting assumptions
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Dallas,BTR / Single-Family Rental,3,3,1,91.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Austin,Apartment,2,2,1,96.5,Institutional Flow,Rent Growth Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Sun Belt,Apartment,1,1,0,85.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Seattle,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
