run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-07-20,20260720-235827-8318a794,TIM-20260720-005,Acquisition Window,California,Apartment,Bascom Group,Unknown,Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal,No explicit timing reference,Unknown Timing,71,Medium,Acquisition Window,Bascom Acquires Buena Park Apartments as Value-Add Deal,Connect CRE Orange County,https://www.connectcre.com/stories/bascom-acquires-buena-park-apartments-as-value-add-deal/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-012,Refinancing / Maturity Window,Phoenix / Arizona,Student Housing,Unknown,Unknown,Refinancing - Phoenix / Arizona - JV Snags Refi on Tempe Student Housing Community,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,JV Snags Refi on Tempe Student Housing Community,Connect CRE Apartments,https://www.connectcre.com/stories/jv-snags-refi-on-tempe-student-housing-community/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-035,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,2026,Immediate / 0-3 Months,70,Medium,Construction Start,First Quarter 2026 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/05/first-quarter-2026-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-036,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Fourth Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/fourth-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-037,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,in 2025,Immediate / 0-3 Months,70,Medium,Construction Start; starts in,Overall Housing Starts Inch Lower in 2025,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/02/overall-housing-starts-inch-lower-in-2025/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-038,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Third Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/third-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-002,Refinancing / Maturity Window,Austin / Texas,Apartment,Bridge Investment Group,walker & dunlop,Refinancing - Austin / Texas - Flournoy Properties Lands $46.5M Refi on Leander Rental Asset,No explicit timing reference,Unknown Timing,68,Medium,Refinancing / Maturity Window; completed,Flournoy Properties Lands $46.5M Refi on Leander Rental Asset,Connect CRE Texas,https://www.connectcre.com/stories/flournoy-properties-lands-46-5m-refi-on-leander-rental-asset/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-004,Acquisition Window,Miami / Florida,Mixed-Use Residential,AvalonBay,cushman,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,"Avalon Bay Planning Apartments, Retail in South Miami",Connect CRE South Florida,https://www.connectcre.com/stories/avalon-bay-planning-apartments-retail-in-south-miami/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-007,Acquisition Window,Other / Unknown,Mixed-Use Residential,JLL,Freddie Mac,Acquisition - Other / Unknown - MG Properties Acquires 188-Unit Apartment Complex in Portland,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,MG Properties Acquires 188-Unit Apartment Complex in Portland,REBusiness Online,https://rebusinessonline.com/mg-properties-acquires-188-unit-apartment-complex-in-portland/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-006,Acquisition Window,Phoenix / Arizona,Apartment,Camden Property Trust,CBRE,Acquisition - Phoenix / Arizona - 320-Unit Gilbert Apartment Community Trades to Camden,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,320-Unit Gilbert Apartment Community Trades to Camden,Connect CRE Phoenix,https://www.connectcre.com/stories/320-unit-gilbert-apartment-community-trades-to-camden/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-001,Acquisition Window,Texas,Apartment,JLL,JLL,Acquisition - Texas - JLL Arranges $40.9M Acquisition Loan for Irving Apartment Complex,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,JLL Arranges $40.9M Acquisition Loan for Irving Apartment Complex,REBusiness Online,https://rebusinessonline.com/jll-arranges-40-9m-acquisition-loan-for-irving-apartment-complex/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-010,Entitlement / Permitting,Los Angeles / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - Apartments under construction at 5547 N. Elmer Ave. in North Hollywood,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; entitled; permitting,Apartments under construction at 5547 N. Elmer Ave. in North Hollywood,Urbanize LA,https://la.urbanize.city/post/apartments-under-construction-5547-n-elmer-ave-north-hollywood,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-011,Entitlement / Permitting,Los Angeles / California,Apartment,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - New plan for housing approved at 4741 Libbit Ave. in Encino,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,New plan for housing approved at 4741 Libbit Ave. in Encino,Urbanize LA,https://la.urbanize.city/post/new-plan-housing-approved-4741-libbit-ave-encino,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-07-20,20260720-235827-8318a794,TIM-20260720-013,Entitlement / Permitting,Southeast,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Southeast - Construction goes vertical for mixed-use project at at 400 San Vicente Blvd.,No explicit timing reference,Unknown Timing,64,Medium,Entitlement / Permitting; permitting,Construction goes vertical for mixed-use project at at 400 San Vicente Blvd.,Urbanize LA,https://la.urbanize.city/post/construction-goes-vertical-mixed-use-project-400-san-vicente-blvd,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-07-20,20260720-235827-8318a794,TIM-20260720-015,BTR / SFR Expansion Timing,Dallas / Texas,BTR / Single-Family Rental,Unknown,Unknown,"BTR / Build-to-Rent - Dallas / Texas - Core Spaces, Harrison Street Score Refi on Princeton BTR Community",No explicit timing reference,Unknown Timing,63,Medium,BTR / SFR Expansion Timing,"Core Spaces, Harrison Street Score Refi on Princeton BTR Community",Connect CRE Apartments,https://www.connectcre.com/stories/core-spaces-harrison-street-score-refi-on-princeton-btr-community/,Monitor sector-specific platform timing and potential partnership relevance,Monthly
2026-07-20,20260720-235827-8318a794,TIM-20260720-009,Construction Completion / Delivery,Atlanta / Georgia,Apartment,Unknown,Unknown,Acquisition - Atlanta / Georgia - Raleigh Developer to Start Work on 269-Unit Rental Community,No explicit timing reference,Unknown Timing,63,Medium,Construction Completion / Delivery; completed,Raleigh Developer to Start Work on 269-Unit Rental Community,Connect CRE,https://www.connectcre.com/stories/raleigh-developer-to-start-work-on-269-unit-rental-community/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-07-20,20260720-235827-8318a794,TIM-20260720-003,Construction Start,Atlanta / Georgia,Mixed-Use Residential,CIM Group,Unknown,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,No explicit timing reference,Unknown Timing,63,Medium,Construction Start,Financing Secured for Centennial Yards Mixed-Use Project,Connect CRE Atlanta,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Monthly
2026-07-20,20260720-235827-8318a794,TIM-20260720-018,Entitlement / Permitting,San Francisco / California,Apartment,Unknown,Unknown,Entitlement / Permitting - San Francisco / California - Silicon Valley Cities See Spike In Office Demolitions,No explicit timing reference,Unknown Timing,63,Medium,Entitlement / Permitting; permitting,Silicon Valley Cities See Spike In Office Demolitions,Bisnow,https://www.bisnow.com/san-francisco/news/multifamily/upzoning-unlocks-development-opportunities-across-sf-peninsula-135461,"Track entitlement, zoning, permitting, and public-agency milestones",Monthly
2026-07-20,20260720-235827-8318a794,TIM-20260720-021,Acquisition Window,Dallas / Texas,Apartment,Unknown,Unknown,Acquisition - Dallas / Texas - S2 Capital Offloads 229-Unit Plano Rental Community,No explicit timing reference,Unknown Timing,62,Medium,Acquisition Window,S2 Capital Offloads 229-Unit Plano Rental Community,Connect CRE Texas,https://www.connectcre.com/stories/s2-capital-offloads-229-unit-plano-rental-community/,Monitor pricing evidence and possible acquisition outreach timing,Monthly
