run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Apartment,41,29,16,34,86.1,Other / Unknown,Developer Strategy,JLL,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Affordable Housing,8,5,4,6,84.6,Los Angeles / California,Developer Strategy,JPI,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Student Housing,4,4,2,3,93.5,Los Angeles / California,Developer Strategy,JLL,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Multifamily,17,3,3,9,66.5,Other / Unknown,Developer Strategy,Greystone,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,BTR / Single-Family Rental,4,1,2,4,68.0,Dallas / Texas,Developer Strategy,None detected,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Mixed-Use Residential,8,5,6,7,89.2,Houston / Texas,Developer Strategy,JLL,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Senior Housing,3,3,2,3,81.3,Los Angeles / California,Developer Strategy,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,General Residential,3,0,3,3,53.7,Santa Monica / California,Developer Strategy,Brookfield,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Office-to-Residential Conversion,0,0,0,0,0,None detected,None detected,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Monitoring Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-07-20,20260720-235827-8318a794,2026-07-20 23:58:27,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
