run_date,run_id,file_name,file_type,category,generated_status,row_count_or_section_count,last_updated,short_description,recommended_reader
2026-07-11,20260711-235545-77ac1ce4,articles.csv,CSV,Raw Collection,Generated,77,2026-07-11 23:55:46,All saved articles above the relevance threshold.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,high_priority_articles.csv,CSV,Strategy Briefing,Generated,47,2026-07-11 23:55:46,Must Read and Review articles.,Executive
2026-07-11,20260711-235545-77ac1ce4,market_signals.csv,CSV,Strategy Briefing,Generated,27,2026-07-11 23:55:46,Articles with numeric market signals.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,strategy_briefing.csv,CSV,Strategy Briefing,Generated,47,2026-07-11 23:55:46,Core briefing dataset for strategic review.,Executive
2026-07-11,20260711-235545-77ac1ce4,daily_strategy_briefing.md,Markdown,Strategy Briefing,Generated,8,2026-07-11 23:55:46,Human-readable daily strategy briefing.,Executive
2026-07-11,20260711-235545-77ac1ce4,weekly_strategy_memo.md,Markdown,Strategy Briefing,Generated,39,2026-07-11 23:56:06,"Weekly memo with trends, regimes, and strategic implications.",Executive
2026-07-11,20260711-235545-77ac1ce4,executive_dashboard_brief.md,Markdown,Executive Dashboard,Generated,11,2026-07-11 23:56:06,Concise dashboard-ready executive brief.,Executive
2026-07-11,20260711-235545-77ac1ce4,executive_dashboard_brief_ko.md,Markdown,Executive Dashboard,Generated,7,2026-07-11 23:56:06,Korean executive dashboard briefing.,Executive
2026-07-11,20260711-235545-77ac1ce4,weekly_strategy_memo_ko.md,Markdown,Strategy Briefing,Generated,6,2026-07-11 23:56:06,Korean weekly strategy memo.,Executive
2026-07-11,20260711-235545-77ac1ce4,executive_priority_brief_ko.md,Markdown,Executive Dashboard,Generated,4,2026-07-11 23:56:06,Korean executive priority brief.,Executive
2026-07-11,20260711-235545-77ac1ce4,opportunity_radar_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-07-11 23:56:06,Korean opportunity radar report.,Investment Team
2026-07-11,20260711-235545-77ac1ce4,distress_watchlist_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-07-11 23:56:06,Korean distress watchlist report.,Investment Team
2026-07-11,20260711-235545-77ac1ce4,high_confidence_watchlist_report_ko.md,Markdown,Quality Control,Generated,4,2026-07-11 23:56:06,Korean high-confidence watchlist report.,Executive
2026-07-11,20260711-235545-77ac1ce4,la_asset_watch_report_ko.md,Markdown,Deal / Asset Intelligence,Generated,5,2026-07-11 23:56:06,Korean LA asset watch report.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,la_entitlement_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,5,2026-07-11 23:56:06,Korean LA entitlement watch report.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,la_development_lifecycle_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,4,2026-07-11 23:56:06,Korean LA development lifecycle watch report.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,gp_watchlist_report_ko.md,Markdown,GP / Institutional Intelligence,Generated,5,2026-07-11 23:56:06,Korean GP watchlist report.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,korean_reporting_index.md,Markdown,Strategy Briefing,Generated,4,2026-07-11 23:56:06,Index and reading order for Korean reports.,Executive
2026-07-11,20260711-235545-77ac1ce4,dashboard_summary.csv,CSV,Executive Dashboard,Generated,1,2026-07-11 23:56:06,One-row run summary for future dashboard metrics.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,dashboard_cards.csv,CSV,Executive Dashboard,Generated,38,2026-07-11 23:56:06,Dashboard-ready card data.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,dashboard_watchlists.csv,CSV,Executive Dashboard,Generated,98,2026-07-11 23:56:06,Dashboard-ready watchlist data.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,high_confidence_watchlist.csv,CSV,Quality Control,Generated,49,2026-07-11 23:56:06,Highest-confidence strategic signals.,Executive
2026-07-11,20260711-235545-77ac1ce4,signal_quality.csv,CSV,Quality Control,Generated,183,2026-07-11 23:56:06,Signal confidence and false-positive risk scoring.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,source_health.csv,CSV,Source Management,Generated,163,2026-07-11 23:55:46,Feed status and source usefulness.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,source_coverage_report.csv,CSV,Source Management,Generated,25,2026-07-11 23:55:53,Site / Parcel feed coverage diagnostics.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,costar_intake_report.csv,CSV,Source Management,Generated,1,2026-07-11 23:55:53,Diagnostics for manually exported CoStar intake files.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,source_activation.csv,CSV,Source Management,Generated,163,2026-07-11 23:55:46,Validated source activation and source quality scoring.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,source_health_report.md,Markdown,Source Management,Generated,9,2026-07-11 23:55:46,Readable source health report.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,source_coverage_report.md,Markdown,Source Management,Generated,4,2026-07-11 23:55:53,Readable Site / Parcel source coverage report.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,costar_intake_report.md,Markdown,Source Management,Generated,4,2026-07-11 23:55:53,Readable CoStar manual intake diagnostics.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,source_activation_report.md,Markdown,Source Management,Generated,11,2026-07-11 23:55:46,Readable source activation report.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,opportunity_radar.csv,CSV,Opportunity / Distress,Generated,57,2026-07-11 23:56:06,"Acquisition, recapitalization, JV, and market-entry opportunities.",Investment Team
2026-07-11,20260711-235545-77ac1ce4,distress_watchlist.csv,CSV,Opportunity / Distress,Generated,11,2026-07-11 23:56:06,"Refinancing stress, stalled project, and distress signals.",Investment Team
2026-07-11,20260711-235545-77ac1ce4,deal_pipeline.csv,CSV,Deal / Asset Intelligence,Generated,60,2026-07-11 23:56:06,Extracted deal and project pipeline signals.,Investment Team
2026-07-11,20260711-235545-77ac1ce4,asset_parcel_intelligence.csv,CSV,Deal / Asset Intelligence,Generated,82,2026-07-11 23:56:06,"Asset, parcel, address, sponsor, and site-level clues.",Development Team
2026-07-11,20260711-235545-77ac1ce4,la_asset_watch.csv,CSV,Deal / Asset Intelligence,Generated,45,2026-07-11 23:56:04,LA and Southern California asset watchlist.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,project_identity.csv,CSV,Deal / Asset Intelligence,Generated,673,2026-07-11 23:56:06,Canonical project identity resolution.,Technical / Maintenance
2026-07-11,20260711-235545-77ac1ce4,persistent_asset_memory.csv,CSV,Historical Memory,Generated,183,2026-07-11 23:56:06,Persistent project memory across runs.,Development Team
2026-07-11,20260711-235545-77ac1ce4,la_persistent_asset_watch.csv,CSV,Historical Memory,Generated,108,2026-07-11 23:56:06,Persistent LA and Southern California asset watch.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,entitlement_intelligence.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,17,2026-07-11 23:56:02,"Zoning, permitting, entitlement, and approval signals.",Development Team
2026-07-11,20260711-235545-77ac1ce4,la_entitlement_watch.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,11,2026-07-11 23:56:02,LA and California entitlement watchlist.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,development_lifecycle.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,82,2026-07-11 23:56:06,Development lifecycle stage classification.,Development Team
2026-07-11,20260711-235545-77ac1ce4,lifecycle_transition.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,82,2026-07-11 23:56:06,Lifecycle progression and stall tracking.,Development Team
2026-07-11,20260711-235545-77ac1ce4,timing_intelligence.csv,CSV,Entitlement / Lifecycle Intelligence,Generated,44,2026-07-11 23:56:02,"Timing signals for refinancing, delivery, permitting, and entry windows.",Strategy Team
2026-07-11,20260711-235545-77ac1ce4,market_entry_window.csv,CSV,Strategy Briefing,Generated,8,2026-07-11 23:56:02,Market entry window scoring by region.,Investment Team
2026-07-11,20260711-235545-77ac1ce4,gp_watchlist.csv,CSV,GP / Institutional Intelligence,Generated,22,2026-07-11 23:55:55,Emerging GP ranking and watchlist.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,gp_intelligence.csv,CSV,GP / Institutional Intelligence,Generated,22,2026-07-11 23:55:55,Developer and GP intelligence signals.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,institutional_relationships.csv,CSV,GP / Institutional Intelligence,Generated,22,2026-07-11 23:55:55,Institutional relationship and capital-flow scoring.,Strategy Team
2026-07-11,20260711-235545-77ac1ce4,relationship_graph.csv,CSV,GP / Institutional Intelligence,Generated,125,2026-07-11 23:56:06,"Developer, lender, capital partner, and market relationship edges.",Strategy Team
2026-07-11,20260711-235545-77ac1ce4,regional_intelligence.csv,CSV,Strategy Briefing,Generated,13,2026-07-11 23:55:55,Market and regional intelligence summary.,US Local Team
2026-07-11,20260711-235545-77ac1ce4,residential_sector_intelligence.csv,CSV,Strategy Briefing,Generated,11,2026-07-11 23:55:55,Residential sector coverage beyond multifamily.,Strategy Team
