run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Los Angeles,9,2,3,2,0,2,Affordable Housing,Entitlement Approval,Mixed-use corridor,Unknown,200 apartments fully framed at 3863 Carson Street in Torrance; Affordable housing under construction at 14243 Sylvan St. in Van Nuys; Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood; Entitlement / Permitting - Los Angeles / California - L.A. County approves up to $20M for affordable housing in Claremont; Entitlement / Permitting - Los Angeles / California - Port of L.A. invest $4 million in Battleship Iowa Museum expansion,100,42,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Riverside,2,2,0,2,1,2,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - Riverside / California - What multifamily firms bought and sold this summer; Construction Financing - Riverside / California - Lender Group Provides $74.7M Loan for Riverside Townhome Community; Lender Group Provides $74.7M Loan for Riverside Townhome Community; What multifamily firms bought and sold this summer,96,46,No,Inland Empire BTR / rental housing watch,Review potential acquisition pipeline,High
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Anaheim,2,1,0,1,0,1,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community; MBK Rental Living Sells Luxury Apartment Community In Central Orange; Tishman Speyer Acquires 376-Unit Anaheim Rental Community,72,30,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Wilshire,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,Mixed-use corridor,Unknown,Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood; Entitlement / Permitting - Los Angeles / California - Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood,68,40,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Hollywood,1,1,0,1,0,1,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Development Start - Los Angeles / California - Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood; Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,61,30,No,Hollywood / transit-oriented housing watch,Review potential acquisition pipeline,Medium
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,West Hollywood,1,1,0,1,0,1,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Development Start - Los Angeles / California - Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood; Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,61,30,No,Hollywood / transit-oriented housing watch,Review potential acquisition pipeline,Medium
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,California,0,6,0,0,0,0,Apartment,General Entitlement Signal,University-adjacent,Unknown,"Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...; Construction Financing - California - CEDARst Snags $80M Construction Loan for San Diego Apartments; Disposition / Exit - California - Ridge Capital Offloads Two Ukiah Apartment Complexes; JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...; JV / Partnership - California - MBK Rental Living Sells Luxury Apartment Community In Central Orange",48,20,No,Monitor only,Monitor only,Low
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Inland Empire,1,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Lender Group Provides $74.7M Loan for Riverside Townhome Community,12,30,No,Inland Empire BTR / rental housing watch,Monitor only,Low
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Orange County,2,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex; Tishman Speyer Acquires 376-Unit Anaheim Rental Community,12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,Southern California,0,1,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,8,20,No,Monitor only,Monitor only,Low
