run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_transition_id,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,previous_stage,current_stage,previous_stage_rank,current_stage_rank,transition_type,stage_change,days_since_first_seen,days_since_last_seen,observation_count,progression_score,stall_risk_score,execution_momentum_label,woomi_timing_relevance,recommended_transition_follow_up,evidence_article_title,source,url,confidence_level
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0090,Entitlement / Permitting - Los Angeles / California - Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood,80,LCT-20260904-028,Development Start - Los Angeles / California - Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,Unknown,Los Angeles / California,Affordable Housing,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,78,13,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/rendering-vs-reality-affordable-housing-1201-n-detroit-st-west-hollywood,High
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0075,Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,80,LCT-20260904-032,Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,Los Angeles / California,Hollywood,Affordable Housing,,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,78,11,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Rendering vs. Reality: Affordable housing at 1201 N. Detroit St. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/rendering-vs-reality-affordable-housing-1201-n-detroit-st-west-hollywood,High
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0159,Construction Financing - Miami / Florida - Shoma Group Obtains $172.5M C-PACE Loan for North Bay Village Development,80,LCT-20260904-039,General Project Signal - Miami / Florida - Terra Lands $245M Financing for Newly Completed Upland Park Development,Unknown,South Florida,Mixed-Use Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,77,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Terra Lands $245M Financing for Newly Completed Upland Park Development,Connect CRE South Florida,https://www.connectcre.com/stories/terra-lands-245m-financing-for-newly-completed-upland-park-development/,High
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0120,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,100,LCT-20260904-008,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,New York,New York,Apartment,CBRE,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,75,11,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Yield PRO,https://yieldpro.com/2026/09/51-south-apartments/,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0053,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",100,LCT-20260904-006,"Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, Berkeley",California,Unknown,Student Housing,CBRE,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,75,11,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark","Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, Berkeley",REBusiness Online,https://rebusinessonline.com/gilbane-cbre-im-complete-484-bed-student-housing-project-near-university-of-california-berkeley/,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0053,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",100,LCT-20260904-007,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",California,California,Student Housing,CBRE,No Previous Record,Delivery / Opening,0,13,Newly Detected Project,13,0,0,1,75,11,Unknown,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark","Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, Berkeley",REBusiness Online,https://rebusinessonline.com/gilbane-cbre-im-complete-484-bed-student-housing-project-near-university-of-california-berkeley/,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0051,JV / Partnership - California - 200 apartments fully framed at 3863 Carson Street in Torrance,80,LCT-20260904-022,JV / Partnership - California - 200 apartments fully framed at 3863 Carson Street in Torrance,California,Bay Area,Senior Housing,Unknown,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,74,13,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,200 apartments fully framed at 3863 Carson Street in Torrance,Urbanize LA,https://la.urbanize.city/post/200-apartments-fully-framed-3863-carson-street-torrance,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0090,Entitlement / Permitting - Los Angeles / California - Construction begins for mixed-use project at 11905 Wilshire Blvd. in Brentwood,80,LCT-20260904-030,Entitlement / Permitting - Los Angeles / California - Affordable housing under construction at 14243 Sylvan St. in Van Nuys,Unknown,Los Angeles / California,Affordable Housing,Unknown,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,73,13,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Affordable housing under construction at 14243 Sylvan St. in Van Nuys,Urbanize LA,https://la.urbanize.city/post/affordable-housing-under-construction-14243-sylvan-st-van-nuys,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0096,200 apartments fully framed at 3863 Carson Street in Torrance,100,LCT-20260904-020,200 apartments fully framed at 3863 Carson Street in Torrance,California,Los Angeles,Senior Housing,Legacy Partners,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,66,11,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,200 apartments fully framed at 3863 Carson Street in Torrance,Urbanize LA,https://la.urbanize.city/post/200-apartments-fully-framed-3863-carson-street-torrance,Medium
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0100,Entitlement / Permitting - Los Angeles / California - L.A. County approves up to $20M for affordable housing in Claremont,80,LCT-20260904-021,Affordable housing under construction at 14243 Sylvan St. in Van Nuys,Los Angeles / California,Los Angeles,Affordable Housing,,No Previous Record,Vertical Construction,0,11,Newly Detected Project,11,0,0,1,66,11,Unknown,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Affordable housing under construction at 14243 Sylvan St. in Van Nuys,Urbanize LA,https://la.urbanize.city/post/affordable-housing-under-construction-14243-sylvan-st-van-nuys,Medium
