run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-228897138E,DCL-20260904-014,100,General Project Signal - National - JLL Secures $76.3M in Financing for Luxury Apartment Development in West St. Paul,General Project Signal - General Project Signal - National - JLL Secures $76.3M in Financing for Luxury Apartment Development in West St. Paul,General Project Signal - JLL - National,General Project Signal,National,Apartment,JLL,JLL,291 units,$76.3M; $76.3M; $76.3 million,$76.3M,1,1,1,REBusiness Online,JLL Secures $76.3M in Financing for Luxury Apartment Development in West St. Paul,National,75
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-7BF2FDE2D0,DCL-20260904-005,90,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition - Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition - Freddie Mac - California,Acquisition,California,Apartment,Freddie Mac,Freddie Mac,,$88 million,$88 million,1,1,1,Connect CRE Orange County,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,California,89
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-1896018B02,DCL-20260904-024,90,"Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail","Construction Financing - Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Construction Financing - Berkadia - Berkadia - Sun Belt,Construction Financing,Miami / Florida,General Residential,Berkadia,Berkadia,,$118.6M; $118.6M; $118.6 million,$118.6M,1,1,1,Connect CRE South Florida,"Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Miami / Florida,69
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-2343AC3CC9,DCL-20260904-001,90,Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,Construction Financing - Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,Construction Financing - JLL - JLL - California,Construction Financing,California,Apartment,JLL,JLL,,$80M; $80 million; $80M,$80M,1,1,1,REBusiness Online,CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Diego,California,93
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-19F73F0EC9,DCL-20260904-002,90,Construction Financing - California - CEDARst Snags $80M Construction Loan for San Diego Apartments,Construction Financing - Construction Financing - California - CEDARst Snags $80M Construction Loan for San Diego Apartments,Construction Financing - JLL - JLL - California,Construction Financing,California,Apartment,JLL,JLL,,$80M; $80M; $80 million,$80M,1,1,1,Connect CRE,CEDARst Snags $80M Construction Loan for San Diego Apartments,California,93
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-C89294932F,DCL-20260904-008,90,Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,Construction Financing - Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,Construction Financing - Walker & Dunlop - walker & dunlop - New York,Construction Financing,New York,Apartment,Walker & Dunlop,walker & dunlop,,$390M; $390M; $390 million,$390M,1,1,1,Connect CRE Apartments,Namdar Group Lands $390M Construction Loan in Jersey City,New York,85
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-A7A61161B1,DCL-20260904-009,90,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Disposition / Exit - Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Disposition / Exit - CBRE - New York,Disposition / Exit,New York,Apartment,CBRE,CBRE,,$64.3M; $64.3 million; $64.3m,,1,1,1,Yield PRO,CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,New York,81
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-470E6B3B87,DCL-20260904-010,90,Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Disposition / Exit - Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Disposition / Exit - CBRE - Seattle,Disposition / Exit,Seattle,Apartment,CBRE,CBRE,,$20 million; $20 million,,1,1,1,Connect CRE Apartments,Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Seattle,81
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-0238CFD982,DCL-20260904-018,90,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Fairfield Residential - Sun Belt,Disposition / Exit,Miami / Florida,Apartment,Fairfield Residential,Unknown,812 apartments,$208M; $208M; $208 million,,1,1,1,Connect CRE South Florida,Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,72
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-1AC19DEF5C,DCL-20260904-015,90,General Project Signal - Virginia - Walker & Dunlop Arranges $142M HUD Financing for Two Virginia Multifamily Construction Pro...,General Project Signal - General Project Signal - Virginia - Walker & Dunlop Arranges $142M HUD Financing for Two Virginia Multifamily Construction Pro...,General Project Signal - Walker & Dunlop - Virginia,General Project Signal,Virginia,Apartment,Walker & Dunlop,walker & dunlop,,$142M; $142 million; $142m,$142M,1,1,1,Yield PRO,Walker & Dunlop Arranges $142M HUD Financing for Two Virginia Multifamily Construction Projects on Behalf of Bonaventure,Virginia,75
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-D46F894D38,DCL-20260904-003,90,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...","JV / Partnership - JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",JV / Partnership - CBRE - California,JV / Partnership,California,Student Housing,CBRE,CBRE,53 units,,,1,1,1,REBusiness Online,"Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, Berkeley",California,93
2026-09-04,20260904-004955-4e2acade,2026-09-04 00:49:55,DFP-85D4A35340,DCL-20260904-016,90,"JV / Partnership - New York - CIM Group, Hulic Pick Up White Plains Apartment Building for $64M","JV / Partnership - JV / Partnership - New York - CIM Group, Hulic Pick Up White Plains Apartment Building for $64M",JV / Partnership - CIM Group - New York,JV / Partnership,New York,Apartment,CIM Group,CBRE,,$64M; $64M; $63.4 million,,1,1,1,Connect CRE Apartments,"CIM Group, Hulic Pick Up White Plains Apartment Building for $64M",New York,74
