run_date,run_id,run_timestamp,entity_type,entity_name,signal_type,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,persistence_score,momentum_direction,signal_acceleration,recurring_signal_label,historical_importance_score,longitudinal_conviction_score,institutional_persistence_score,capital_flow_strength_score
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Institutional Capital Partner,Bascom Group,Capital Inflow,California,Apartment,2026-07-14,2026-07-25,11,1,99,Stable,0,Persistent,82,92,92,69
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Relationship Edge,California -> California,Financing Relationship,California,,2026-05-26,2026-07-25,27,2,94,Accelerating,2,Reappearing,82,89,90,87
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Relationship Edge,CBRE -> CBRE,Financing Relationship,California,,2026-05-21,2026-07-24,87,0,93,Weakening,-1,Fading,82,89,89,86
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Institutional Capital Partner,"Milhaus Merges with SRG Residential, Will",Capital Inflow,California,Apartment,2026-07-14,2026-07-25,11,1,96,Stable,0,Persistent,81,90,90,67
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,GP / Developer,Bascom Group,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Apartment,2026-07-15,2026-07-25,9,1,92,Stable,0,Persistent,79,87,68,78
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Relationship Edge,Walker & Dunlop -> Los Angeles,Financing Relationship,Los Angeles / California,,2026-07-23,2026-07-25,6,3,79,Accelerating,3,Accelerating,77,78,82,81
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Relationship Edge,Berkadia -> Berkadia,Financing Relationship,California,,2026-06-23,2026-07-25,5,1,78,Stable,0,Persistent,77,78,82,80
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Institutional Capital Partner,Walker & Dunlop,Refinancing / Recapitalization,Los Angeles / California,Affordable Housing,2026-07-23,2026-07-25,2,1,62,Stable,1,Emerging,77,68,74,74
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Lender / Debt Provider,walker & dunlop,Refinancing,Los Angeles / California,Affordable Housing,2026-07-23,2026-07-25,2,1,61,Stable,1,Emerging,77,67,73,73
2026-07-25,20260725-000456-8feba976,2026-07-25 00:04:56,Relationship Edge,Bascom Group -> California,Acquisition / Buyer,California,,2026-07-14,2026-07-25,25,2,98,Stable,0,Persistent,76,89,92,68
