run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-09-03,20260903-005911-9e519615,TIM-20260903-014,Construction Start,California,Affordable Housing,Unknown,Unknown,Development Start - California - Development Team Starts Work on Milpitas Affordable Housing Project,No explicit timing reference,Unknown Timing,71,Medium,Construction Start,Development Team Starts Work on Milpitas Affordable Housing Project,Connect CRE California,https://www.connectcre.com/stories/development-team-starts-work-on-waterford-affordable-housing-project/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-003,Refinancing / Maturity Window,Miami / Florida,Multifamily,Berkadia,Berkadia,Refinancing - Miami / Florida - Berkadia Arranges $44M Refinancing for The Harlow in Wesley Chapel Florida,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,Berkadia Arranges $44M Refinancing for The Harlow in Wesley Chapel Florida,Yield PRO,https://yieldpro.com/2026/09/the-harlow-wesley/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-002,Acquisition Window,California,Apartment,Freddie Mac,Freddie Mac,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,No explicit timing reference,Unknown Timing,70,Medium,Acquisition Window,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Connect CRE Orange County,https://www.connectcre.com/stories/tishman-speyer-acquires-376-unit-anaheim-rental-community/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-033,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,2026,Immediate / 0-3 Months,70,Medium,Construction Start,First Quarter 2026 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/05/first-quarter-2026-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-034,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Fourth Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/fourth-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-035,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,in 2025,Immediate / 0-3 Months,70,Medium,Construction Start; starts in,Overall Housing Starts Inch Lower in 2025,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/02/overall-housing-starts-inch-lower-in-2025/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-022,Refinancing / Maturity Window,National,Apartment,Unknown,Unknown,Refinancing - National - Gantry Secures $20.7M Refinance for Pacific Northwest Multifamily Communities,No explicit timing reference,Unknown Timing,70,Medium,Refinancing / Maturity Window; refinance,Gantry Secures $20.7M Refinance for Pacific Northwest Multifamily Communities,Yield PRO,https://yieldpro.com/2026/09/gantry-boxcar/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-006,Acquisition Window,Denver / Colorado,Apartment,Greystar,Unknown,Acquisition - Denver / Colorado - Greystar Sells Denver Apartment Building For $110M,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,Greystar Sells Denver Apartment Building For $110M,Bisnow,https://www.bisnow.com/news/denver/multifamily/greystar-sells-denver-apartment-building-carmel-partners,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-005,Acquisition Window,Phoenix / Arizona,Mixed-Use Residential,Greystar,Unknown,Acquisition - Phoenix / Arizona - Downtown Denver Apartment Building Trades for $110M,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,Downtown Denver Apartment Building Trades for $110M,Connect CRE Apartments,https://www.connectcre.com/stories/downtown-denver-apartment-building-trades-for-110m/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-001,Acquisition Window,Southeast,Apartment,CBRE,CBRE,"Acquisition - Southeast - Fourth Avenue Capital Buys Apartment Complex in Bend, Oregon for $20M",No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,"Fourth Avenue Capital Buys Apartment Complex in Bend, Oregon for $20M",REBusiness Online,https://rebusinessonline.com/fourth-avenue-capital-buys-apartment-complex-in-bend-oregon-for-20m/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-016,Entitlement / Permitting,California,Apartment,Unknown,Unknown,Entitlement / Permitting - California - Notable multifamily policy and legal moves from this summer,No explicit timing reference,Unknown Timing,67,Medium,Entitlement / Permitting; permitting,Notable multifamily policy and legal moves from this summer,Multifamily Dive,https://www.multifamilydive.com/news/state-local-multifamily-policy-legislation-lawsuit/828956/,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-009,Acquisition Window,Seattle,Mixed-Use Residential,Unknown,Unknown,Acquisition - Seattle - Bender Equities Sells 95-Unit Apartment Complex in Seattle’s Eastlake Neighborhood,No explicit timing reference,Unknown Timing,65,Medium,Acquisition Window,Bender Equities Sells 95-Unit Apartment Complex in Seattle’s Eastlake Neighborhood,REBusiness Online,https://rebusinessonline.com/bender-equities-sells-95-unit-apartment-complex-in-seattles-eastlake-neighborhood/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-09-03,20260903-005911-9e519615,TIM-20260903-007,Entitlement / Permitting,Los Angeles / California,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles / California - L.A. County approves up to $20M for affordable housing in Claremont,No explicit timing reference,Unknown Timing,65,Medium,Entitlement / Permitting; permitting,L.A. County approves up to $20M for affordable housing in Claremont,Urbanize LA,https://la.urbanize.city/post/la-county-approves-20m-affordable-housing-claremont,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
