run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-6708B4DF1B,DCL-20260612-004,90,Acquisition - Dallas / Texas - Brixton Acquires 288-Unit Las Colinas Rental Community,Acquisition - Acquisition - Dallas / Texas - Brixton Acquires 288-Unit Las Colinas Rental Community,Acquisition - JLL - Los Angeles,Acquisition,Dallas / Texas,Apartment,JLL,JLL,,$40.9 million; $40.9 million,$40.9 million,1,1,1,Connect CRE Texas,Brixton Acquires 288-Unit Las Colinas Rental Community,Dallas / Texas,85
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-CAD0BC4F51,DCL-20260612-003,90,Construction Financing - Miami / Florida - Developer Lands $134M to Build Fourth Apartment Tower Near Miami Metrorail,Construction Financing - Construction Financing - Miami / Florida - Developer Lands $134M to Build Fourth Apartment Tower Near Miami Metrorail,Construction Financing - IPA - Sun Belt,Construction Financing,Miami / Florida,Apartment,IPA,Unknown,400 units,$134M; $134M; $134m,$134M,1,1,1,Commercial Observer,Developer Lands $134M to Build Fourth Apartment Tower Near Miami Metrorail,Miami / Florida,87
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-38DEE0D2A8,DCL-20260612-001,90,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - JLL - JLL - California,Construction Financing,California,Apartment,JLL,JLL,,$144M; $144M; $144,$144M,1,1,1,Connect CRE Orange County,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,93
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-BB73BB97D4,DCL-20260612-002,90,Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment,Disposition / Exit - Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment,Disposition / Exit - CBRE - California,Disposition / Exit,California,Apartment,CBRE,CBRE,,$8.12; $8.12,,1,1,1,Connect CRE Orange County,Yorba Linda Parking Lot Sells for Townhome Redevelopment,California,89
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-5508FCE9F0,DCL-20260612-012,90,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,Disposition / Exit - Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,Disposition / Exit - CBRE - California,Disposition / Exit,California,General Residential,CBRE,CBRE,,$11 million; $1; $11 million,,1,1,1,Connect CRE Orange County,Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,California,74
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-DDAFDD3439,DCL-20260612-007,90,Disposition / Exit - Seattle - CBRE Completes $17M Sale of 70-Unit Multifamily on Bainbridge Island,Disposition / Exit - Disposition / Exit - Seattle - CBRE Completes $17M Sale of 70-Unit Multifamily on Bainbridge Island,Disposition / Exit - CBRE - Seattle,Disposition / Exit,Seattle,Apartment,CBRE,CBRE,,$17M; $17M; $16.8 million,,1,1,1,Connect CRE Apartments,CBRE Completes $17M Sale of 70-Unit Multifamily on Bainbridge Island,Seattle,81
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-C431C120A0,DCL-20260612-009,90,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Project Signal - General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,General Project Signal - JLL - California,General Project Signal,California,Senior Housing,JLL,JLL,,$252M; $252M; $252.1 million,$252M,1,1,1,Connect CRE Orange County,JLL Arranges $252M Financing for Huntington Beach Seniors Project,California,78
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-7055481161,DCL-20260612-005,90,JV / Partnership - Miami / Florida - JV Raises $100M for Coral Gables Mixed-Use Project,JV / Partnership - JV / Partnership - Miami / Florida - JV Raises $100M for Coral Gables Mixed-Use Project,JV / Partnership - Berkadia - Sun Belt,JV / Partnership,Miami / Florida,Mixed-Use Residential,Berkadia,Berkadia,,$100M; $100M; $100 million,,1,1,1,Connect CRE South Florida,JV Raises $100M for Coral Gables Mixed-Use Project,Miami / Florida,85
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-4677D4265D,DCL-20260612-008,90,JV / Partnership - Austin / Texas - 20-Acre Austin Multifamily Redevelopment Property Set for Auction in Austin Texas,JV / Partnership - JV / Partnership - Austin / Texas - 20-Acre Austin Multifamily Redevelopment Property Set for Auction in Austin Texas,JV / Partnership - Freddie Mac - Sun Belt,JV / Partnership,Austin / Texas,Multifamily,Freddie Mac,Freddie Mac,,$9.5 million; $9.5 million,$9.5 million,1,1,1,Yield PRO,20-Acre Austin Multifamily Redevelopment Property Set for Auction in Austin Texas,Austin / Texas,80
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-0907857F31,DCL-20260612-006,90,Refinancing - New York - Berkadia Secures $126M Refi on 99% Occupied New Rochelle Apartments,Refinancing - Refinancing - New York - Berkadia Secures $126M Refi on 99% Occupied New Rochelle Apartments,Refinancing - Berkadia - Fannie Mae - New York,Refinancing,New York,Apartment,Berkadia,Fannie Mae,,$126M; $126M; $126.407,$126M,1,1,1,Connect CRE,Berkadia Secures $126M Refi on 99% Occupied New Rochelle Apartments,New York,85
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-7725E994CD,DCL-20260612-010,90,Refinancing - New York City / New York - First Walker & Dunlop Affordable Bridge Capital Transaction with Pretium Closes,Refinancing - Refinancing - New York City / New York - First Walker & Dunlop Affordable Bridge Capital Transaction with Pretium Closes,Refinancing - IPA - walker & dunlop - New York,Refinancing,New York City / New York,Affordable Housing,IPA,walker & dunlop,,$75.7 million; $75.7 million,$75.7 million,1,1,1,Yield PRO,First Walker & Dunlop Affordable Bridge Capital Transaction with Pretium Closes,New York City / New York,78
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,DFP-014DA46FB5,DCL-20260612-013,80,Acquisition - Houston / Texas - Interurban Offloads 180-Unit Houston Rental Community,Acquisition - Acquisition - Houston / Texas - Interurban Offloads 180-Unit Houston Rental Community,Acquisition - Berkadia - Houston / Texas,Acquisition,Houston / Texas,Apartment,Berkadia,Berkadia,,,,1,1,1,Connect CRE Apartments,Interurban Offloads 180-Unit Houston Rental Community,Houston / Texas,73
