run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0158,JV / Partnership - Los Angeles / California - Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,100,AST-20260925-021,art_ba67caafb3c2114b,Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,https://la.urbanize.city/post/construction-goes-vertical-mixed-use-project-155-w-6th-st-san-pedro,"Wed, 23 Sep 2026 13:15:00 +0000","Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro | Urbanize LA Skip to main content Advertisement Advertisement Seven months after breaking ground in San Pedro , construction is going vertical for a new mixed-use apartment complex from Trammell Crow Company subsidiary High Street Residential. View looking southeast Urbanize LA Jules San Pedro, a joint venture with Haseko North America, is rising form a site at 625 S. Beacon Street and 155 W. 6th Street, located a s",suspicious_duplicate,source-feed signal bleed suspected,Development Activity,GP / Capital Activity; Market Intelligence,repeat_penalized,,,,,2026-09-23,2026-09-25,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),46,access_limited,JV / Partnership - Los Angeles / California - Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,JV / Partnership - Los Angeles / California - Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,Southeast,Mixed-use corridor,Southeast,Los Angeles,Unknown,Mixed-Use Residential,Mixed-Use Residential,High Street Residential,High Street Residential,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,281 apartments,$500,,JV / Partnership,General Asset Signal,Unknown site control,Unknown,construction_delivery_watch,matched development / asset strategy execution,99,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Construction goes vertical for mixed-use project at 155 W. 6th St. in San Pedro,Urbanize LA,https://la.urbanize.city/post/construction-goes-vertical-mixed-use-project-155-w-6th-st-san-pedro,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0053,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,100,AST-20260925-027,art_5e74f9e2f85b4981,Value-Add Rentals Go for $13M in El Cajon,https://www.connectcre.com/stories/value-add-rentals-go-for-13m-in-el-cajon/,"Tue, 22 Sep 2026 21:26:39 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + San Diego + Apartments | September 22, 2026 By: Paul Bubny Value-Add Rentals Go for $13M in El Cajon Marcus & Millichap closed the sale of 229 Shady Ln., a circa-1969, 59-unit multifamily property located in El Cajon. The asset sold for $13.25 million, or $224,576 per unit. “Value-add apartment communities in East County San Diego continue to attract investor i",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-09-22,2026-09-25,3,fresh_0_3d,fresh,published date parsed; article age 3 day(s),74,open,Disposition / Exit - California - Value-Add Rentals Go for $13M in El Cajon,Disposition / Exit - California - Value-Add Rentals Go for $13M in El Cajon,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$13M; $13M; $13.25 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,98,31,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Value-Add Rentals Go for $13M in El Cajon,Connect CRE California,https://www.connectcre.com/stories/value-add-rentals-go-for-13m-in-el-cajon/,Medium
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0053,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,100,AST-20260925-026,art_7a63e557d422bdd8,Russian Hill Apartments Trade After 50 Years of Family Ownership,https://www.connectcre.com/stories/russian-hill-apartments-trade-after-50-years-of-family-ownership/,"Thu, 24 Sep 2026 20:11:52 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Bay Area + Apartments | September 24, 2026 By: Paul Bubny Russian Hill Apartments Trade After 50 Years of Family Ownership Marcus & Millichap arranged the sale of two multifamily properties at 1159-1169 and 1067-1071 Union St. in San Francisco’s Russian Hill neighborhood. Totaling 11 units, the properties sold for a combined $6.25 million after more than 50 yea",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-09-24,2026-09-25,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,open,Disposition / Exit - San Francisco / California - Russian Hill Apartments Trade After 50 Years of Family Ownership,Disposition / Exit - San Francisco / California - Russian Hill Apartments Trade After 50 Years of Family Ownership,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,11 units,$6.25 million; $6.25 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,96,25,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Russian Hill Apartments Trade After 50 Years of Family Ownership,Connect CRE,https://www.connectcre.com/stories/russian-hill-apartments-trade-after-50-years-of-family-ownership/,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0002,Entitlement / Permitting - California - Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,80,AST-20260925-032,art_7f93e0da9e78b056,Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,https://la.urbanize.city/post/apartment-complex-fully-framed-11250-la-grange-ave-sawtelle,"Wed, 23 Sep 2026 13:10:00 +0000","Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle | Urbanize LA Skip to main content Advertisement Advertisement In Sawtelle, framing is complete for a new multifamily residential development from RBM of California. View looking southwest DE Architects / RBM of CA The project at 11250 La Grange Avenue , which replaced a cluster of single-family homes, consists of a five-story building that will feature 38 two- and three-bedroom apartments atop a two-level, 100-car subterranean p",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,,,,,2026-09-23,2026-09-25,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),66,access_limited,Entitlement / Permitting - California - Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,Entitlement / Permitting - California - Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,11250 La Grange Ave,General submarket monitoring,California,Los Angeles,California,Mixed-Use Residential,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,38 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Apartment complex fully framed at 11250 La Grange Ave. in Sawtelle,Urbanize LA,https://la.urbanize.city/post/apartment-complex-fully-framed-11250-la-grange-ave-sawtelle,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0025,Entitlement / Permitting - Los Angeles / California - Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,80,AST-20260925-041,art_ba3eba031a9aacf3,Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,https://la.urbanize.city/post/senior-affordable-housing-starting-work-7556-woodlake-ave-west-hills,"Wed, 23 Sep 2026 13:05:00 +0000","Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills | Urbanize LA Skip to main content Advertisement Advertisement In West Hills , site preparation has commenced for a downsized senior affordable housing complex. Last year, the Los Angeles City Planning Commission upheld the approval of the project, which would rise at 7556-7572 N. Woodlake Avenue. JZ Development, LLC, the project applicant, obtained city approvals in 2024 for the construction of a five-story structure co",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,acceptable_repeat,,,,,2026-09-23,2026-09-25,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),66,access_limited,Entitlement / Permitting - Los Angeles / California - Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,Entitlement / Permitting - Los Angeles / California - Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,7556 Woodlake Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,332 apartments,,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,approval_watch,matched permit,94,34,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Senior affordable housing starting work at 7556 Woodlake Ave. in West Hills,Urbanize LA,https://la.urbanize.city/post/senior-affordable-housing-starting-work-7556-woodlake-ave-west-hills,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0009,General Project Signal - Beverly Hills / California - 270 apartments take shape at 200 E. First American Way in Santa Ana,80,AST-20260925-042,art_0f973f7c2b1bec60,270 apartments take shape at 200 E. First American Way in Santa Ana,https://la.urbanize.city/post/270-apartments-take-shape-200-e-first-american-way-santa-ana,"Thu, 24 Sep 2026 13:05:00 +0000","270 apartments take shape at 200 E. First American Way in Santa Ana | Urbanize LA Skip to main content Advertisement Advertisement Framing is complete fo r a new multifamily residential building in Santa Ana , according to a social media post from Westport Construction. Legado at the Met , located at 200 E. First American Way, consists of a six-story building that will feature 270 studio, one-, two-, and three-bedroom dwellings, ranging from 600 to 1,800 square feet in size, when complete. Plans",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,new_or_fresh,,,,,2026-09-24,2026-09-25,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),88,access_limited,General Project Signal - Beverly Hills / California - 270 apartments take shape at 200 E. First American Way in Santa Ana,General Project Signal - Beverly Hills / California - 270 apartments take shape at 200 E. First American Way in Santa Ana,200 E. First American Way,General submarket monitoring,America,Los Angeles,Unknown,Mixed-Use Residential,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,"5,000 homes",$128,,General Project Signal,General Asset Signal,Unknown site control,Unknown,construction_delivery_watch,matched development / asset strategy execution,94,34,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,270 apartments take shape at 200 E. First American Way in Santa Ana,Urbanize LA,https://la.urbanize.city/post/270-apartments-take-shape-200-e-first-american-way-santa-ana,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0017,General Project Signal - Colorado - Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,80,AST-20260925-053,art_64f3030f6fbc60be,Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,https://la.urbanize.city/post/renderings-revealed-mixed-use-project-305-e-colorado-st-glendale,"Tue, 22 Sep 2026 13:15:00 +0000","Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale | Urbanize LA Skip to main content Advertisement Advertisement Kevin Tsai Architecture has unveiled new details for an upcoming mixed-use development just off of Brand Boulevard in Glendale. The proposed project, which would rise from the site of United Community Church at 305 E. Colorado Street, calls for the construction of interconnected six-story buildings containing 323 studio, one-, two-, and three-bedroom apartments",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,acceptable_repeat,,,,,2026-09-22,2026-09-25,3,fresh_0_3d,fresh,published date parsed; article age 3 day(s),62,access_limited,General Project Signal - Colorado - Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,General Project Signal - Colorado - Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,305 E. Colorado St,Mixed-use corridor,Colorado,Los Angeles,Unknown,Mixed-Use Residential,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,300 homes,,,General Project Signal,General Asset Signal,Unknown site control,Unknown,construction_delivery_watch,matched development / asset strategy execution,93,34,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Renderings Revealed: Mixed-use project at 305 E. Colorado St. in Glendale,Urbanize LA,https://la.urbanize.city/post/renderings-revealed-mixed-use-project-305-e-colorado-st-glendale,High
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0053,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,100,AST-20260925-036,art_e9c33bec7caaed9c,Marcus & Millichap Arranges $9.44M Sale of 24-Unit Multifamily Property in Costa Mesa California,https://yieldpro.com/2026/09/291-avocado-street/,"Thu, 24 Sep 2026 20:07:50 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Marcus & Millichap (NYSE: MMI) , a leading commercial real estate brokerage firm specializing in investment sales, financing, research and advisory services, announced the sale of the sale of 291 Avocado St. , a 24-unit multifamily property in Costa Mesa, California. The property sold for $9.44 million, or $393,333 per unit. “This property generated multiple offers and ultimately closed at approximately 98 percent of the list price in an al",suspicious_mismatch,title/source/url metadata are internally consistent; title and original_url slug appear to reference different articles,Development Activity,GP / Capital Activity; Market Intelligence,new_or_fresh,,,,,2026-09-24,2026-09-25,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,open,Disposition / Exit - California - Marcus & Millichap Arranges $9.44M Sale of 24-Unit Multifamily Property in Costa Mesa Cali...,Disposition / Exit - California - Marcus & Millichap Arranges $9.44M Sale of 24-Unit Multifamily Property in Costa Mesa Cali...,California,General submarket monitoring,California,Los Angeles,California,Multifamily,Multifamily,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$9.44M; $9.44 million; $393,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,91,27,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Marcus & Millichap Arranges $9.44M Sale of 24-Unit Multifamily Property in Costa Mesa California,Yield PRO,https://yieldpro.com/2026/09/291-avocado-street/,Medium
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0109,"Acquisition - Los Angeles / California - CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey",100,AST-20260925-029,art_bef36da72dd9f076,"CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey",https://rebusinessonline.com/cbre-arranges-sale-of-384-unit-apartment-community-in-somerset-new-jersey/,2026-09-24T13:48:28Z,"During its ownership of The Grove at Somerset, Harbor Group International made capital improvements to unit interiors and select common areas. Acquisitions Multifamily New Jersey Northeast CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey by Taylor Williams September 24, 2026 September 24, 2026 7 SOMERSET, N.J. — CBRE has arranged the sale of a 384-unit apartment community located in the Central New Jersey community of Somerset. The Grove at Somerset was built on 41 acre",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-09-24,2026-09-25,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,open,"Acquisition - Los Angeles / California - CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey","Acquisition - Los Angeles / California - CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey",National,General submarket monitoring,National,Los Angeles,Unknown,Affordable Housing,Affordable Housing,Harbor Group International,Harbor Group International,CBRE,Unknown,Unknown,Unknown,No explicit timing reference,,,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: sale,90,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"CBRE Arranges Sale of 384-Unit Apartment Community in Somerset, New Jersey",REBusiness Online,https://rebusinessonline.com/cbre-arranges-sale-of-384-unit-apartment-community-in-somerset-new-jersey/,Medium
2026-09-25,20260925-011011-837bf40e,PRJ-20260925-0053,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,100,AST-20260925-045,art_12b8db838929f833,Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,https://yieldpro.com/2026/09/union-street-portfolio/,"Thu, 24 Sep 2026 15:57:07 +0000","Deal boom News Pacific region Facebook Twitter Linkedin 1159-1169 Union Street San Francisco California Marcus & Millichap (NYSE: MMI) , a leading commercial real estate brokerage firm specializing in investment sales, financing, research and advisory services, announced today the sale of two multifamily properties at 1159-1169 and 1067-1071 Union St . in San Francisco’s Russian Hill neighborhood. The properties sold for a combined $6.25 million after more than 50 years under the same family own",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity; Market Intelligence,new_or_fresh,,,,,2026-09-24,2026-09-25,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),100,open,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,Disposition / Exit - San Francisco / California - Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,California,General submarket monitoring,California,Los Angeles,California,Multifamily,Multifamily,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$6.25M; $6.25 million; $6.25m,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,90,21,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Marcus & Millichap Brokers $6.25M Russian Hill Multifamily Portfolio Sale in San Francisco,Yield PRO,https://yieldpro.com/2026/09/union-street-portfolio/,Medium
