run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Freddie Mac,Freddie Mac,100,100,90,55,90,100,0,100,0,67,76,Tier 2 High Potential GP,West Palm Beach / Florida,Apartment,Other,freddie mac,freddie mac,Acquisition; Capital Inflow; Construction Financing; acquisition; disposition / exit; refinancing; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Marcus & Millichap,Marcus & Millichap,100,100,90,55,90,100,0,100,0,67,76,Tier 2 High Potential GP,Dallas / Texas,Apartment,Other,None detected,None detected,Acquisition; BTR / Build-to-Rent; BTR growth strategy; Capital Inflow; acquisition; disposition / exit; refinancing; BTR expansion; JV / partnership; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Tishman Speyer,Tishman Speyer,83,94,90,100,90,65,0,100,0,60,74,Tier 2 High Potential GP,California,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; refinancing; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Mack Real Estate Group,Mack Real Estate Group,63,94,90,75,90,100,0,60,0,52,72,Tier 2 High Potential GP,Seattle,Apartment,Other,None detected,None detected,Refinancing; Refinancing / Recapitalization; refinancing; JV / partnership; stable platform monitoring,None detected,None detected,Medium,Strong partnership signal,Improving,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,PCCP,PCCP,73,87,90,75,55,100,0,60,0,56,68,Tier 3 Monitoring GP,Seattle,Mixed-Use Residential,Other,None detected,None detected,Capital Inflow; JV / Partnership; acquisition; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Medium,Strong partnership signal,Improving,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Waterton,Waterton,73,91,90,100,90,0,0,100,0,56,64,Tier 3 Monitoring GP,California,Apartment,Other,None detected,None detected,Acquisition; California entitlement positioning; Capital Inflow; acquisition,None detected,None detected,High,No clear partnership signal,Improving,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,WNC,WNC,83,99,90,100,70,0,0,100,0,60,63,Tier 3 Monitoring GP,California,Affordable Housing,Other,None detected,None detected,Capital Inflow; capital raise; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Fairfield Residential,Fairfield Residential,73,91,75,55,90,100,0,0,0,52,62,Tier 3 Monitoring GP,West Palm Beach / Florida,Apartment,Other,freddie mac,freddie mac,Capital Outflow / Exit; Disposition / Exit; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Walker & Dunlop,Walker & Dunlop,73,91,75,55,90,100,0,0,0,52,62,Tier 3 Monitoring GP,West Palm Beach / Florida,Apartment,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Taconic Partners,Taconic Partners,63,81,90,55,90,100,0,0,0,52,62,Tier 3 Monitoring GP,New York City / New York,Multifamily,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; JV / partnership; selective multifamily acquisition,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
