run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Apartment,34,22,15,25,85.1,Other / Unknown,Developer Strategy,Marcus & Millichap,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Affordable Housing,7,5,1,6,84.6,Los Angeles / California,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Multifamily,19,4,7,11,63.5,Other / Unknown,Developer Strategy,Freddie Mac,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Office-to-Residential Conversion,3,3,2,3,89.3,Los Angeles / California,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Student Housing,3,3,1,2,86.3,California,Developer Strategy,None detected,Campus-adjacent demand and partnership signal,Strategic Expansion Sector,Monitor university-market demand and partnership signals
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,BTR / Single-Family Rental,2,2,2,2,100.0,Dallas / Texas,Financing Risk,Marcus & Millichap,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Mixed-Use Residential,9,8,4,8,84.0,Miami / Florida,Developer Strategy,Brookfield,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Senior Housing,1,0,0,1,60.0,Miami / Florida,Financing Risk,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,General Residential,1,0,0,1,53.0,Miami / Florida,Financing Risk,Berkadia,General residential financing signal,Monitoring Sector,Add to sector watchlist
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-09-14,20260914-004732-eb0e0fc0,2026-09-14 00:47:32,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
